Label,Name,Type,ReferenceTo,Length,Precision,Scale,IsExternalId,IsRequired
UserPreferencesEnableAutoSubForFeeds,UserPreferencesEnableAutoSubForFeeds,boolean,,100,0,0,FALSE,FALSE
UserPreferencesEventRemindersCheckboxDefault,UserPreferencesEventRemindersCheckboxDefault,boolean,,100,0,0,FALSE,FALSE
UserPreferencesHideBiggerPhotoCallout,UserPreferencesHideBiggerPhotoCallout,boolean,,100,0,0,FALSE,FALSE
UserPreferencesHideChatterOnboardingSplash,UserPreferencesHideChatterOnboardingSplash,boolean,,100,0,0,FALSE,FALSE
UserPreferencesHideCSNDesktopTask,UserPreferencesHideCSNDesktopTask,boolean,,100,0,0,FALSE,FALSE
UserPreferencesHideCSNGetChatterMobileTask,UserPreferencesHideCSNGetChatterMobileTask,boolean,,100,0,0,FALSE,FALSE
UserPreferencesHideEndUserOnboardingAssistantModal,UserPreferencesHideEndUserOnboardingAssistantModal,boolean,,100,0,0,FALSE,FALSE
UserPreferencesHideLightningMigrationModal,UserPreferencesHideLightningMigrationModal,boolean,,100,0,0,FALSE,FALSE
UserPreferencesHideS1BrowserUI,UserPreferencesHideS1BrowserUI,boolean,,100,0,0,FALSE,FALSE
UserPreferencesHideSecondChatterOnboardingSplash,UserPreferencesHideSecondChatterOnboardingSplash,boolean,,100,0,0,FALSE,FALSE
UserPreferencesHideSfxWelcomeMat,UserPreferencesHideSfxWelcomeMat,boolean,,100,0,0,FALSE,FALSE
UserPreferencesJigsawListUser,UserPreferencesJigsawListUser,boolean,,100,0,0,FALSE,FALSE
UserPreferencesLightningExperiencePreferred,UserPreferencesLightningExperiencePreferred,boolean,,100,0,0,FALSE,FALSE
UserPreferencesPathAssistantCollapsed,UserPreferencesPathAssistantCollapsed,boolean,,100,0,0,FALSE,FALSE
UserPreferencesPreviewLightning,UserPreferencesPreviewLightning,boolean,,100,0,0,FALSE,FALSE
UserPreferencesReminderSoundOff,UserPreferencesReminderSoundOff,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowCityToExternalUsers,UserPreferencesShowCityToExternalUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowCityToGuestUsers,UserPreferencesShowCityToGuestUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowCountryToExternalUsers,UserPreferencesShowCountryToExternalUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowCountryToGuestUsers,UserPreferencesShowCountryToGuestUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowEmailToExternalUsers,UserPreferencesShowEmailToExternalUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowEmailToGuestUsers,UserPreferencesShowEmailToGuestUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowFaxToExternalUsers,UserPreferencesShowFaxToExternalUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowFaxToGuestUsers,UserPreferencesShowFaxToGuestUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowManagerToExternalUsers,UserPreferencesShowManagerToExternalUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowManagerToGuestUsers,UserPreferencesShowManagerToGuestUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowMobilePhoneToExternalUsers,UserPreferencesShowMobilePhoneToExternalUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowMobilePhoneToGuestUsers,UserPreferencesShowMobilePhoneToGuestUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowPostalCodeToExternalUsers,UserPreferencesShowPostalCodeToExternalUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowPostalCodeToGuestUsers,UserPreferencesShowPostalCodeToGuestUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowProfilePicToGuestUsers,UserPreferencesShowProfilePicToGuestUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowStateToExternalUsers,UserPreferencesShowStateToExternalUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowStateToGuestUsers,UserPreferencesShowStateToGuestUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowStreetAddressToExternalUsers,UserPreferencesShowStreetAddressToExternalUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowStreetAddressToGuestUsers,UserPreferencesShowStreetAddressToGuestUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowTitleToExternalUsers,UserPreferencesShowTitleToExternalUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowTitleToGuestUsers,UserPreferencesShowTitleToGuestUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowWorkPhoneToExternalUsers,UserPreferencesShowWorkPhoneToExternalUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesShowWorkPhoneToGuestUsers,UserPreferencesShowWorkPhoneToGuestUsers,boolean,,100,0,0,FALSE,FALSE
UserPreferencesSortFeedByComment,UserPreferencesSortFeedByComment,boolean,,100,0,0,FALSE,FALSE
UserPreferencesTaskRemindersCheckboxDefault,UserPreferencesTaskRemindersCheckboxDefault,boolean,,100,0,0,FALSE,FALSE
EmailPreferencesAutoBcc,EmailPreferencesAutoBcc,boolean,,100,0,0,FALSE,FALSE
EmailPreferencesAutoBccStayInTouch,EmailPreferencesAutoBccStayInTouch,boolean,,100,0,0,FALSE,FALSE
EmailPreferencesStayInTouchReminder,EmailPreferencesStayInTouchReminder,boolean,,100,0,0,FALSE,FALSE
UserPreferencesGlobalNavBarWTShown,UserPreferencesGlobalNavBarWTShown,boolean,,100,0,0,FALSE,FALSE
UserPreferencesGlobalNavGridMenuWTShown,UserPreferencesGlobalNavGridMenuWTShown,boolean,,100,0,0,FALSE,FALSE
UserPreferencesCreateLEXAppsWTShown,UserPreferencesCreateLEXAppsWTShown,boolean,,100,0,0,FALSE,FALSE
