External_Id__c,Owner.External_Id__c,Account.External_Id__c,CreatedDate,CloseDate,Name,Products__c,StageName,Amount,Type,ForecastCategory
W_Opportunity.00033,W_User.00009,W_Account.00083,2016-03-08 16:28:12,2016-06-30 16:28:12,New Opportunity [2016-03-08 16:28:12],GC5000 series,Qualification,118200,New Business,
W_Opportunity.00034,W_User.00014,W_Account.00044,2016-07-16 23:32:33,2016-12-08 23:32:33,New Opportunity [2016-07-16 23:32:33],GC5000 series,Needs Analysis,116300,Add-On Business,
W_Opportunity.00035,W_User.00019,W_Account.00073,2016-09-27 04:33:24,2016-12-12 04:33:24,New Opportunity [2016-09-27 04:33:24],GC10001,Closed Won,84500,New Business,
W_Opportunity.00036,W_User.00020,W_Account.00095,2015-10-09 07:33:57,2016-04-04 07:33:57,New Opportunity [2015-10-09 07:33:57],GC50000,Closed Won,129400,Services,
W_Opportunity.00037,W_User.00014,W_Account.00076,2016-10-28 04:11:27,2017-04-12 04:11:27,New Opportunity [2016-10-28 04:11:27],GC20002,Needs Analysis,157200,Services,
W_Opportunity.00038,W_User.00006,W_Account.00055,2015-07-09 12:18:33,2016-01-18 12:18:33,New Opportunity [2015-07-09 12:18:33],GC5000 series,Closed Lost,162100,Renewal,
W_Opportunity.00039,W_User.00018,W_Account.00055,2016-04-09 22:59:07,2016-09-04 22:59:07,New Opportunity [2016-04-09 22:59:07],GC5000 series,Qualification,94200,Add-On Business,
W_Opportunity.00040,W_User.00013,W_Account.00045,2016-07-01 16:52:38,2016-12-07 16:52:38,New Opportunity [2016-07-01 16:52:38],GC20002,Negotiation,182000,New Business,
W_Opportunity.00041,W_User.00003,W_Account.00029,2016-04-28 21:00:44,2016-07-09 21:00:44,New Opportunity [2016-04-28 21:00:44],GC5000 series,Closed Lost,132000,Add-On Business,
W_Opportunity.00042,W_User.00016,W_Account.00050,2015-11-07 10:21:53,2016-04-04 10:21:53,New Opportunity [2015-11-07 10:21:53],GC10001,Qualification,124100,New Business,
W_Opportunity.00043,W_User.00016,W_Account.00007,2015-09-12 16:23:23,2015-12-07 16:23:23,New Opportunity [2015-09-12 16:23:23],GC20002,Closed Won,101000,New Business,
W_Opportunity.00044,W_User.00016,W_Account.00030,2015-08-29 06:21:52,2016-01-13 06:21:52,New Opportunity [2015-08-29 06:21:52],GC20002,Needs Analysis,192500,New Business,
W_Opportunity.00045,W_User.00010,W_Account.00070,2016-07-03 08:32:11,2016-11-07 08:32:11,New Opportunity [2016-07-03 08:32:11],GC20002,Closed Lost,137600,New Business,
W_Opportunity.00046,W_User.00017,W_Account.00070,2016-06-15 20:28:47,2016-12-18 20:28:47,New Opportunity [2016-06-15 20:28:47],GC20002,Negotiation,170000,Renewal,
W_Opportunity.00047,W_User.00009,W_Account.00075,2015-03-14 15:44:55,2015-06-23 15:44:55,New Opportunity [2015-03-14 15:44:55],GC1000 series,Closed Lost,161000,New Business,
W_Opportunity.00048,W_User.00005,W_Account.00031,2016-12-07 08:29:17,2017-02-07 08:29:17,New Opportunity [2016-12-07 08:29:17],GC10001,Qualification,141500,New Business,
W_Opportunity.00049,W_User.00011,W_Account.00033,2015-09-29 19:50:46,2015-11-29 19:50:46,New Opportunity [2015-09-29 19:50:46],GC10001,Proposal/Quote,197600,New Business,
W_Opportunity.00050,W_User.00018,W_Account.00003,2016-04-07 10:09:31,2016-07-01 10:09:31,New Opportunity [2016-04-07 10:09:31],GC10001,Proposal/Quote,126100,New Business,
W_Opportunity.00051,W_User.00010,W_Account.00042,2015-08-22 08:39:41,2016-02-10 08:39:41,New Opportunity [2015-08-22 08:39:41],GC1000 series,Proposal/Quote,164700,Add-On Business,
W_Opportunity.00052,W_User.00017,W_Account.00059,2016-03-09 22:14:06,2016-05-29 22:14:06,New Opportunity [2016-03-09 22:14:06],GC5000 series,Closed Lost,118300,Add-On Business,
W_Opportunity.00053,W_User.00020,W_Account.00021,2015-12-01 13:33:27,2016-05-22 13:33:27,New Opportunity [2015-12-01 13:33:27],GC10001,Closed Lost,150500,Renewal,
W_Opportunity.00054,W_User.00008,W_Account.00093,2015-10-06 23:46:31,2016-01-09 23:46:31,New Opportunity [2015-10-06 23:46:31],GC50000,Closed Won,51300,New Business,
W_Opportunity.00055,W_User.00010,W_Account.00032,2015-08-19 11:47:25,2016-01-17 11:47:25,New Opportunity [2015-08-19 11:47:25],GC5000 series,Needs Analysis,197100,Add-On Business,
W_Opportunity.00056,W_User.00007,W_Account.00096,2016-01-13 09:55:20,2016-06-02 09:55:20,New Opportunity [2016-01-13 09:55:20],GC5000 series,Proposal/Quote,165600,Add-On Business,
W_Opportunity.00057,W_User.00007,W_Account.00064,2016-12-30 00:01:36,2017-06-12 00:01:36,New Opportunity [2016-12-30 00:01:36],GC1000 series,Qualification,115600,Add-On Business,
W_Opportunity.00058,W_User.00018,W_Account.00100,2015-04-19 21:44:35,2015-09-03 21:44:35,New Opportunity [2015-04-19 21:44:35],GC10001,Qualification,74200,Services,
W_Opportunity.00059,W_User.00009,W_Account.00045,2016-08-10 16:26:35,2017-02-10 16:26:35,New Opportunity [2016-08-10 16:26:35],GC1000 series,Closed Lost,149700,Services,
W_Opportunity.00060,W_User.00007,W_Account.00024,2015-09-02 03:40:34,2015-11-06 03:40:34,New Opportunity [2015-09-02 03:40:34],GC20002,Closed Won,126700,Renewal,
W_Opportunity.00061,W_User.00015,W_Account.00075,2015-11-23 21:21:50,2016-02-09 21:21:50,New Opportunity [2015-11-23 21:21:50],GC20002,Closed Lost,150900,New Business,
W_Opportunity.00062,W_User.00015,W_Account.00074,2015-05-03 12:23:41,2015-10-24 12:23:41,New Opportunity [2015-05-03 12:23:41],GC10001,Closed Won,103100,New Business,
W_Opportunity.00063,W_User.00017,W_Account.00015,2015-11-20 13:17:16,2016-02-23 13:17:16,New Opportunity [2015-11-20 13:17:16],GC50000,Needs Analysis,109800,New Business,
W_Opportunity.00064,W_User.00018,W_Account.00032,2016-06-21 00:51:58,2016-12-04 00:51:58,New Opportunity [2016-06-21 00:51:58],GC20002,Needs Analysis,201100,Renewal,
W_Opportunity.00065,W_User.00013,W_Account.00021,2016-02-10 12:09:33,2016-08-17 12:09:33,New Opportunity [2016-02-10 12:09:33],GC10001,Needs Analysis,165200,Services,
W_Opportunity.00066,W_User.00003,W_Account.00031,2015-06-14 23:02:07,2015-11-18 23:02:07,New Opportunity [2015-06-14 23:02:07],GC10001,Closed Won,152500,Add-On Business,
W_Opportunity.00067,W_User.00005,W_Account.00038,2016-12-24 19:18:03,2017-05-07 19:18:03,New Opportunity [2016-12-24 19:18:03],GC10001,Closed Won,136100,New Business,
W_Opportunity.00068,W_User.00009,W_Account.00027,2016-11-06 00:46:51,2017-03-24 00:46:51,New Opportunity [2016-11-06 00:46:51],GC20002,Qualification,144500,New Business,
W_Opportunity.00069,W_User.00007,W_Account.00015,2016-08-07 16:10:08,2017-02-04 16:10:08,New Opportunity [2016-08-07 16:10:08],GC50000,Needs Analysis,69400,Renewal,
W_Opportunity.00070,W_User.00012,W_Account.00054,2016-04-11 04:25:49,2016-09-01 04:25:49,New Opportunity [2016-04-11 04:25:49],GC20002,Qualification,164000,Add-On Business,
W_Opportunity.00071,W_User.00012,W_Account.00077,2016-10-07 07:02:11,2017-02-13 07:02:11,New Opportunity [2016-10-07 07:02:11],GC1000 series,Closed Won,178000,Services,
W_Opportunity.00072,W_User.00018,W_Account.00041,2015-04-14 08:03:53,2015-07-12 08:03:53,New Opportunity [2015-04-14 08:03:53],GC50000,Needs Analysis,111300,Add-On Business,
W_Opportunity.00073,W_User.00019,W_Account.00017,2016-01-26 19:50:54,2016-04-05 19:50:54,New Opportunity [2016-01-26 19:50:54],GC10001,Closed Won,201000,New Business,
W_Opportunity.00074,W_User.00019,W_Account.00058,2015-08-14 21:22:26,2015-11-09 21:22:26,New Opportunity [2015-08-14 21:22:26],GC20002,Needs Analysis,122800,New Business,
W_Opportunity.00075,W_User.00016,W_Account.00001,2015-03-05 20:30:10,2015-07-16 20:30:10,New Opportunity [2015-03-05 20:30:10],GC5000 series,Needs Analysis,116300,New Business,
W_Opportunity.00076,W_User.00006,W_Account.00008,2015-04-14 19:31:10,2015-07-30 19:31:10,New Opportunity [2015-04-14 19:31:10],GC1000 series,Closed Won,183100,Services,
W_Opportunity.00077,W_User.00002,W_Account.00058,2016-09-12 12:08:14,2016-12-08 12:08:14,New Opportunity [2016-09-12 12:08:14],GC1000 series,Closed Won,111300,Services,
W_Opportunity.00078,W_User.00002,W_Account.00044,2015-03-31 11:35:36,2015-06-14 11:35:36,New Opportunity [2015-03-31 11:35:36],GC5000 series,Needs Analysis,131800,Services,
W_Opportunity.00079,W_User.00002,W_Account.00029,2016-06-09 03:18:22,2016-10-27 03:18:22,New Opportunity [2016-06-09 03:18:22],GC50000,Qualification,129900,New Business,
W_Opportunity.00080,W_User.00017,W_Account.00085,2015-08-11 03:16:14,2016-01-28 03:16:14,New Opportunity [2015-08-11 03:16:14],GC5000 series,Closed Won,125600,Services,
W_Opportunity.00081,W_User.00010,W_Account.00066,2015-12-22 19:26:48,2016-04-17 19:26:48,New Opportunity [2015-12-22 19:26:48],GC10001,Proposal/Quote,148100,New Business,
W_Opportunity.00082,W_User.00003,W_Account.00081,2015-10-12 01:19:59,2016-01-26 01:19:59,New Opportunity [2015-10-12 01:19:59],GC20002,Closed Lost,159800,New Business,
W_Opportunity.00083,W_User.00018,W_Account.00034,2015-10-06 07:55:06,2016-01-07 07:55:06,New Opportunity [2015-10-06 07:55:06],GC20002,Negotiation,221700,Add-On Business,
W_Opportunity.00084,W_User.00005,W_Account.00065,2016-12-25 12:00:13,2017-07-09 12:00:13,New Opportunity [2016-12-25 12:00:13],GC1000 series,Closed Lost,100100,Renewal,
W_Opportunity.00085,W_User.00001,W_Account.00001,2015-03-04 23:49:33,2015-07-05 23:49:33,New Opportunity [2015-03-04 23:49:33],GC10001,Proposal/Quote,88500,Services,
W_Opportunity.00086,W_User.00004,W_Account.00055,2016-05-10 03:51:53,2016-10-22 03:51:53,New Opportunity [2016-05-10 03:51:53],GC1000 series,Proposal/Quote,206000,New Business,
W_Opportunity.00087,W_User.00011,W_Account.00089,2016-09-19 03:36:23,2017-03-10 03:36:23,New Opportunity [2016-09-19 03:36:23],GC10001,Needs Analysis,100500,Add-On Business,
W_Opportunity.00088,W_User.00002,W_Account.00045,2015-09-04 08:56:20,2015-11-22 08:56:20,New Opportunity [2015-09-04 08:56:20],GC1000 series,Needs Analysis,193800,New Business,
W_Opportunity.00089,W_User.00019,W_Account.00065,2016-01-23 19:29:33,2016-05-18 19:29:33,New Opportunity [2016-01-23 19:29:33],GC50000,Qualification,125400,Services,
W_Opportunity.00090,W_User.00007,W_Account.00077,2015-11-10 02:37:37,2016-02-04 02:37:37,New Opportunity [2015-11-10 02:37:37],GC1000 series,Closed Lost,160300,Services,
W_Opportunity.00091,W_User.00019,W_Account.00083,2015-02-06 13:15:41,2015-05-09 13:15:41,New Opportunity [2015-02-06 13:15:41],GC50000,Needs Analysis,85500,Add-On Business,
W_Opportunity.00092,W_User.00005,W_Account.00066,2016-11-01 15:11:16,2017-01-15 15:11:16,New Opportunity [2016-11-01 15:11:16],GC20002,Closed Won,143600,New Business,
W_Opportunity.00093,W_User.00013,W_Account.00035,2016-01-05 15:05:43,2016-07-14 15:05:43,New Opportunity [2016-01-05 15:05:43],GC5000 series,Negotiation,178100,Add-On Business,
W_Opportunity.00094,W_User.00012,W_Account.00042,2015-01-20 02:09:47,2015-07-22 02:09:47,New Opportunity [2015-01-20 02:09:47],GC1000 series,Closed Lost,102900,New Business,
W_Opportunity.00095,W_User.00010,W_Account.00034,2016-07-22 07:56:01,2016-10-13 07:56:01,New Opportunity [2016-07-22 07:56:01],GC10001,Closed Lost,139800,Add-On Business,
W_Opportunity.00096,W_User.00010,W_Account.00052,2016-11-05 10:09:57,2017-04-21 10:09:57,New Opportunity [2016-11-05 10:09:57],GC10001,Negotiation,105000,Renewal,
W_Opportunity.00097,W_User.00004,W_Account.00001,2015-10-07 02:52:42,2016-04-13 02:52:42,New Opportunity [2015-10-07 02:52:42],GC20002,Qualification,156900,New Business,
W_Opportunity.00098,W_User.00001,W_Account.00060,2015-05-20 13:26:50,2015-10-23 13:26:50,New Opportunity [2015-05-20 13:26:50],GC50000,Closed Lost,124400,Services,
W_Opportunity.00099,W_User.00020,W_Account.00079,2015-01-27 00:45:06,2015-03-30 00:45:06,New Opportunity [2015-01-27 00:45:06],GC20002,Closed Lost,159700,New Business,
W_Opportunity.00100,W_User.00018,W_Account.00052,2015-08-17 01:28:34,2016-03-06 01:28:34,New Opportunity [2015-08-17 01:28:34],GC10001,Needs Analysis,135800,Services,
