External_Id__c,Owner.External_Id__c,Case.External_Id__c,CreatedDate__c,LastModifiedDate__c,Subject,Type,TaskSubtype,CallDurationInSeconds,Status,Priority
W_Task.39,W_Services_User.2,W_Case.1015,2016-03-06 00:00:00,2016-03-06 00:00:00,Other,Meeting,Call,3600,In Progress,Normal
W_Task.40,W_Services_User.3,W_Case.2851,2015-06-29 00:00:00,2015-06-29 00:00:00,Send Letter,Email,Call,3600,In Progress,Normal
W_Task.41,W_Services_User.12,W_Case.693,2015-06-21 00:00:00,2015-06-21 00:00:00,Call,Meeting,Call,3600,Completed,Normal
W_Task.42,W_Services_User.9,W_Case.5261,2015-05-26 00:00:00,2015-05-26 00:00:00,Send Quote,Email,Email,2700,On Hold,Normal
W_Task.43,W_Services_User.5,W_Case.1476,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Quote,Email,Task,3600,Completed,Normal
W_Task.44,W_Services_User.8,W_Case.646,2014-10-31 00:00:00,2014-10-31 00:00:00,Send Letter,Email,Task,4320,In Progress,Normal
W_Task.45,W_Services_User.4,W_Case.3997,2014-12-05 00:00:00,2014-12-05 00:00:00,Call,Call,Email,3240,Completed,Normal
W_Task.46,W_Services_User.18,W_Case.1149,2015-01-06 00:00:00,2015-01-06 00:00:00,Other,Prep,Task,3000,Completed,Normal
W_Task.47,W_Services_User.19,W_Case.1009,2017-05-15 00:00:00,2017-05-15 00:00:00,Other,Meeting,Call,4320,In Progress,Normal
W_Task.48,W_Services_User.12,W_Case.3900,2015-12-16 00:00:00,2015-12-16 00:00:00,Call,Call,Call,4500,Not Started,Normal
W_Task.49,W_Services_User.18,W_Case.1677,2016-01-02 00:00:00,2016-01-02 00:00:00,Other,Meeting,Email,900,Not Started,Normal
W_Task.50,W_Services_User.13,W_Case.359,2016-01-10 00:00:00,2016-01-10 00:00:00,Other,Other,Call,1200,Completed,Normal
W_Task.51,W_Services_User.9,W_Case.5336,2015-09-16 00:00:00,2015-09-16 00:00:00,Other,Other,Task,4320,Not Started,Normal
W_Task.52,W_Services_User.16,W_Case.3699,2015-10-01 00:00:00,2015-10-01 00:00:00,Other,Meeting,Email,450,Completed,Normal
W_Task.53,W_Services_User.1,W_Case.5337,2015-08-14 00:00:00,2015-08-14 00:00:00,Call,Call,Task,600,In Progress,Normal
W_Task.54,W_Services_User.19,W_Case.2443,2015-10-13 00:00:00,2015-10-13 00:00:00,Send Letter,Email,Call,720,In Progress,Normal
W_Task.55,W_Services_User.6,W_Case.2902,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Task,2700,Completed,Normal
W_Task.56,W_Services_User.18,W_Case.2807,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Task,3600,In Progress,Normal
W_Task.57,W_Services_User.17,W_Case.4412,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Email,540,In Progress,Normal
W_Task.58,W_Services_User.11,W_Case.1182,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Email,90,Completed,Normal
W_Task.59,W_Services_User.3,W_Case.6910,2015-06-07 00:00:00,2015-06-07 00:00:00,Send Quote,Email,Call,450,Not Started,Normal
W_Task.60,W_Services_User.12,W_Case.2591,2015-04-22 00:00:00,2015-04-22 00:00:00,Send Quote,Email,Email,30,In Progress,Normal
W_Task.61,W_Services_User.20,W_Case.4629,2015-04-21 00:00:00,2015-04-21 00:00:00,Other,Meeting,Task,180,Completed,Normal
W_Task.62,W_Services_User.5,W_Case.2246,2016-08-17 00:00:00,2016-08-17 00:00:00,Other,Prep,Task,180,Completed,Normal
W_Task.63,W_Services_User.1,W_Case.151,2016-07-09 00:00:00,2016-07-09 00:00:00,Call,Meeting,Task,720,In Progress,High
W_Task.64,W_Services_User.18,W_Case.6434,2016-06-27 00:00:00,2016-06-27 00:00:00,Other,Other,Email,360,On Hold,High
W_Task.65,W_Services_User.11,W_Case.2940,2016-07-27 00:00:00,2016-07-27 00:00:00,Other,Meeting,Email,720,Completed,Normal
W_Task.66,W_Services_User.2,W_Case.3057,2015-08-08 00:00:00,2015-08-08 00:00:00,Call,Call,Task,4500,Completed,High
W_Task.67,W_Services_User.8,W_Case.6270,2014-08-06 00:00:00,2014-08-06 00:00:00,Call,Call,Call,1350,On Hold,Normal
W_Task.68,W_Services_User.12,W_Case.3817,2014-06-19 00:00:00,2014-06-19 00:00:00,Call,Call,Call,120,On Hold,Normal
W_Task.69,W_Services_User.18,W_Case.3378,2014-06-21 00:00:00,2014-06-21 00:00:00,Send Letter,Email,Email,90,Not Started,Normal
W_Task.70,W_Services_User.7,W_Case.5837,2014-08-23 00:00:00,2014-08-23 00:00:00,Other,Meeting,Email,1800,Completed,High
W_Task.71,W_Services_User.12,W_Case.656,2014-06-25 00:00:00,2014-06-25 00:00:00,Other,Meeting,Task,300,Completed,Normal
W_Task.72,W_Services_User.16,W_Case.1802,2014-07-02 00:00:00,2014-07-02 00:00:00,Send Letter,Email,Email,720,Not Started,Normal
W_Task.73,W_Services_User.8,W_Case.5578,2016-04-20 00:00:00,2016-04-20 00:00:00,Call,Call,Task,5400,Not Started,Normal
W_Task.74,W_Services_User.3,W_Case.4131,2016-03-26 00:00:00,2016-03-26 00:00:00,Other,Meeting,Call,4320,Not Started,Normal
W_Task.75,W_Services_User.1,W_Case.2294,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Email,360,Completed,Normal
W_Task.76,W_Services_User.17,W_Case.4978,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Email,360,Not Started,Normal
W_Task.77,W_Services_User.8,W_Case.2928,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Call,480,On Hold,Normal
W_Task.78,W_Services_User.3,W_Case.3189,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Call,540,Completed,Normal
W_Task.79,W_Services_User.17,W_Case.3168,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Email,1800,Not Started,High
W_Task.80,W_Services_User.7,W_Case.4696,2017-05-15 00:00:00,2017-05-15 00:00:00,Other,Meeting,Task,1080,Not Started,High
W_Task.81,W_Services_User.6,W_Case.5906,2017-05-15 00:00:00,2017-05-15 00:00:00,Other,Meeting,Call,810,Completed,Normal
W_Task.82,W_Services_User.20,W_Case.160,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Task,1500,In Progress,High
W_Task.83,W_Services_User.8,W_Case.5432,2016-05-02 00:00:00,2016-05-02 00:00:00,Send Quote,Email,Email,540,In Progress,Normal
W_Task.84,W_Services_User.14,W_Case.526,2016-05-25 00:00:00,2016-05-25 00:00:00,Call,Call,Email,1800,On Hold,Normal
W_Task.85,W_Services_User.8,W_Case.1137,2016-03-29 00:00:00,2016-03-29 00:00:00,Send Letter,Email,Call,300,Not Started,Normal
W_Task.86,W_Services_User.1,W_Case.4623,2016-01-31 00:00:00,2016-01-31 00:00:00,Call,Call,Task,540,Not Started,Normal
W_Task.87,W_Services_User.2,W_Case.6581,2016-03-07 00:00:00,2016-03-07 00:00:00,Send Quote,Email,Email,900,Not Started,Normal
W_Task.88,W_Services_User.3,W_Case.6461,2015-12-05 00:00:00,2015-12-05 00:00:00,Other,Prep,Task,480,In Progress,Normal
W_Task.89,W_Services_User.2,W_Case.4820,2016-01-19 00:00:00,2016-01-19 00:00:00,Other,Meeting,Task,720,On Hold,Normal
W_Task.90,W_Services_User.12,W_Case.2781,2015-11-23 00:00:00,2015-11-23 00:00:00,Send Letter,Email,Email,360,Completed,Normal
W_Task.91,W_Services_User.4,W_Case.3804,2017-02-01 00:00:00,2017-02-01 00:00:00,Send Letter,Email,Call,720,On Hold,Normal
W_Task.92,W_Services_User.20,W_Case.1374,2017-02-28 00:00:00,2017-02-28 00:00:00,Call,Call,Email,360,On Hold,Normal
W_Task.93,W_Services_User.12,W_Case.7258,2017-01-20 00:00:00,2017-01-20 00:00:00,Call,Call,Call,1440,Not Started,Normal
W_Task.94,W_Services_User.17,W_Case.5739,2015-01-24 00:00:00,2015-01-24 00:00:00,Send Quote,Email,Task,2250,In Progress,Normal
W_Task.95,W_Services_User.12,W_Case.3591,2015-02-22 00:00:00,2015-02-22 00:00:00,Call,Call,Task,60,Not Started,Normal
W_Task.96,W_Services_User.10,W_Case.2687,2014-02-22 00:00:00,2014-02-22 00:00:00,Call,Call,Call,180,Not Started,Normal
W_Task.97,W_Services_User.5,W_Case.6502,2014-01-11 00:00:00,2014-01-11 00:00:00,Call,Meeting,Email,480,On Hold,Normal
W_Task.98,W_Services_User.13,W_Case.6159,2016-07-11 00:00:00,2016-07-11 00:00:00,Send Letter,Email,Call,120,In Progress,Normal
W_Task.99,W_Services_User.2,W_Case.486,2016-06-06 00:00:00,2016-06-06 00:00:00,Send Letter,Email,Call,3240,Not Started,Normal
W_Task.100,W_Services_User.14,W_Case.4366,2014-07-21 00:00:00,2014-07-21 00:00:00,Send Quote,Email,Call,600,Not Started,Normal
W_Task.101,W_Services_User.15,W_Case.1559,2017-05-13 00:00:00,2017-05-13 00:00:00,Send Letter,Email,Call,1350,Completed,Normal
W_Task.102,W_Services_User.5,W_Case.7143,2017-05-07 00:00:00,2017-05-07 00:00:00,Call,Meeting,Call,2700,Completed,Normal
W_Task.103,W_Services_User.13,W_Case.937,2017-03-15 00:00:00,2017-03-15 00:00:00,Send Letter,Email,Task,3600,Completed,Normal
W_Task.104,W_Services_User.5,W_Case.5583,2014-07-31 00:00:00,2014-07-31 00:00:00,Send Letter,Email,Email,1620,Not Started,Normal
W_Task.105,W_Services_User.20,W_Case.6546,2014-08-01 00:00:00,2014-08-01 00:00:00,Call,Call,Task,720,On Hold,Normal
W_Task.106,W_Services_User.11,W_Case.566,2016-03-03 00:00:00,2016-03-03 00:00:00,Send Quote,Email,Call,1800,On Hold,Normal
W_Task.107,W_Services_User.11,W_Case.3345,2016-02-25 00:00:00,2016-02-25 00:00:00,Call,Call,Task,360,Completed,Normal
W_Task.108,W_Services_User.2,W_Case.4527,2015-12-11 00:00:00,2015-12-11 00:00:00,Call,Call,Email,720,On Hold,Normal
W_Task.109,W_Services_User.10,W_Case.1337,2015-07-28 00:00:00,2015-07-28 00:00:00,Call,Call,Email,1800,On Hold,Normal
W_Task.110,W_Services_User.12,W_Case.2205,2015-08-11 00:00:00,2015-08-11 00:00:00,Call,Call,Task,3600,Completed,Normal
W_Task.111,W_Services_User.4,W_Case.4685,2014-07-15 00:00:00,2014-07-15 00:00:00,Send Letter,Email,Call,1800,On Hold,High
W_Task.112,W_Services_User.9,W_Case.6682,2014-05-30 00:00:00,2014-05-30 00:00:00,Send Letter,Email,Email,4500,On Hold,Normal
W_Task.113,W_Services_User.2,W_Case.5562,2015-11-10 00:00:00,2015-11-10 00:00:00,Send Quote,Email,Task,1440,Completed,Normal
W_Task.114,W_Services_User.3,W_Case.7279,2016-02-16 00:00:00,2016-02-16 00:00:00,Call,Meeting,Call,1500,On Hold,Normal
W_Task.115,W_Services_User.19,W_Case.1650,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Call,1080,On Hold,High
W_Task.116,W_Services_User.13,W_Case.3489,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Call,480,Not Started,Normal
W_Task.117,W_Services_User.6,W_Case.7367,2017-05-15 00:00:00,2017-05-15 00:00:00,Other,Meeting,Task,1800,Not Started,High
W_Task.118,W_Services_User.5,W_Case.754,2014-11-12 00:00:00,2014-11-12 00:00:00,Send Letter,Email,Call,480,On Hold,Normal
W_Task.119,W_Services_User.6,W_Case.1040,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Task,720,In Progress,Normal
W_Task.120,W_Services_User.6,W_Case.490,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Email,6480,Not Started,Normal
W_Task.121,W_Services_User.13,W_Case.3506,2016-11-18 00:00:00,2016-11-18 00:00:00,Call,Call,Email,300,Completed,Normal
W_Task.122,W_Services_User.5,W_Case.210,2016-12-20 00:00:00,2016-12-20 00:00:00,Other,Other,Call,2160,In Progress,Normal
W_Task.123,W_Services_User.7,W_Case.5004,2016-12-30 00:00:00,2016-12-30 00:00:00,Send Letter,Email,Task,480,In Progress,Normal
W_Task.124,W_Services_User.12,W_Case.6560,2014-01-20 00:00:00,2014-01-20 00:00:00,Other,Meeting,Email,300,Completed,Normal
W_Task.125,W_Services_User.6,W_Case.3508,2015-03-13 00:00:00,2015-03-13 00:00:00,Other,Other,Task,900,On Hold,Normal
W_Task.126,W_Services_User.9,W_Case.582,2015-01-13 00:00:00,2015-01-13 00:00:00,Call,Meeting,Call,720,In Progress,Normal
W_Task.127,W_Services_User.11,W_Case.3474,2017-05-15 00:00:00,2017-05-15 00:00:00,Other,Other,Call,720,Completed,Normal
W_Task.128,W_Services_User.4,W_Case.1787,2014-06-28 00:00:00,2014-06-28 00:00:00,Other,Prep,Task,1800,Not Started,Normal
W_Task.129,W_Services_User.9,W_Case.4635,2015-06-14 00:00:00,2015-06-14 00:00:00,Send Letter,Email,Call,1350,Completed,Normal
W_Task.130,W_Services_User.10,W_Case.6324,2015-06-11 00:00:00,2015-06-11 00:00:00,Send Quote,Email,Task,1080,In Progress,Normal
W_Task.131,W_Services_User.1,W_Case.4358,2014-09-19 00:00:00,2014-09-19 00:00:00,Call,Call,Email,1440,On Hold,Normal
W_Task.132,W_Services_User.2,W_Case.4381,2016-04-23 00:00:00,2016-04-23 00:00:00,Other,Prep,Task,1200,On Hold,Normal
W_Task.133,W_Services_User.9,W_Case.6100,2014-03-10 00:00:00,2014-03-10 00:00:00,Call,Meeting,Task,1800,In Progress,Normal
W_Task.134,W_Services_User.10,W_Case.152,2014-02-04 00:00:00,2014-02-04 00:00:00,Call,Meeting,Call,300,In Progress,High
W_Task.135,W_Services_User.2,W_Case.2131,2014-03-02 00:00:00,2014-03-02 00:00:00,Send Quote,Email,Email,2700,In Progress,Normal
W_Task.136,W_Services_User.14,W_Case.3757,2015-08-21 00:00:00,2015-08-21 00:00:00,Call,Call,Task,240,On Hold,Normal
W_Task.137,W_Services_User.5,W_Case.4948,2015-08-07 00:00:00,2015-08-07 00:00:00,Send Letter,Email,Call,4500,In Progress,Normal
W_Task.138,W_Services_User.1,W_Case.1678,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Task,1440,Completed,Normal
W_Task.139,W_Services_User.20,W_Case.5364,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Quote,Email,Call,240,Not Started,Normal
W_Task.140,W_Services_User.14,W_Case.322,2016-04-26 00:00:00,2016-04-26 00:00:00,Send Quote,Email,Task,900,In Progress,Normal
W_Task.141,W_Services_User.13,W_Case.2206,2016-03-01 00:00:00,2016-03-01 00:00:00,Call,Meeting,Email,150,In Progress,Normal
W_Task.142,W_Services_User.1,W_Case.2310,2016-11-16 00:00:00,2016-11-16 00:00:00,Send Quote,Email,Email,450,Completed,Normal
W_Task.143,W_Services_User.7,W_Case.5997,2015-05-11 00:00:00,2015-05-11 00:00:00,Send Letter,Email,Call,240,In Progress,High
W_Task.144,W_Services_User.6,W_Case.5989,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Quote,Email,Task,540,On Hold,Normal
W_Task.145,W_Services_User.18,W_Case.6378,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Task,1440,In Progress,Normal
W_Task.146,W_Services_User.1,W_Case.4204,2017-05-15 00:00:00,2017-05-15 00:00:00,Other,Meeting,Email,300,Not Started,High
W_Task.147,W_Services_User.19,W_Case.6542,2016-08-30 00:00:00,2016-08-30 00:00:00,Send Letter,Email,Task,1800,On Hold,Normal
W_Task.148,W_Services_User.2,W_Case.2346,2016-09-22 00:00:00,2016-09-22 00:00:00,Call,Call,Call,480,On Hold,High
W_Task.149,W_Services_User.12,W_Case.2265,2014-12-29 00:00:00,2014-12-29 00:00:00,Send Letter,Email,Call,2160,Not Started,Normal
W_Task.150,W_Services_User.13,W_Case.2738,2014-11-28 00:00:00,2014-11-28 00:00:00,Call,Call,Email,360,On Hold,Normal
W_Task.151,W_Services_User.13,W_Case.4703,2016-02-12 00:00:00,2016-02-12 00:00:00,Send Letter,Email,Call,1800,Not Started,Normal
W_Task.152,W_Services_User.11,W_Case.791,2017-05-14 00:00:00,2017-05-14 00:00:00,Send Quote,Email,Email,600,Not Started,Normal
W_Task.153,W_Services_User.14,W_Case.3098,2017-05-15 00:00:00,2017-05-15 00:00:00,Other,Prep,Task,600,On Hold,Normal
W_Task.154,W_Services_User.19,W_Case.3458,2017-05-15 00:00:00,2017-05-15 00:00:00,Other,Prep,Task,120,Completed,Normal
W_Task.155,W_Services_User.20,W_Case.3489,2017-04-14 00:00:00,2017-04-14 00:00:00,Send Letter,Email,Task,2160,On Hold,Normal
W_Task.156,W_Services_User.20,W_Case.1529,2017-04-07 00:00:00,2017-04-07 00:00:00,Send Letter,Email,Call,180,On Hold,Normal
W_Task.157,W_Services_User.13,W_Case.2455,2016-12-17 00:00:00,2016-12-17 00:00:00,Other,Meeting,Call,600,In Progress,Normal
W_Task.158,W_Services_User.5,W_Case.902,2017-02-02 00:00:00,2017-02-02 00:00:00,Call,Call,Email,2160,On Hold,Normal
W_Task.159,W_Services_User.12,W_Case.2290,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Email,1440,On Hold,Normal
W_Task.160,W_Services_User.9,W_Case.2138,2017-05-15 00:00:00,2017-05-15 00:00:00,Other,Meeting,Call,180,On Hold,Normal
W_Task.161,W_Services_User.7,W_Case.7212,2014-04-28 00:00:00,2014-04-28 00:00:00,Send Quote,Email,Call,120,Not Started,Normal
W_Task.162,W_Services_User.7,W_Case.6004,2017-03-15 00:00:00,2017-03-15 00:00:00,Other,Other,Task,300,Not Started,High
W_Task.163,W_Services_User.17,W_Case.968,2017-01-28 00:00:00,2017-01-28 00:00:00,Send Letter,Email,Call,1080,On Hold,Normal
W_Task.164,W_Services_User.10,W_Case.2735,2017-03-31 00:00:00,2017-03-31 00:00:00,Call,Call,Email,4500,Not Started,High
W_Task.165,W_Services_User.15,W_Case.575,2016-03-18 00:00:00,2016-03-18 00:00:00,Call,Call,Task,450,Completed,High
W_Task.166,W_Services_User.20,W_Case.1380,2016-02-25 00:00:00,2016-02-25 00:00:00,Send Letter,Email,Task,2880,Completed,Normal
W_Task.167,W_Services_User.10,W_Case.3451,2016-02-29 00:00:00,2016-02-29 00:00:00,Send Letter,Email,Call,360,On Hold,Normal
W_Task.168,W_Services_User.19,W_Case.3246,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Task,270,Not Started,High
W_Task.169,W_Services_User.4,W_Case.4510,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Quote,Email,Task,180,Not Started,High
W_Task.170,W_Services_User.1,W_Case.5739,2016-10-06 00:00:00,2016-10-06 00:00:00,Call,Call,Call,1080,On Hold,Normal
W_Task.171,W_Services_User.8,W_Case.2730,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Call,540,Not Started,High
W_Task.172,W_Services_User.14,W_Case.203,2016-10-07 00:00:00,2016-10-07 00:00:00,Send Letter,Email,Email,1440,On Hold,Normal
W_Task.173,W_Services_User.9,W_Case.5307,2016-11-20 00:00:00,2016-11-20 00:00:00,Send Letter,Email,Email,2880,Completed,Normal
W_Task.174,W_Services_User.13,W_Case.3990,2016-12-17 00:00:00,2016-12-17 00:00:00,Other,Other,Call,540,On Hold,Normal
W_Task.175,W_Services_User.6,W_Case.4385,2017-05-15 00:00:00,2017-05-15 00:00:00,Other,Other,Task,120,Completed,Normal
W_Task.176,W_Services_User.13,W_Case.1309,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Task,1080,In Progress,Normal
W_Task.177,W_Services_User.3,W_Case.4252,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Call,1800,Completed,Normal
W_Task.178,W_Services_User.13,W_Case.4076,2015-10-22 00:00:00,2015-10-22 00:00:00,Send Letter,Email,Email,540,Not Started,High
W_Task.179,W_Services_User.3,W_Case.6018,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Task,1440,In Progress,Normal
W_Task.180,W_Services_User.17,W_Case.1503,2017-05-15 00:00:00,2017-05-15 00:00:00,Other,Meeting,Email,300,On Hold,Normal
W_Task.181,W_Services_User.2,W_Case.3515,2015-08-01 00:00:00,2015-08-01 00:00:00,Send Letter,Email,Email,900,In Progress,Normal
W_Task.182,W_Services_User.15,W_Case.2796,2016-12-23 00:00:00,2016-12-23 00:00:00,Other,Meeting,Email,360,On Hold,Normal
W_Task.183,W_Services_User.13,W_Case.2938,2016-10-04 00:00:00,2016-10-04 00:00:00,Call,Call,Task,600,Not Started,Normal
W_Task.184,W_Services_User.7,W_Case.1870,2017-05-15 00:00:00,2017-05-15 00:00:00,Send Letter,Email,Task,750,On Hold,Normal
W_Task.185,W_Services_User.20,W_Case.6947,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Call,Call,900,Completed,Normal
W_Task.186,W_Services_User.1,W_Case.5149,2017-05-15 00:00:00,2017-05-15 00:00:00,Call,Meeting,Email,120,In Progress,Normal
W_Task.187,W_Services_User.15,W_Case.1993,2014-04-19 00:00:00,2014-04-19 00:00:00,Send Letter,Email,Call,540,On Hold,Normal
W_Task.188,W_Services_User.7,W_Case.2875,2017-02-25 00:00:00,2017-02-25 00:00:00,Send Letter,Email,Task,720,On Hold,Normal
W_Task.189,W_Services_User.9,W_Case.4117,2017-03-13 00:00:00,2017-03-13 00:00:00,Send Letter,Email,Email,540,On Hold,Normal
W_Task.190,W_Services_User.14,W_Case.2015,2017-02-14 00:00:00,2017-02-14 00:00:00,Other,Other,Call,720,Not Started,High
W_Task.191,W_Services_User.8,W_Case.6931,2014-12-30 00:00:00,2014-12-30 00:00:00,Other,Meeting,Email,180,Not Started,Normal
W_Task.192,W_Services_User.18,W_Case.6723,2015-01-25 00:00:00,2015-01-25 00:00:00,Call,Meeting,Task,180,On Hold,Normal
W_Task.193,W_Services_User.7,W_Case.1340,2014-12-02 00:00:00,2014-12-02 00:00:00,Call,Call,Email,1800,In Progress,Normal
