External_Id__c,Case.External_Id__c,CreatedById__c,CreatedDate__c,Field__c,OldValue__c,NewValue__c
W_CaseHistory.25,W_Case.209,W_User.14,2016-10-24 00:00:00,Status,,New
W_CaseHistory.26,W_Case.209,W_User.14,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.27,W_Case.210,W_User.6,2016-11-05 00:00:00,created,,
W_CaseHistory.28,W_Case.210,W_User.6,2016-11-05 00:00:00,Status,,New
W_CaseHistory.29,W_Case.210,W_User.6,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.30,W_Case.211,W_User.7,2016-09-18 00:00:00,created,,
W_CaseHistory.31,W_Case.211,W_User.7,2016-09-18 00:00:00,Status,,New
W_CaseHistory.32,W_Case.211,W_User.7,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.33,W_Case.212,W_User.1,2016-09-30 00:00:00,created,,
W_CaseHistory.34,W_Case.212,W_User.1,2016-09-30 00:00:00,Status,,New
W_CaseHistory.35,W_Case.212,W_User.1,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.36,W_Case.213,W_User.14,2016-11-05 00:00:00,created,,
W_CaseHistory.37,W_Case.213,W_User.14,2016-11-05 00:00:00,Status,,New
W_CaseHistory.38,W_Case.213,W_User.14,2016-11-07 00:00:00,Status,New,Waiting on Customer
W_CaseHistory.39,W_Case.213,W_User.14,2016-11-08 00:00:00,Status,Waiting on Customer,Escalated
W_CaseHistory.40,W_Case.213,W_User.14,2016-11-17 00:00:00,Status,Escalated,On Hold
W_CaseHistory.41,W_Case.214,W_User.12,2016-09-30 00:00:00,created,,
W_CaseHistory.42,W_Case.214,W_User.12,2016-09-30 00:00:00,Status,,New
W_CaseHistory.43,W_Case.214,W_User.12,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.44,W_Case.215,W_User.15,2016-09-06 00:00:00,created,,
W_CaseHistory.45,W_Case.215,W_User.15,2016-09-06 00:00:00,Status,,New
W_CaseHistory.46,W_Case.215,W_User.15,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.47,W_Case.216,W_User.8,2016-10-24 00:00:00,created,,
W_CaseHistory.48,W_Case.216,W_User.8,2016-10-24 00:00:00,Status,,New
W_CaseHistory.49,W_Case.216,W_User.8,2016-11-07 00:00:00,Status,New,Escalated
W_CaseHistory.50,W_Case.216,W_User.8,2016-11-17 00:00:00,Status,Escalated,Closed
W_CaseHistory.51,W_Case.217,W_User.8,2016-10-12 00:00:00,created,,
W_CaseHistory.52,W_Case.217,W_User.8,2016-10-12 00:00:00,Status,,New
W_CaseHistory.53,W_Case.217,W_User.8,2016-10-19 00:00:00,Status,New,Escalated
W_CaseHistory.54,W_Case.217,W_User.8,2016-11-02 00:00:00,Status,Escalated,Working
W_CaseHistory.55,W_Case.217,W_User.8,2016-11-17 00:00:00,Status,Working,Closed
W_CaseHistory.56,W_Case.218,W_User.15,2016-10-24 00:00:00,created,,
W_CaseHistory.57,W_Case.218,W_User.15,2016-10-24 00:00:00,Status,,New
W_CaseHistory.58,W_Case.218,W_User.15,2016-11-14 00:00:00,Status,New,Escalated
W_CaseHistory.59,W_Case.218,W_User.15,2016-11-17 00:00:00,Status,Escalated,Closed
W_CaseHistory.60,W_Case.219,W_User.8,2016-09-30 00:00:00,created,,
W_CaseHistory.61,W_Case.219,W_User.8,2016-09-30 00:00:00,Status,,New
W_CaseHistory.62,W_Case.219,W_User.8,2016-10-12 00:00:00,Status,New,Working
W_CaseHistory.63,W_Case.219,W_User.8,2016-11-01 00:00:00,Status,Working,On Hold
W_CaseHistory.64,W_Case.219,W_User.8,2016-11-17 00:00:00,Status,On Hold,Closed
W_CaseHistory.65,W_Case.220,W_User.15,2016-11-05 00:00:00,created,,
W_CaseHistory.66,W_Case.220,W_User.15,2016-11-05 00:00:00,Status,,New
W_CaseHistory.67,W_Case.220,W_User.15,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.68,W_Case.221,W_User.10,2016-09-30 00:00:00,created,,
W_CaseHistory.69,W_Case.221,W_User.10,2016-09-30 00:00:00,Status,,New
W_CaseHistory.70,W_Case.221,W_User.10,2016-10-07 00:00:00,Status,New,Escalated
W_CaseHistory.71,W_Case.221,W_User.10,2016-10-11 00:00:00,Status,Escalated,On Hold
W_CaseHistory.72,W_Case.221,W_User.10,2016-10-21 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.73,W_Case.221,W_User.10,2016-10-28 00:00:00,Status,Waiting on Customer,Working
W_CaseHistory.74,W_Case.221,W_User.10,2016-11-17 00:00:00,Status,Working,Closed
W_CaseHistory.75,W_Case.222,W_User.14,2016-08-01 00:00:00,created,,
W_CaseHistory.76,W_Case.222,W_User.14,2016-08-01 00:00:00,Status,,New
W_CaseHistory.77,W_Case.222,W_User.14,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.78,W_Case.223,W_User.13,2016-08-13 00:00:00,created,,
W_CaseHistory.79,W_Case.223,W_User.13,2016-08-13 00:00:00,Status,,New
W_CaseHistory.80,W_Case.223,W_User.13,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.81,W_Case.224,W_User.12,2016-10-24 00:00:00,created,,
W_CaseHistory.82,W_Case.224,W_User.12,2016-10-24 00:00:00,Status,,New
W_CaseHistory.83,W_Case.224,W_User.12,2016-10-28 00:00:00,Status,New,Waiting on Customer
W_CaseHistory.84,W_Case.224,W_User.12,2016-11-17 00:00:00,Status,Waiting on Customer,Closed
W_CaseHistory.85,W_Case.225,W_User.1,2016-10-12 00:00:00,created,,
W_CaseHistory.86,W_Case.225,W_User.1,2016-10-12 00:00:00,Status,,New
W_CaseHistory.87,W_Case.225,W_User.1,2016-10-23 00:00:00,Status,New,Escalated
W_CaseHistory.88,W_Case.225,W_User.1,2016-11-17 00:00:00,Status,Escalated,Closed
W_CaseHistory.89,W_Case.226,W_User.6,2016-11-05 00:00:00,created,,
W_CaseHistory.90,W_Case.226,W_User.6,2016-11-05 00:00:00,Status,,New
W_CaseHistory.91,W_Case.226,W_User.6,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.92,W_Case.227,W_User.15,2016-10-12 00:00:00,created,,
W_CaseHistory.93,W_Case.227,W_User.15,2016-10-12 00:00:00,Status,,New
W_CaseHistory.94,W_Case.227,W_User.15,2016-10-16 00:00:00,Status,New,Working
W_CaseHistory.95,W_Case.227,W_User.15,2016-10-22 00:00:00,Status,Working,Waiting on Customer
W_CaseHistory.96,W_Case.227,W_User.15,2016-11-17 00:00:00,Status,Waiting on Customer,Closed
W_CaseHistory.97,W_Case.228,W_User.9,2016-10-24 00:00:00,created,,
W_CaseHistory.98,W_Case.228,W_User.9,2016-10-24 00:00:00,Status,,New
W_CaseHistory.99,W_Case.228,W_User.9,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.100,W_Case.229,W_User.13,2016-09-18 00:00:00,created,,
W_CaseHistory.101,W_Case.229,W_User.13,2016-09-18 00:00:00,Status,,New
W_CaseHistory.102,W_Case.229,W_User.13,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.103,W_Case.230,W_User.11,2016-10-24 00:00:00,created,,
W_CaseHistory.104,W_Case.230,W_User.11,2016-10-24 00:00:00,Status,,New
W_CaseHistory.105,W_Case.230,W_User.11,2016-11-08 00:00:00,Status,New,On Hold
W_CaseHistory.106,W_Case.230,W_User.11,2016-11-17 00:00:00,Status,On Hold,Closed
W_CaseHistory.107,W_Case.231,W_User.14,2016-09-06 00:00:00,created,,
W_CaseHistory.108,W_Case.231,W_User.14,2016-09-06 00:00:00,Status,,New
W_CaseHistory.109,W_Case.231,W_User.14,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.110,W_Case.232,W_User.18,2016-10-12 00:00:00,created,,
W_CaseHistory.111,W_Case.232,W_User.18,2016-10-12 00:00:00,Status,,New
W_CaseHistory.112,W_Case.232,W_User.18,2016-10-14 00:00:00,Status,New,On Hold
W_CaseHistory.113,W_Case.232,W_User.18,2016-11-08 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.114,W_Case.232,W_User.18,2016-11-17 00:00:00,Status,Waiting on Customer,Closed
W_CaseHistory.115,W_Case.233,W_User.9,2016-07-20 00:00:00,created,,
W_CaseHistory.116,W_Case.233,W_User.9,2016-07-20 00:00:00,Status,,New
W_CaseHistory.117,W_Case.233,W_User.9,2016-08-14 00:00:00,Status,New,Escalated
W_CaseHistory.118,W_Case.233,W_User.9,2016-08-21 00:00:00,Status,Escalated,Waiting on Customer
W_CaseHistory.119,W_Case.233,W_User.9,2016-09-09 00:00:00,Status,Waiting on Customer,Working
W_CaseHistory.120,W_Case.233,W_User.9,2016-09-24 00:00:00,Status,Working,On Hold
W_CaseHistory.121,W_Case.233,W_User.9,2016-09-26 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.122,W_Case.233,W_User.9,2016-09-29 00:00:00,Status,Waiting on Customer,Working
W_CaseHistory.123,W_Case.233,W_User.9,2016-10-23 00:00:00,Status,Working,On Hold
W_CaseHistory.124,W_Case.233,W_User.9,2016-11-02 00:00:00,Status,On Hold,Working
W_CaseHistory.125,W_Case.233,W_User.9,2016-11-14 00:00:00,Status,Working,On Hold
W_CaseHistory.126,W_Case.233,W_User.9,2016-11-17 00:00:00,Status,On Hold,Closed
W_CaseHistory.127,W_Case.234,W_User.1,2016-07-20 00:00:00,created,,
W_CaseHistory.128,W_Case.234,W_User.1,2016-07-20 00:00:00,Status,,New
W_CaseHistory.129,W_Case.234,W_User.1,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.130,W_Case.235,W_User.6,2016-08-25 00:00:00,created,,
W_CaseHistory.131,W_Case.235,W_User.6,2016-08-25 00:00:00,Status,,New
W_CaseHistory.132,W_Case.235,W_User.6,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.133,W_Case.236,W_User.19,2016-07-20 00:00:00,created,,
W_CaseHistory.134,W_Case.236,W_User.19,2016-07-20 00:00:00,Status,,New
W_CaseHistory.135,W_Case.236,W_User.19,2016-08-10 00:00:00,Status,New,Escalated
W_CaseHistory.136,W_Case.236,W_User.19,2016-08-10 00:00:00,Status,Escalated,Waiting on Customer
W_CaseHistory.137,W_Case.236,W_User.19,2016-09-01 00:00:00,Status,Waiting on Customer,On Hold
W_CaseHistory.138,W_Case.236,W_User.19,2016-09-02 00:00:00,Status,On Hold,Working
W_CaseHistory.139,W_Case.236,W_User.19,2016-09-06 00:00:00,Status,Working,Waiting on Customer
W_CaseHistory.140,W_Case.236,W_User.19,2016-09-29 00:00:00,Status,Waiting on Customer,On Hold
W_CaseHistory.141,W_Case.236,W_User.19,2016-10-02 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.142,W_Case.236,W_User.19,2016-10-13 00:00:00,Status,Waiting on Customer,Working
W_CaseHistory.143,W_Case.236,W_User.19,2016-11-11 00:00:00,Status,Working,On Hold
W_CaseHistory.144,W_Case.236,W_User.19,2016-11-12 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.145,W_Case.236,W_User.19,2016-11-15 00:00:00,Status,Waiting on Customer,On Hold
W_CaseHistory.146,W_Case.236,W_User.19,2016-11-17 00:00:00,Status,On Hold,Closed
W_CaseHistory.147,W_Case.237,W_User.15,2016-10-12 00:00:00,created,,
W_CaseHistory.148,W_Case.237,W_User.15,2016-10-12 00:00:00,Status,,New
W_CaseHistory.149,W_Case.237,W_User.15,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.150,W_Case.238,W_User.13,2016-10-24 00:00:00,created,,
W_CaseHistory.151,W_Case.238,W_User.13,2016-10-24 00:00:00,Status,,New
W_CaseHistory.152,W_Case.238,W_User.13,2016-10-27 00:00:00,Status,New,Waiting on Customer
W_CaseHistory.153,W_Case.238,W_User.13,2016-11-15 00:00:00,Status,Waiting on Customer,Escalated
W_CaseHistory.154,W_Case.238,W_User.13,2016-11-17 00:00:00,Status,Escalated,Closed
W_CaseHistory.155,W_Case.239,W_User.14,2016-09-18 00:00:00,created,,
W_CaseHistory.156,W_Case.239,W_User.14,2016-09-18 00:00:00,Status,,New
W_CaseHistory.157,W_Case.239,W_User.14,2016-09-30 00:00:00,Status,New,On Hold
W_CaseHistory.158,W_Case.239,W_User.14,2016-10-14 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.159,W_Case.239,W_User.14,2016-10-31 00:00:00,Status,Waiting on Customer,On Hold
W_CaseHistory.160,W_Case.239,W_User.14,2016-11-04 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.161,W_Case.239,W_User.14,2016-11-17 00:00:00,Status,Waiting on Customer,Closed
W_CaseHistory.162,W_Case.240,W_User.6,2016-08-25 00:00:00,created,,
W_CaseHistory.163,W_Case.240,W_User.6,2016-08-25 00:00:00,Status,,New
W_CaseHistory.164,W_Case.240,W_User.6,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.165,W_Case.241,W_User.20,2016-10-12 00:00:00,created,,
W_CaseHistory.166,W_Case.241,W_User.20,2016-10-12 00:00:00,Status,,New
W_CaseHistory.167,W_Case.241,W_User.20,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.168,W_Case.242,W_User.17,2016-08-01 00:00:00,created,,
W_CaseHistory.169,W_Case.242,W_User.17,2016-08-01 00:00:00,Status,,New
W_CaseHistory.170,W_Case.242,W_User.17,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.171,W_Case.243,W_User.6,2016-10-24 00:00:00,created,,
W_CaseHistory.172,W_Case.243,W_User.6,2016-10-24 00:00:00,Status,,New
W_CaseHistory.173,W_Case.243,W_User.6,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.174,W_Case.244,W_User.14,2016-08-25 00:00:00,created,,
W_CaseHistory.175,W_Case.244,W_User.14,2016-08-25 00:00:00,Status,,New
W_CaseHistory.176,W_Case.244,W_User.14,2016-09-23 00:00:00,Status,New,On Hold
W_CaseHistory.177,W_Case.244,W_User.14,2016-10-10 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.178,W_Case.244,W_User.14,2016-10-30 00:00:00,Status,Waiting on Customer,Escalated
W_CaseHistory.179,W_Case.244,W_User.14,2016-11-17 00:00:00,Status,Escalated,Closed
W_CaseHistory.180,W_Case.245,W_User.15,2016-09-06 00:00:00,created,,
W_CaseHistory.181,W_Case.245,W_User.15,2016-09-06 00:00:00,Status,,New
W_CaseHistory.182,W_Case.245,W_User.15,2016-09-18 00:00:00,Status,New,Working
W_CaseHistory.183,W_Case.245,W_User.15,2016-09-23 00:00:00,Status,Working,Waiting on Customer
W_CaseHistory.184,W_Case.245,W_User.15,2016-09-29 00:00:00,Status,Waiting on Customer,On Hold
W_CaseHistory.185,W_Case.245,W_User.15,2016-10-04 00:00:00,Status,On Hold,Working
W_CaseHistory.186,W_Case.245,W_User.15,2016-10-31 00:00:00,Status,Working,Escalated
W_CaseHistory.187,W_Case.245,W_User.15,2016-11-17 00:00:00,Status,Escalated,Closed
W_CaseHistory.188,W_Case.246,W_User.9,2016-08-25 00:00:00,created,,
W_CaseHistory.189,W_Case.246,W_User.9,2016-08-25 00:00:00,Status,,New
W_CaseHistory.190,W_Case.246,W_User.9,2016-09-17 00:00:00,Status,New,Escalated
W_CaseHistory.191,W_Case.246,W_User.9,2016-10-12 00:00:00,Status,Escalated,Waiting on Customer
W_CaseHistory.192,W_Case.246,W_User.9,2016-10-18 00:00:00,Status,Waiting on Customer,On Hold
W_CaseHistory.193,W_Case.246,W_User.9,2016-11-16 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.194,W_Case.246,W_User.9,2016-11-17 00:00:00,Status,Waiting on Customer,Working
W_CaseHistory.195,W_Case.248,W_User.8,2016-07-20 00:00:00,created,,
W_CaseHistory.196,W_Case.248,W_User.8,2016-07-20 00:00:00,Status,,New
W_CaseHistory.197,W_Case.248,W_User.8,2016-07-28 00:00:00,Status,New,Working
W_CaseHistory.198,W_Case.248,W_User.8,2016-08-09 00:00:00,Status,Working,Waiting on Customer
W_CaseHistory.199,W_Case.248,W_User.8,2016-08-27 00:00:00,Status,Waiting on Customer,On Hold
W_CaseHistory.200,W_Case.248,W_User.8,2016-09-03 00:00:00,Status,On Hold,Escalated
W_CaseHistory.201,W_Case.248,W_User.8,2016-09-13 00:00:00,Status,Escalated,Working
W_CaseHistory.202,W_Case.248,W_User.8,2016-10-11 00:00:00,Status,Working,On Hold
W_CaseHistory.203,W_Case.248,W_User.8,2016-10-25 00:00:00,Status,On Hold,Working
W_CaseHistory.204,W_Case.248,W_User.8,2016-10-28 00:00:00,Status,Working,Waiting on Customer
W_CaseHistory.205,W_Case.248,W_User.8,2016-11-05 00:00:00,Status,Waiting on Customer,On Hold
W_CaseHistory.206,W_Case.248,W_User.8,2016-11-07 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.207,W_Case.248,W_User.8,2016-11-17 00:00:00,Status,Waiting on Customer,Closed
W_CaseHistory.208,W_Case.249,W_User.7,2016-09-06 00:00:00,created,,
W_CaseHistory.209,W_Case.249,W_User.7,2016-09-06 00:00:00,Status,,New
W_CaseHistory.210,W_Case.249,W_User.7,2016-09-19 00:00:00,Status,New,On Hold
W_CaseHistory.211,W_Case.249,W_User.7,2016-09-28 00:00:00,Status,On Hold,Escalated
W_CaseHistory.212,W_Case.249,W_User.7,2016-10-24 00:00:00,Status,Escalated,On Hold
W_CaseHistory.213,W_Case.249,W_User.7,2016-11-04 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.214,W_Case.249,W_User.7,2016-11-17 00:00:00,Status,Waiting on Customer,Closed
W_CaseHistory.215,W_Case.250,W_User.15,2016-10-24 00:00:00,created,,
W_CaseHistory.216,W_Case.250,W_User.15,2016-10-24 00:00:00,Status,,New
W_CaseHistory.217,W_Case.250,W_User.15,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.218,W_Case.251,W_User.11,2016-11-05 00:00:00,created,,
W_CaseHistory.219,W_Case.251,W_User.11,2016-11-05 00:00:00,Status,,New
W_CaseHistory.220,W_Case.251,W_User.11,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.221,W_Case.252,W_User.9,2016-09-30 00:00:00,created,,
W_CaseHistory.222,W_Case.252,W_User.9,2016-09-30 00:00:00,Status,,New
W_CaseHistory.223,W_Case.252,W_User.9,2016-10-24 00:00:00,Status,New,On Hold
W_CaseHistory.224,W_Case.252,W_User.9,2016-11-07 00:00:00,Status,On Hold,Working
W_CaseHistory.225,W_Case.252,W_User.9,2016-11-17 00:00:00,Status,Working,Closed
W_CaseHistory.226,W_Case.253,W_User.15,2016-07-20 00:00:00,created,,
W_CaseHistory.227,W_Case.253,W_User.15,2016-07-20 00:00:00,Status,,New
W_CaseHistory.228,W_Case.253,W_User.15,2016-08-08 00:00:00,Status,New,Waiting on Customer
W_CaseHistory.229,W_Case.253,W_User.15,2016-08-14 00:00:00,Status,Waiting on Customer,On Hold
W_CaseHistory.230,W_Case.253,W_User.15,2016-09-07 00:00:00,Status,On Hold,Working
W_CaseHistory.231,W_Case.253,W_User.15,2016-09-10 00:00:00,Status,Working,On Hold
W_CaseHistory.232,W_Case.253,W_User.15,2016-09-23 00:00:00,Status,On Hold,Escalated
W_CaseHistory.233,W_Case.253,W_User.15,2016-09-25 00:00:00,Status,Escalated,Waiting on Customer
W_CaseHistory.234,W_Case.253,W_User.15,2016-10-23 00:00:00,Status,Waiting on Customer,Working
W_CaseHistory.235,W_Case.253,W_User.15,2016-11-14 00:00:00,Status,Working,On Hold
W_CaseHistory.236,W_Case.253,W_User.15,2016-11-17 00:00:00,Status,On Hold,Closed
W_CaseHistory.237,W_Case.254,W_User.6,2016-09-18 00:00:00,created,,
W_CaseHistory.238,W_Case.254,W_User.6,2016-09-18 00:00:00,Status,,New
W_CaseHistory.239,W_Case.254,W_User.6,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.240,W_Case.255,W_User.1,2016-09-30 00:00:00,created,,
W_CaseHistory.241,W_Case.255,W_User.1,2016-09-30 00:00:00,Status,,New
W_CaseHistory.242,W_Case.255,W_User.1,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.243,W_Case.256,W_User.15,2016-08-25 00:00:00,created,,
W_CaseHistory.244,W_Case.256,W_User.15,2016-08-25 00:00:00,Status,,New
W_CaseHistory.245,W_Case.256,W_User.15,2016-09-24 00:00:00,Status,New,Waiting on Customer
W_CaseHistory.246,W_Case.256,W_User.15,2016-10-11 00:00:00,Status,Waiting on Customer,Escalated
W_CaseHistory.247,W_Case.256,W_User.15,2016-11-09 00:00:00,Status,Escalated,On Hold
W_CaseHistory.248,W_Case.256,W_User.15,2016-11-17 00:00:00,Status,On Hold,Closed
W_CaseHistory.249,W_Case.257,W_User.11,2016-08-25 00:00:00,created,,
W_CaseHistory.250,W_Case.257,W_User.11,2016-08-25 00:00:00,Status,,New
W_CaseHistory.251,W_Case.257,W_User.11,2016-08-28 00:00:00,Status,New,Waiting on Customer
W_CaseHistory.252,W_Case.257,W_User.11,2016-09-12 00:00:00,Status,Waiting on Customer,Escalated
W_CaseHistory.253,W_Case.257,W_User.11,2016-09-26 00:00:00,Status,Escalated,On Hold
W_CaseHistory.254,W_Case.257,W_User.11,2016-10-19 00:00:00,Status,On Hold,Waiting on Customer
W_CaseHistory.255,W_Case.257,W_User.11,2016-10-21 00:00:00,Status,Waiting on Customer,Working
W_CaseHistory.256,W_Case.257,W_User.11,2016-10-21 00:00:00,Status,Working,Waiting on Customer
W_CaseHistory.257,W_Case.257,W_User.11,2016-10-28 00:00:00,Status,Waiting on Customer,On Hold
W_CaseHistory.258,W_Case.257,W_User.11,2016-11-09 00:00:00,Status,On Hold,Working
W_CaseHistory.259,W_Case.257,W_User.11,2016-11-17 00:00:00,Status,Working,Closed
W_CaseHistory.260,W_Case.258,W_User.8,2016-11-05 00:00:00,created,,
W_CaseHistory.261,W_Case.258,W_User.8,2016-11-05 00:00:00,Status,,New
W_CaseHistory.262,W_Case.258,W_User.8,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.263,W_Case.259,W_User.15,2016-09-30 00:00:00,created,,
W_CaseHistory.264,W_Case.259,W_User.15,2016-09-30 00:00:00,Status,,New
W_CaseHistory.265,W_Case.259,W_User.15,2016-10-11 00:00:00,Status,New,Working
W_CaseHistory.266,W_Case.259,W_User.15,2016-11-07 00:00:00,Status,Working,Waiting on Customer
W_CaseHistory.267,W_Case.259,W_User.15,2016-11-17 00:00:00,Status,Waiting on Customer,Closed
W_CaseHistory.268,W_Case.260,W_User.14,2016-07-20 00:00:00,created,,
W_CaseHistory.269,W_Case.260,W_User.14,2016-07-20 00:00:00,Status,,New
W_CaseHistory.270,W_Case.260,W_User.14,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.271,W_Case.261,W_User.6,2016-08-13 00:00:00,created,,
W_CaseHistory.272,W_Case.261,W_User.6,2016-08-13 00:00:00,Status,,New
W_CaseHistory.273,W_Case.261,W_User.6,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.274,W_Case.262,W_User.8,2016-09-30 00:00:00,created,,
W_CaseHistory.275,W_Case.262,W_User.8,2016-09-30 00:00:00,Status,,New
W_CaseHistory.276,W_Case.262,W_User.8,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.277,W_Case.263,W_User.7,2016-09-06 00:00:00,created,,
W_CaseHistory.278,W_Case.263,W_User.7,2016-09-06 00:00:00,Status,,New
W_CaseHistory.279,W_Case.263,W_User.7,2016-09-22 00:00:00,Status,New,Waiting on Customer
W_CaseHistory.280,W_Case.263,W_User.7,2016-10-13 00:00:00,Status,Waiting on Customer,Working
W_CaseHistory.281,W_Case.263,W_User.7,2016-11-01 00:00:00,Status,Working,On Hold
W_CaseHistory.282,W_Case.263,W_User.7,2016-11-08 00:00:00,Status,On Hold,Escalated
W_CaseHistory.283,W_Case.263,W_User.7,2016-11-17 00:00:00,Status,Escalated,Closed
W_CaseHistory.284,W_Case.264,W_User.3,2016-10-12 00:00:00,created,,
W_CaseHistory.285,W_Case.264,W_User.3,2016-10-12 00:00:00,Status,,New
W_CaseHistory.286,W_Case.264,W_User.3,2016-11-17 00:00:00,Status,New,Closed
W_CaseHistory.287,W_Case.265,W_User.6,2016-09-29 00:00:00,created,,
W_CaseHistory.288,W_Case.265,W_User.6,2016-09-29 00:00:00,Status,,New
W_CaseHistory.289,W_Case.265,W_User.6,2016-10-05 00:00:00,Status,New,Escalated
W_CaseHistory.290,W_Case.265,W_User.6,2016-10-11 00:00:00,Status,Escalated,Working
W_CaseHistory.291,W_Case.265,W_User.6,2016-10-30 00:00:00,Status,Working,Waiting on Customer
W_CaseHistory.292,W_Case.265,W_User.6,2016-11-08 00:00:00,Status,Waiting on Customer,Working
W_CaseHistory.293,W_Case.265,W_User.6,2016-11-16 00:00:00,Status,Working,Closed
W_CaseHistory.294,W_Case.266,W_User.3,2016-10-23 00:00:00,created,,
W_CaseHistory.295,W_Case.266,W_User.3,2016-10-23 00:00:00,Status,,New
W_CaseHistory.296,W_Case.266,W_User.3,2016-10-28 00:00:00,Status,New,On Hold
W_CaseHistory.297,W_Case.266,W_User.3,2016-11-06 00:00:00,Status,On Hold,Working
W_CaseHistory.298,W_Case.266,W_User.3,2016-11-11 00:00:00,Status,Working,Waiting on Customer
W_CaseHistory.299,W_Case.266,W_User.3,2016-11-16 00:00:00,Status,Waiting on Customer,Closed
W_CaseHistory.300,W_Case.267,W_User.8,2016-07-31 00:00:00,created,,
