External_Id__c,Owner.External_Id__c,Account.External_Id__c,DateTimeCreated__c,CloseDate,Name,Products__c,StageName,Amount,Type
W_Services_Opportunity.15,W_Services_User.19,W_Services_Account.77,2016-12-12 00:12:35,2017-02-26 00:12:35,New Opportunity [2016-12-12 00:12:35],GC5000 series,Negotiation,119200,New Business
W_Services_Opportunity.16,W_Services_User.15,W_Services_Account.1007,2016-06-20 21:31:29,2016-10-21 21:31:29,New Opportunity [2016-06-20 21:31:29],GC1000 series,Needs Analysis,149300,New Business
W_Services_Opportunity.17,W_Services_User.8,W_Services_Account.536,2015-08-25 15:15:08,2016-03-14 15:15:08,New Opportunity [2015-08-25 15:15:08],GC5000 series,Closed Lost,131700,Renewal
W_Services_Opportunity.18,W_Services_User.20,W_Services_Account.673,2016-04-26 01:44:54,2016-09-19 01:44:54,New Opportunity [2016-04-26 01:44:54],GC20002,Qualification,147500,New Business
W_Services_Opportunity.19,W_Services_User.15,W_Services_Account.658,2016-09-06 02:32:40,2017-02-13 02:32:40,New Opportunity [2016-09-06 02:32:40],GC1000 series,Closed Lost,158000,New Business
W_Services_Opportunity.20,W_Services_User.8,W_Services_Account.280,2016-06-08 03:40:06,2016-10-13 03:40:06,New Opportunity [2016-06-08 03:40:06],GC10001,Qualification,140000,Add-On Business
W_Services_Opportunity.21,W_Services_User.5,W_Services_Account.788,2016-03-08 10:32:15,2016-06-08 10:32:15,New Opportunity [2016-03-08 10:32:15],GC5000 series,Negotiation,217900,New Business
W_Services_Opportunity.22,W_Services_User.7,W_Services_Account.281,2015-08-13 12:05:14,2015-11-05 12:05:14,New Opportunity [2015-08-13 12:05:14],GC20002,Proposal/Quote,155600,Services
W_Services_Opportunity.23,W_Services_User.7,W_Services_Account.513,2015-08-17 09:08:33,2016-02-21 09:08:33,New Opportunity [2015-08-17 09:08:33],GC1000 series,Closed Lost,131100,Add-On Business
W_Services_Opportunity.24,W_Services_User.13,W_Services_Account.501,2016-09-03 14:51:13,2017-01-29 14:51:13,New Opportunity [2016-09-03 14:51:13],GC1000 series,Qualification,61600,New Business
W_Services_Opportunity.25,W_Services_User.16,W_Services_Account.329,2016-11-18 07:31:38,2017-02-19 07:31:38,New Opportunity [2016-11-18 07:31:38],GC10001,Closed Won,182600,New Business
W_Services_Opportunity.26,W_Services_User.4,W_Services_Account.83,2015-07-01 03:35:18,2015-09-08 03:35:18,New Opportunity [2015-07-01 03:35:18],GC20002,Qualification,103700,New Business
W_Services_Opportunity.27,W_Services_User.4,W_Services_Account.528,2016-08-27 23:29:52,2017-02-08 23:29:52,New Opportunity [2016-08-27 23:29:52],GC50000,Qualification,102700,Renewal
W_Services_Opportunity.28,W_Services_User.16,W_Services_Account.287,2016-09-02 19:52:45,2017-02-17 19:52:45,New Opportunity [2016-09-02 19:52:45],GC1000 series,Closed Lost,86700,Renewal
W_Services_Opportunity.29,W_Services_User.4,W_Services_Account.627,2015-11-17 11:54:10,2016-03-19 11:54:10,New Opportunity [2015-11-17 11:54:10],GC1000 series,Qualification,176800,Add-On Business
W_Services_Opportunity.30,W_Services_User.13,W_Services_Account.542,2015-10-29 00:01:16,2016-02-18 00:01:16,New Opportunity [2015-10-29 00:01:16],GC50000,Negotiation,159800,New Business
W_Services_Opportunity.31,W_Services_User.7,W_Services_Account.682,2016-04-16 01:19:47,2016-09-22 01:19:47,New Opportunity [2016-04-16 01:19:47],GC5000 series,Needs Analysis,164300,Services
W_Services_Opportunity.32,W_Services_User.7,W_Services_Account.51,2015-09-06 12:08:23,2016-02-01 12:08:23,New Opportunity [2015-09-06 12:08:23],GC5000 series,Closed Won,191200,Services
W_Services_Opportunity.33,W_Services_User.1,W_Services_Account.583,2015-01-19 23:53:39,2015-04-08 23:53:39,New Opportunity [2015-01-19 23:53:39],GC1000 series,Qualification,152800,Renewal
W_Services_Opportunity.34,W_Services_User.8,W_Services_Account.588,2015-10-16 11:01:07,2016-04-23 11:01:07,New Opportunity [2015-10-16 11:01:07],GC5000 series,Closed Won,155100,New Business
W_Services_Opportunity.35,W_Services_User.10,W_Services_Account.689,2015-02-10 13:44:37,2015-08-21 13:44:37,New Opportunity [2015-02-10 13:44:37],GC10001,Closed Won,134100,New Business
W_Services_Opportunity.36,W_Services_User.13,W_Services_Account.995,2015-09-15 21:37:03,2015-12-23 21:37:03,New Opportunity [2015-09-15 21:37:03],GC1000 series,Needs Analysis,120900,Add-On Business
W_Services_Opportunity.37,W_Services_User.1,W_Services_Account.815,2015-05-28 04:25:31,2015-11-11 04:25:31,New Opportunity [2015-05-28 04:25:31],GC20002,Qualification,141700,Add-On Business
W_Services_Opportunity.38,W_Services_User.18,W_Services_Account.441,2015-08-25 08:08:52,2016-02-25 08:08:52,New Opportunity [2015-08-25 08:08:52],GC20002,Needs Analysis,122500,Add-On Business
W_Services_Opportunity.39,W_Services_User.11,W_Services_Account.489,2016-02-22 11:29:19,2016-05-15 11:29:19,New Opportunity [2016-02-22 11:29:19],GC10001,Qualification,121400,Add-On Business
W_Services_Opportunity.40,W_Services_User.19,W_Services_Account.947,2016-05-26 17:34:41,2016-08-13 17:34:41,New Opportunity [2016-05-26 17:34:41],GC1000 series,Qualification,124000,Services
W_Services_Opportunity.41,W_Services_User.9,W_Services_Account.323,2015-06-16 20:06:53,2015-10-31 20:06:53,New Opportunity [2015-06-16 20:06:53],GC20002,Negotiation,165800,Add-On Business
W_Services_Opportunity.42,W_Services_User.7,W_Services_Account.420,2016-07-18 08:30:19,2016-12-20 08:30:19,New Opportunity [2016-07-18 08:30:19],GC20002,Proposal/Quote,99500,New Business
W_Services_Opportunity.43,W_Services_User.9,W_Services_Account.345,2015-01-14 00:21:54,2015-03-18 00:21:54,New Opportunity [2015-01-14 00:21:54],GC5000 series,Closed Won,195400,Add-On Business
W_Services_Opportunity.44,W_Services_User.8,W_Services_Account.1005,2015-06-07 03:44:50,2015-12-05 03:44:50,New Opportunity [2015-06-07 03:44:50],GC20002,Closed Lost,151200,New Business
W_Services_Opportunity.45,W_Services_User.5,W_Services_Account.477,2015-03-28 18:12:43,2015-09-15 18:12:43,New Opportunity [2015-03-28 18:12:43],GC10001,Proposal/Quote,193200,Add-On Business
W_Services_Opportunity.46,W_Services_User.20,W_Services_Account.841,2016-01-07 19:33:06,2016-03-07 19:33:06,New Opportunity [2016-01-07 19:33:06],GC20002,Qualification,186200,New Business
W_Services_Opportunity.47,W_Services_User.4,W_Services_Account.262,2015-10-30 20:44:22,2016-03-31 20:44:22,New Opportunity [2015-10-30 20:44:22],GC10001,Closed Won,167600,New Business
W_Services_Opportunity.48,W_Services_User.10,W_Services_Account.598,2015-04-20 23:42:34,2015-11-07 23:42:34,New Opportunity [2015-04-20 23:42:34],GC10001,Closed Lost,154400,New Business
W_Services_Opportunity.49,W_Services_User.4,W_Services_Account.294,2015-11-18 12:01:14,2016-02-13 12:01:14,New Opportunity [2015-11-18 12:01:14],GC1000 series,Needs Analysis,151400,Add-On Business
W_Services_Opportunity.50,W_Services_User.18,W_Services_Account.144,2015-01-31 07:54:30,2015-05-02 07:54:30,New Opportunity [2015-01-31 07:54:30],GC10001,Proposal/Quote,155800,Services
W_Services_Opportunity.51,W_Services_User.13,W_Services_Account.1097,2015-04-21 18:05:07,2015-11-09 18:05:07,New Opportunity [2015-04-21 18:05:07],GC1000 series,Qualification,182600,New Business
W_Services_Opportunity.52,W_Services_User.3,W_Services_Account.375,2016-11-15 15:03:46,2017-05-28 15:03:46,New Opportunity [2016-11-15 15:03:46],GC1000 series,Needs Analysis,167800,New Business
W_Services_Opportunity.53,W_Services_User.14,W_Services_Account.990,2016-04-08 12:46:06,2016-09-28 12:46:06,New Opportunity [2016-04-08 12:46:06],GC5000 series,Needs Analysis,209900,Add-On Business
W_Services_Opportunity.54,W_Services_User.1,W_Services_Account.589,2015-03-06 09:40:13,2015-05-14 09:40:13,New Opportunity [2015-03-06 09:40:13],GC50000,Qualification,178600,New Business
W_Services_Opportunity.55,W_Services_User.14,W_Services_Account.437,2016-01-24 06:59:23,2016-04-13 06:59:23,New Opportunity [2016-01-24 06:59:23],GC20002,Closed Lost,103800,Add-On Business
W_Services_Opportunity.56,W_Services_User.12,W_Services_Account.871,2015-12-23 12:09:20,2016-06-05 12:09:20,New Opportunity [2015-12-23 12:09:20],GC20002,Needs Analysis,189200,Renewal
W_Services_Opportunity.57,W_Services_User.15,W_Services_Account.349,2015-04-27 09:17:38,2015-09-06 09:17:38,New Opportunity [2015-04-27 09:17:38],GC5000 series,Closed Lost,148500,Add-On Business
W_Services_Opportunity.58,W_Services_User.20,W_Services_Account.598,2016-11-02 21:33:12,2017-04-07 21:33:12,New Opportunity [2016-11-02 21:33:12],GC50000,Needs Analysis,157800,Add-On Business
W_Services_Opportunity.59,W_Services_User.18,W_Services_Account.893,2015-12-26 08:59:51,2016-07-09 08:59:51,New Opportunity [2015-12-26 08:59:51],GC5000 series,Closed Lost,147600,New Business
W_Services_Opportunity.60,W_Services_User.20,W_Services_Account.800,2016-03-10 23:22:28,2016-06-01 23:22:28,New Opportunity [2016-03-10 23:22:28],GC10001,Closed Lost,89300,New Business
W_Services_Opportunity.61,W_Services_User.11,W_Services_Account.589,2016-07-16 05:24:32,2016-12-05 05:24:32,New Opportunity [2016-07-16 05:24:32],GC20002,Closed Won,161100,Add-On Business
W_Services_Opportunity.62,W_Services_User.12,W_Services_Account.597,2016-03-29 04:09:06,2016-06-24 04:09:06,New Opportunity [2016-03-29 04:09:06],GC5000 series,Qualification,48500,New Business
W_Services_Opportunity.63,W_Services_User.14,W_Services_Account.876,2016-12-20 13:35:23,2017-06-28 13:35:23,New Opportunity [2016-12-20 13:35:23],GC1000 series,Needs Analysis,128600,Add-On Business
W_Services_Opportunity.64,W_Services_User.20,W_Services_Account.690,2016-06-06 12:04:59,2016-12-01 12:04:59,New Opportunity [2016-06-06 12:04:59],GC5000 series,Needs Analysis,153100,Services
W_Services_Opportunity.65,W_Services_User.12,W_Services_Account.589,2016-04-29 16:50:16,2016-10-24 16:50:16,New Opportunity [2016-04-29 16:50:16],GC10001,Closed Lost,171800,Add-On Business
W_Services_Opportunity.66,W_Services_User.18,W_Services_Account.227,2016-07-06 15:41:59,2016-09-26 15:41:59,New Opportunity [2016-07-06 15:41:59],GC10001,Needs Analysis,198900,New Business
W_Services_Opportunity.67,W_Services_User.3,W_Services_Account.899,2015-08-30 21:16:00,2015-12-24 21:16:00,New Opportunity [2015-08-30 21:16:00],GC20002,Negotiation,95000,Add-On Business
W_Services_Opportunity.68,W_Services_User.20,W_Services_Account.342,2015-12-05 02:02:59,2016-02-15 02:02:59,New Opportunity [2015-12-05 02:02:59],GC20002,Proposal/Quote,174700,New Business
W_Services_Opportunity.69,W_Services_User.12,W_Services_Account.1038,2015-09-21 11:11:36,2016-04-14 11:11:36,New Opportunity [2015-09-21 11:11:36],GC5000 series,Closed Won,144300,New Business
W_Services_Opportunity.70,W_Services_User.6,W_Services_Account.613,2016-07-09 07:34:43,2016-12-26 07:34:43,New Opportunity [2016-07-09 07:34:43],GC20002,Closed Lost,143200,Services
W_Services_Opportunity.71,W_Services_User.1,W_Services_Account.477,2016-11-25 09:39:42,2017-04-23 09:39:42,New Opportunity [2016-11-25 09:39:42],GC20002,Closed Lost,118400,Renewal
W_Services_Opportunity.72,W_Services_User.8,W_Services_Account.680,2016-07-17 07:00:58,2017-01-16 07:00:58,New Opportunity [2016-07-17 07:00:58],GC20002,Closed Won,97300,New Business
W_Services_Opportunity.73,W_Services_User.1,W_Services_Account.194,2015-04-27 06:02:12,2015-10-13 06:02:12,New Opportunity [2015-04-27 06:02:12],GC10001,Proposal/Quote,150200,Renewal
W_Services_Opportunity.74,W_Services_User.8,W_Services_Account.858,2015-02-06 01:47:18,2015-08-23 01:47:18,New Opportunity [2015-02-06 01:47:18],GC5000 series,Qualification,121700,Services
W_Services_Opportunity.75,W_Services_User.14,W_Services_Account.715,2016-10-11 23:48:36,2017-02-27 23:48:36,New Opportunity [2016-10-11 23:48:36],GC1000 series,Proposal/Quote,116600,Add-On Business
W_Services_Opportunity.76,W_Services_User.5,W_Services_Account.753,2016-08-05 10:25:10,2017-01-26 10:25:10,New Opportunity [2016-08-05 10:25:10],GC5000 series,Negotiation,121400,New Business
W_Services_Opportunity.77,W_Services_User.18,W_Services_Account.787,2016-07-01 16:31:05,2016-10-10 16:31:05,New Opportunity [2016-07-01 16:31:05],GC50000,Qualification,237100,Add-On Business
W_Services_Opportunity.78,W_Services_User.10,W_Services_Account.67,2016-06-26 01:18:51,2017-01-13 01:18:51,New Opportunity [2016-06-26 01:18:51],GC1000 series,Needs Analysis,117100,Services
W_Services_Opportunity.79,W_Services_User.8,W_Services_Account.709,2016-10-09 14:21:37,2017-03-06 14:21:37,New Opportunity [2016-10-09 14:21:37],GC1000 series,Proposal/Quote,159400,Services
W_Services_Opportunity.80,W_Services_User.14,W_Services_Account.765,2015-12-29 11:08:08,2016-03-17 11:08:08,New Opportunity [2015-12-29 11:08:08],GC5000 series,Qualification,125000,Add-On Business
W_Services_Opportunity.81,W_Services_User.1,W_Services_Account.1087,2016-06-11 08:30:01,2016-12-27 08:30:01,New Opportunity [2016-06-11 08:30:01],GC50000,Closed Won,112500,Add-On Business
W_Services_Opportunity.82,W_Services_User.11,W_Services_Account.265,2015-04-19 04:25:39,2015-08-25 04:25:39,New Opportunity [2015-04-19 04:25:39],GC50000,Needs Analysis,197700,Services
W_Services_Opportunity.83,W_Services_User.11,W_Services_Account.1071,2016-09-18 21:19:05,2017-03-21 21:19:05,New Opportunity [2016-09-18 21:19:05],GC5000 series,Proposal/Quote,157900,Add-On Business
W_Services_Opportunity.84,W_Services_User.1,W_Services_Account.491,2016-09-26 09:11:39,2017-03-03 09:11:39,New Opportunity [2016-09-26 09:11:39],GC5000 series,Qualification,179600,Renewal
W_Services_Opportunity.85,W_Services_User.15,W_Services_Account.537,2015-08-10 07:38:35,2015-11-24 07:38:35,New Opportunity [2015-08-10 07:38:35],GC1000 series,Closed Lost,110500,Add-On Business
W_Services_Opportunity.86,W_Services_User.12,W_Services_Account.276,2015-05-09 10:57:00,2015-10-31 10:57:00,New Opportunity [2015-05-09 10:57:00],GC20002,Qualification,136400,New Business
W_Services_Opportunity.87,W_Services_User.13,W_Services_Account.135,2016-01-13 18:44:56,2016-07-16 18:44:56,New Opportunity [2016-01-13 18:44:56],GC50000,Negotiation,141100,Add-On Business
W_Services_Opportunity.88,W_Services_User.20,W_Services_Account.570,2015-09-29 23:19:02,2016-04-16 23:19:02,New Opportunity [2015-09-29 23:19:02],GC1000 series,Qualification,133500,Renewal
W_Services_Opportunity.89,W_Services_User.5,W_Services_Account.342,2016-11-22 06:52:28,2017-06-18 06:52:28,New Opportunity [2016-11-22 06:52:28],GC20002,Closed Lost,147000,New Business
W_Services_Opportunity.90,W_Services_User.19,W_Services_Account.1013,2015-05-04 00:48:05,2015-11-06 00:48:05,New Opportunity [2015-05-04 00:48:05],GC10001,Closed Lost,165800,New Business
W_Services_Opportunity.91,W_Services_User.10,W_Services_Account.170,2015-03-12 19:35:28,2015-07-06 19:35:28,New Opportunity [2015-03-12 19:35:28],GC50000,Needs Analysis,126200,New Business
W_Services_Opportunity.92,W_Services_User.12,W_Services_Account.213,2016-11-10 19:39:52,2017-04-25 19:39:52,New Opportunity [2016-11-10 19:39:52],GC20002,Proposal/Quote,148600,Services
W_Services_Opportunity.93,W_Services_User.18,W_Services_Account.1053,2015-11-14 20:23:18,2016-05-28 20:23:18,New Opportunity [2015-11-14 20:23:18],GC5000 series,Closed Won,175900,New Business
W_Services_Opportunity.94,W_Services_User.11,W_Services_Account.605,2015-06-05 03:29:59,2015-10-08 03:29:59,New Opportunity [2015-06-05 03:29:59],GC20002,Qualification,110900,Add-On Business
W_Services_Opportunity.95,W_Services_User.9,W_Services_Account.944,2015-02-17 18:45:27,2015-08-18 18:45:27,New Opportunity [2015-02-17 18:45:27],GC20002,Closed Lost,180400,Services
W_Services_Opportunity.96,W_Services_User.9,W_Services_Account.157,2015-07-12 11:48:26,2015-12-11 11:48:26,New Opportunity [2015-07-12 11:48:26],GC10001,Qualification,198700,New Business
W_Services_Opportunity.97,W_Services_User.17,W_Services_Account.242,2015-08-13 12:16:50,2015-10-30 12:16:50,New Opportunity [2015-08-13 12:16:50],GC50000,Qualification,131500,New Business
W_Services_Opportunity.98,W_Services_User.2,W_Services_Account.82,2015-07-26 21:21:27,2016-01-27 21:21:27,New Opportunity [2015-07-26 21:21:27],GC50000,Needs Analysis,161900,Add-On Business
W_Services_Opportunity.99,W_Services_User.13,W_Services_Account.322,2016-07-29 20:13:20,2016-12-29 20:13:20,New Opportunity [2016-07-29 20:13:20],GC5000 series,Closed Lost,234700,Services
W_Services_Opportunity.100,W_Services_User.7,W_Services_Account.398,2015-07-29 14:15:44,2015-11-21 14:15:44,New Opportunity [2015-07-29 14:15:44],GC50000,Closed Won,133400,New Business
W_Services_Opportunity.101,W_Services_User.3,W_Services_Account.445,2016-09-22 10:14:18,2016-12-30 10:14:18,New Opportunity [2016-09-22 10:14:18],GC50000,Closed Won,126900,New Business
W_Services_Opportunity.102,W_Services_User.9,W_Services_Account.965,2015-04-24 22:06:36,2015-09-01 22:06:36,New Opportunity [2015-04-24 22:06:36],GC50000,Needs Analysis,205800,Renewal
W_Services_Opportunity.103,W_Services_User.15,W_Services_Account.477,2016-09-26 21:38:59,2017-01-26 21:38:59,New Opportunity [2016-09-26 21:38:59],GC50000,Qualification,106500,Add-On Business
W_Services_Opportunity.104,W_Services_User.10,W_Services_Account.431,2016-12-16 01:26:57,2017-07-07 01:26:57,New Opportunity [2016-12-16 01:26:57],GC5000 series,Needs Analysis,118000,Renewal
W_Services_Opportunity.105,W_Services_User.11,W_Services_Account.71,2015-10-11 07:03:31,2016-03-09 07:03:31,New Opportunity [2015-10-11 07:03:31],GC10001,Closed Lost,96700,New Business
W_Services_Opportunity.106,W_Services_User.4,W_Services_Account.605,2015-12-11 00:03:16,2016-06-20 00:03:16,New Opportunity [2015-12-11 00:03:16],GC1000 series,Needs Analysis,103500,Services
W_Services_Opportunity.107,W_Services_User.15,W_Services_Account.979,2016-11-27 14:20:11,2017-04-17 14:20:11,New Opportunity [2016-11-27 14:20:11],GC1000 series,Proposal/Quote,108300,New Business
W_Services_Opportunity.108,W_Services_User.14,W_Services_Account.410,2016-12-10 05:57:31,2017-05-14 05:57:31,New Opportunity [2016-12-10 05:57:31],GC50000,Negotiation,168800,Services
W_Services_Opportunity.109,W_Services_User.4,W_Services_Account.393,2016-05-15 11:43:48,2016-11-10 11:43:48,New Opportunity [2016-05-15 11:43:48],GC20002,Closed Won,136100,New Business
W_Services_Opportunity.110,W_Services_User.10,W_Services_Account.787,2016-11-16 07:19:45,2017-05-22 07:19:45,New Opportunity [2016-11-16 07:19:45],GC1000 series,Needs Analysis,165300,Add-On Business
W_Services_Opportunity.111,W_Services_User.15,W_Services_Account.285,2016-01-20 16:48:59,2016-05-19 16:48:59,New Opportunity [2016-01-20 16:48:59],GC10001,Needs Analysis,107100,Services
W_Services_Opportunity.112,W_Services_User.7,W_Services_Account.345,2015-07-27 17:37:43,2016-01-02 17:37:43,New Opportunity [2015-07-27 17:37:43],GC50000,Qualification,148500,Add-On Business
W_Services_Opportunity.113,W_Services_User.2,W_Services_Account.459,2016-03-30 14:15:18,2016-08-13 14:15:18,New Opportunity [2016-03-30 14:15:18],GC10001,Closed Won,174100,New Business
W_Services_Opportunity.114,W_Services_User.6,W_Services_Account.865,2016-06-21 16:53:58,2016-11-26 16:53:58,New Opportunity [2016-06-21 16:53:58],GC5000 series,Needs Analysis,84000,Add-On Business
W_Services_Opportunity.115,W_Services_User.4,W_Services_Account.514,2015-10-31 00:16:20,2016-05-05 00:16:20,New Opportunity [2015-10-31 00:16:20],GC10001,Proposal/Quote,136200,New Business
W_Services_Opportunity.116,W_Services_User.12,W_Services_Account.266,2016-10-30 08:28:30,2017-04-15 08:28:30,New Opportunity [2016-10-30 08:28:30],GC1000 series,Proposal/Quote,93500,Services
W_Services_Opportunity.117,W_Services_User.5,W_Services_Account.997,2015-01-13 17:57:55,2015-03-22 17:57:55,New Opportunity [2015-01-13 17:57:55],GC5000 series,Qualification,130600,New Business
W_Services_Opportunity.118,W_Services_User.11,W_Services_Account.1018,2016-04-06 06:00:01,2016-08-15 06:00:01,New Opportunity [2016-04-06 06:00:01],GC1000 series,Qualification,182800,Services
W_Services_Opportunity.119,W_Services_User.17,W_Services_Account.689,2015-04-27 22:54:54,2015-06-30 22:54:54,New Opportunity [2015-04-27 22:54:54],GC5000 series,Needs Analysis,171200,New Business
W_Services_Opportunity.120,W_Services_User.2,W_Services_Account.239,2015-03-01 00:54:40,2015-07-20 00:54:40,New Opportunity [2015-03-01 00:54:40],GC1000 series,Closed Won,97000,New Business
W_Services_Opportunity.121,W_Services_User.2,W_Services_Account.843,2015-07-31 21:54:22,2016-01-02 21:54:22,New Opportunity [2015-07-31 21:54:22],GC5000 series,Closed Won,47500,Services
W_Services_Opportunity.122,W_Services_User.19,W_Services_Account.428,2015-07-06 00:40:10,2015-09-11 00:40:10,New Opportunity [2015-07-06 00:40:10],GC1000 series,Closed Won,168200,Services
W_Services_Opportunity.123,W_Services_User.2,W_Services_Account.767,2016-02-11 17:28:53,2016-05-27 17:28:53,New Opportunity [2016-02-11 17:28:53],GC20002,Closed Lost,141400,Add-On Business
W_Services_Opportunity.124,W_Services_User.6,W_Services_Account.743,2015-11-07 00:08:26,2016-03-09 00:08:26,New Opportunity [2015-11-07 00:08:26],GC50000,Qualification,125900,New Business
W_Services_Opportunity.125,W_Services_User.10,W_Services_Account.946,2015-07-05 15:12:24,2015-09-27 15:12:24,New Opportunity [2015-07-05 15:12:24],GC20002,Closed Won,128400,Add-On Business
W_Services_Opportunity.126,W_Services_User.20,W_Services_Account.791,2015-08-06 17:39:47,2016-01-23 17:39:47,New Opportunity [2015-08-06 17:39:47],GC10001,Needs Analysis,134900,New Business
W_Services_Opportunity.127,W_Services_User.7,W_Services_Account.608,2015-02-12 08:44:41,2015-08-24 08:44:41,New Opportunity [2015-02-12 08:44:41],GC20002,Qualification,89900,Services
W_Services_Opportunity.128,W_Services_User.4,W_Services_Account.232,2015-05-06 15:58:55,2015-11-23 15:58:55,New Opportunity [2015-05-06 15:58:55],GC10001,Qualification,125900,Add-On Business
W_Services_Opportunity.129,W_Services_User.9,W_Services_Account.349,2015-10-14 15:48:35,2016-03-31 15:48:35,New Opportunity [2015-10-14 15:48:35],GC5000 series,Qualification,97200,New Business
W_Services_Opportunity.130,W_Services_User.10,W_Services_Account.737,2016-05-02 01:29:09,2016-10-25 01:29:09,New Opportunity [2016-05-02 01:29:09],GC50000,Negotiation,138000,Renewal
W_Services_Opportunity.131,W_Services_User.16,W_Services_Account.727,2015-01-20 23:49:24,2015-03-28 23:49:24,New Opportunity [2015-01-20 23:49:24],GC5000 series,Needs Analysis,140000,New Business
W_Services_Opportunity.132,W_Services_User.8,W_Services_Account.929,2016-12-30 03:47:23,2017-05-22 03:47:23,New Opportunity [2016-12-30 03:47:23],GC10001,Needs Analysis,124100,Renewal
W_Services_Opportunity.133,W_Services_User.18,W_Services_Account.223,2016-05-08 09:59:00,2016-09-21 09:59:00,New Opportunity [2016-05-08 09:59:00],GC1000 series,Qualification,202400,New Business
W_Services_Opportunity.134,W_Services_User.14,W_Services_Account.839,2016-11-29 06:22:12,2017-06-24 06:22:12,New Opportunity [2016-11-29 06:22:12],GC50000,Proposal/Quote,145500,Add-On Business
W_Services_Opportunity.135,W_Services_User.18,W_Services_Account.250,2015-11-18 10:59:59,2016-03-28 10:59:59,New Opportunity [2015-11-18 10:59:59],GC20002,Qualification,117400,New Business
W_Services_Opportunity.136,W_Services_User.12,W_Services_Account.404,2016-07-25 05:43:40,2016-11-11 05:43:40,New Opportunity [2016-07-25 05:43:40],GC50000,Qualification,136100,New Business
W_Services_Opportunity.137,W_Services_User.2,W_Services_Account.43,2015-11-03 07:34:00,2016-01-22 07:34:00,New Opportunity [2015-11-03 07:34:00],GC10001,Closed Won,125700,New Business
W_Services_Opportunity.138,W_Services_User.10,W_Services_Account.1077,2016-02-24 04:16:23,2016-07-24 04:16:23,New Opportunity [2016-02-24 04:16:23],GC50000,Needs Analysis,185300,Add-On Business
W_Services_Opportunity.139,W_Services_User.13,W_Services_Account.161,2016-05-23 04:46:14,2016-11-09 04:46:14,New Opportunity [2016-05-23 04:46:14],GC50000,Proposal/Quote,140400,Add-On Business
W_Services_Opportunity.140,W_Services_User.6,W_Services_Account.907,2016-11-21 01:12:32,2017-06-05 01:12:32,New Opportunity [2016-11-21 01:12:32],GC1000 series,Qualification,173300,New Business
