External_Id__c,RequestDateTime__c,CreatedDate__c,AssignedDateTime__c,AcceptDateTime__c,CloseDateTime__c,ActiveTime__c,AgentCapacityWhenDeclined__c,CancelDateTime__c,CapacityPercentage__c,CapacityWeight__c,DeclineDateTime__c,DeclineReason__c,HandleTime__c,OriginalQueue.DeveloperName,PushTimeout__c,PushTimeoutDateTime__c,ServiceChannel.DeveloperName,SpeedToAnswer__c,Status__c,User.External_Id__c,Case.External_Id__c
W_AgentWork.11,2016-10-16 23:57:27,2016-10-17 00:03:27,2016-10-17 00:04:23,2016-10-17 00:13:04,2016-10-17 00:30:31,1047,1534,2016-10-17 00:06:48,32,4,2016-10-17 00:10:17,Nullam varius.,1047,TargetCampaign,73,2016-10-17 00:04:29,Cases,937,Assigned,W_Services_User.1,W_Case.124
W_AgentWork.12,2017-01-16 08:31:25,2017-01-16 10:15:25,2017-01-16 10:16:38,2017-01-16 10:21:44,2017-01-16 10:45:58,1454,884,2017-01-16 10:20:08,50,2,2017-01-16 10:18:52,Donec semper sapien a libero.,1454,GeneralQueue,99,2017-01-16 10:16:57,Cases,6619,Unavailable,W_Services_User.15,W_Case.170
W_AgentWork.13,2017-01-05 21:08:31,2017-01-05 21:55:31,2017-01-05 21:55:52,2017-01-05 22:00:57,2017-01-05 22:09:12,495,643,2017-01-05 22:04:32,50,1,2017-01-05 22:04:00,Nulla ac enim.,495,Tier2Queue,94,2017-01-05 21:55:50,Cases,3146,Closed,W_Services_User.5,W_Case.261
W_AgentWork.14,2017-01-22 07:38:27,2017-01-22 07:56:27,2017-01-22 07:56:51,2017-01-22 08:01:21,2017-01-22 08:04:50,209,1128,2017-01-22 08:00:38,22,5,2017-01-22 08:04:05,Proin at turpis a pede posuere nonummy.,209,Knowledge_Translations,63,2017-01-22 07:56:46,sfdc_liveagent,1374,Canceled,W_Services_User.15,W_Case.212
W_AgentWork.15,2016-10-24 23:30:00,2016-10-25 00:34:00,2016-10-25 00:34:24,2016-10-25 00:41:00,2016-10-25 01:01:29,1229,589,2016-10-25 00:39:53,62,5,2016-10-25 00:43:41,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1229,Time_Off_Manager_Payroll,57,2016-10-25 00:34:20,sfdc_sos,4260,Closed,W_Services_User.9,W_Case.260
W_AgentWork.16,2017-01-21 01:17:41,2017-01-21 02:05:41,2017-01-21 02:07:39,2017-01-21 02:09:51,2017-01-21 02:27:20,1049,191,2017-01-21 02:14:32,28,5,2017-01-21 02:14:10,Maecenas pulvinar lobortis est.,1049,TargetCampaign,7,2017-01-21 02:07:13,Cases,3130,DeclinedOnPushTimeout,W_Services_User.6,W_Case.280
W_AgentWork.17,2017-02-13 01:35:22,2017-02-13 03:01:22,2017-02-13 03:02:38,2017-02-13 03:05:37,2017-02-13 03:23:19,1062,1684,2017-02-13 03:11:15,19,6,2017-02-13 03:09:13,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",1062,Knowledge_Translations,79,2017-02-13 03:02:19,LiveMessage,5415,Opened,W_Services_User.1,W_Case.6
W_AgentWork.18,2016-09-11 11:54:47,2016-09-11 12:40:47,2016-09-11 12:42:47,2016-09-11 12:44:25,2016-09-11 12:59:26,901,1663,2016-09-11 12:45:02,85,4,2016-09-11 12:48:23,Vestibulum sed magna at nunc commodo placerat.,901,Tier2Queue,9,2016-09-11 12:41:11,sfdc_sos,2978,Opened,W_Services_User.12,W_Case.195
W_AgentWork.19,2016-07-21 07:18:26,2016-07-21 08:03:26,2016-07-21 08:04:38,2016-07-21 08:08:24,2016-07-21 08:16:18,474,245,2016-07-21 08:11:48,92,5,2016-07-21 08:11:04,Donec ut mauris eget massa tempor convallis.,474,Knowledge_Translations,57,2016-07-21 08:04:16,LiveMessage,2998,Assigned,W_Services_User.9,W_Case.5
W_AgentWork.20,2016-11-15 13:58:17,2016-11-15 14:50:17,2016-11-15 14:51:39,2016-11-15 15:00:16,2016-11-15 15:24:37,1461,1244,2016-11-15 14:55:21,51,4,2016-11-15 14:59:27,Nunc nisl.,1461,Time_Off_Manager_Payroll,7,2016-11-15 14:50:36,sfdc_sos,3719,DeclinedOnPushTimeout,W_Services_User.18,W_Case.140
W_AgentWork.21,2016-11-17 21:36:05,2016-11-17 23:34:05,2016-11-17 23:34:55,2016-11-17 23:43:55,2016-11-18 00:08:53,1498,1053,2016-11-17 23:41:31,18,4,2016-11-17 23:42:56,Ut tellus.,1498,Social_Queue,43,2016-11-17 23:34:43,sfdc_liveagent,7670,Assigned,W_Services_User.16,W_Case.64
W_AgentWork.22,2017-01-20 00:20:27,2017-01-20 01:37:27,2017-01-20 01:38:56,2017-01-20 01:46:36,2017-01-20 02:15:39,1743,1247,2017-01-20 01:45:53,97,2,2017-01-20 01:47:18,Donec semper sapien a libero.,1743,GeneralQueue,62,2017-01-20 01:38:54,sfdc_sos,5169,Closed,W_Services_User.20,W_Case.142
W_AgentWork.23,2017-02-05 01:00:58,2017-02-05 01:07:58,2017-02-05 01:07:58,2017-02-05 01:09:54,2017-02-05 01:34:26,1472,782,2017-02-05 01:17:39,20,4,2017-02-05 01:12:24,Nulla tellus.,1472,Tier1Queue,65,2017-02-05 01:08:25,LiveMessage,536,Closed,W_Services_User.14,W_Case.442
W_AgentWork.24,2016-08-27 00:17:29,2016-08-27 01:56:29,2016-08-27 01:56:53,2016-08-27 02:02:28,2016-08-27 02:28:33,1565,183,2016-08-27 02:06:04,58,1,2016-08-27 01:59:21,Nam dui.,1565,Social_Queue,73,2016-08-27 01:57:57,sfdc_sos,6299,Opened,W_Services_User.3,W_Case.494
W_AgentWork.25,2016-12-31 01:47:32,2016-12-31 02:14:32,2016-12-31 02:14:46,2016-12-31 02:24:33,2016-12-31 02:52:08,1655,1643,2016-12-31 02:23:52,45,4,2016-12-31 02:22:51,Suspendisse accumsan tortor quis turpis.,1655,Tier1Queue,82,2016-12-31 02:14:57,sfdc_sos,2221,DeclinedOnPushTimeout,W_Services_User.4,W_Case.289
W_AgentWork.26,2017-02-12 05:58:29,2017-02-12 06:12:29,2017-02-12 06:13:50,2017-02-12 06:21:03,2017-02-12 06:48:13,1630,542,2017-02-12 06:15:50,91,1,2017-02-12 06:19:17,Integer ac neque.,1630,Tier2Queue,25,2017-02-12 06:13:24,sfdc_sos,1354,Canceled,W_Services_User.20,W_Case.303
W_AgentWork.27,2016-07-12 04:44:26,2016-07-12 05:11:26,2016-07-12 05:12:51,2016-07-12 05:15:50,2016-07-12 05:38:41,1371,95,2016-07-12 05:18:48,95,4,2016-07-12 05:16:17,Etiam faucibus cursus urna.,1371,Knowledge_Translations,85,2016-07-12 05:12:29,LiveMessage,1884,Unavailable,W_Services_User.17,W_Case.32
W_AgentWork.28,2016-10-10 00:43:02,2016-10-10 02:06:02,2016-10-10 02:06:22,2016-10-10 02:16:21,2016-10-10 02:23:25,424,463,2016-10-10 02:07:38,41,6,2016-10-10 02:14:57,In sagittis dui vel nisl.,424,TargetCampaign,42,2016-10-10 02:06:16,LiveMessage,5599,Canceled,W_Services_User.13,W_Case.7
W_AgentWork.29,2016-08-20 02:21:17,2016-08-20 02:47:17,2016-08-20 02:48:41,2016-08-20 02:50:16,2016-08-20 02:51:28,72,111,2016-08-20 02:56:02,36,3,2016-08-20 02:51:52,Fusce consequat.,72,Tier1Queue,94,2016-08-20 02:47:53,Cases,1739,Declined,W_Services_User.12,W_Case.77
W_AgentWork.30,2016-07-16 12:29:26,2016-07-16 14:22:26,2016-07-16 14:23:43,2016-07-16 14:26:28,2016-07-16 14:54:58,1710,1177,2016-07-16 14:25:48,76,2,2016-07-16 14:29:28,Nulla suscipit ligula in lacus.,1710,Tier3Queue,70,2016-07-16 14:23:07,sfdc_sos,7022,Closed,W_Services_User.6,W_Case.27
W_AgentWork.31,2016-11-26 00:44:31,2016-11-26 01:56:31,2016-11-26 01:56:47,2016-11-26 02:06:37,2016-11-26 02:22:38,961,390,2016-11-26 01:58:25,9,2,2016-11-26 02:00:00,In blandit ultrices enim.,961,UnassignedPartnerLeads,36,2016-11-26 01:57:18,LiveMessage,4926,Declined,W_Services_User.7,W_Case.456
W_AgentWork.32,2017-02-07 10:28:40,2017-02-07 10:53:40,2017-02-07 10:54:16,2017-02-07 10:54:49,2017-02-07 11:14:44,1195,1116,2017-02-07 11:03:09,64,2,2017-02-07 10:56:41,Vivamus vestibulum sagittis sapien.,1195,Tier1Queue,24,2017-02-07 10:55:10,Leads,1569,Unavailable,W_Services_User.3,W_Case.117
W_AgentWork.33,2016-07-04 00:44:30,2016-07-04 01:01:30,2016-07-04 01:01:33,2016-07-04 01:04:23,2016-07-04 01:06:20,117,637,2016-07-04 01:08:46,2,5,2016-07-04 01:05:18,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",117,Time_Off_Manager_Payroll,38,2016-07-04 01:02:22,Cases,1193,DeclinedOnPushTimeout,W_Services_User.17,W_Case.155
W_AgentWork.34,2016-11-18 06:28:20,2016-11-18 06:39:20,2016-11-18 06:41:11,2016-11-18 06:46:39,2016-11-18 07:04:23,1064,847,2016-11-18 06:50:51,50,4,2016-11-18 06:45:42,Sed sagittis.,1064,Knowledge_Translations,80,2016-11-18 06:40:54,Cases,1099,Canceled,W_Services_User.5,W_Case.297
W_AgentWork.35,2016-10-19 07:20:59,2016-10-19 08:56:59,2016-10-19 08:57:28,2016-10-19 09:04:39,2016-10-19 09:27:02,1343,1521,2016-10-19 09:05:06,53,4,2016-10-19 09:06:56,Morbi porttitor lorem id ligula.,1343,GeneralQueue,32,2016-10-19 08:58:11,Leads,6220,DeclinedOnPushTimeout,W_Services_User.13,W_Case.416
W_AgentWork.36,2016-07-05 16:39:27,2016-07-05 16:41:27,2016-07-05 16:42:50,2016-07-05 16:46:03,2016-07-05 17:13:47,1664,1368,2016-07-05 16:46:45,94,3,2016-07-05 16:46:52,Curabitur in libero ut massa volutpat convallis.,1664,InternationalQueue,52,2016-07-05 16:42:53,Cases,396,Declined,W_Services_User.16,W_Case.252
W_AgentWork.37,2017-03-02 09:36:22,2017-03-02 11:26:22,2017-03-02 11:27:52,2017-03-02 11:37:09,2017-03-02 11:52:29,920,393,2017-03-02 11:28:22,95,3,2017-03-02 11:33:39,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",920,Time_Off_Manager_Payroll,53,2017-03-02 11:27:37,sfdc_liveagent,7247,DeclinedOnPushTimeout,W_Services_User.20,W_Case.135
W_AgentWork.38,2016-08-14 09:35:14,2016-08-14 10:02:14,2016-08-14 10:03:01,2016-08-14 10:12:26,2016-08-14 10:18:37,371,1743,2016-08-14 10:06:13,27,3,2016-08-14 10:11:12,Donec posuere metus vitae ipsum.,371,Knowledge_Translations,13,2016-08-14 10:02:31,sfdc_sos,2232,Unavailable,W_Services_User.14,W_Case.307
W_AgentWork.39,2016-09-22 12:17:37,2016-09-22 12:51:37,2016-09-22 12:51:49,2016-09-22 13:00:56,2016-09-22 13:10:17,561,1255,2016-09-22 12:59:18,71,2,2016-09-22 12:59:30,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",561,Tier1Queue,1,2016-09-22 12:53:05,LiveMessage,2599,Opened,W_Services_User.11,W_Case.291
W_AgentWork.40,2016-09-09 17:27:17,2016-09-09 18:30:17,2016-09-09 18:31:29,2016-09-09 18:32:21,2016-09-09 18:42:20,599,694,2016-09-09 18:37:52,5,1,2016-09-09 18:39:59,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",599,Time_Off_Manager_Payroll,91,2016-09-09 18:31:17,Cases,3904,Opened,W_Services_User.18,W_Case.463
W_AgentWork.41,2016-11-03 10:11:07,2016-11-03 11:39:07,2016-11-03 11:39:46,2016-11-03 11:44:57,2016-11-03 12:10:27,1530,650,2016-11-03 11:47:17,89,4,2016-11-03 11:49:37,Praesent lectus.,1530,Tier1Queue,18,2016-11-03 11:40:10,sfdc_sos,5630,DeclinedOnPushTimeout,W_Services_User.15,W_Case.469
W_AgentWork.42,2016-10-20 00:40:12,2016-10-20 01:32:12,2016-10-20 01:32:38,2016-10-20 01:36:00,2016-10-20 01:54:12,1092,1782,2016-10-20 01:33:35,86,3,2016-10-20 01:34:24,Mauris ullamcorper purus sit amet nulla.,1092,Tier2Queue,61,2016-10-20 01:32:36,Leads,3348,Unavailable,W_Services_User.8,W_Case.218
W_AgentWork.43,2016-08-23 17:40:07,2016-08-23 17:51:07,2016-08-23 17:52:23,2016-08-23 17:57:00,2016-08-23 18:24:12,1632,1321,2016-08-23 17:53:23,91,5,2016-08-23 17:54:08,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1632,Tier2Queue,82,2016-08-23 17:51:27,Leads,1013,Assigned,W_Services_User.8,W_Case.172
W_AgentWork.44,2016-11-14 09:48:55,2016-11-14 11:08:55,2016-11-14 11:09:45,2016-11-14 11:17:06,2016-11-14 11:40:52,1426,991,2016-11-14 11:16:16,57,1,2016-11-14 11:13:37,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1426,Tier3Queue,23,2016-11-14 11:09:26,Cases,5291,Opened,W_Services_User.20,W_Case.209
W_AgentWork.45,2016-10-20 02:35:09,2016-10-20 04:24:09,2016-10-20 04:25:21,2016-10-20 04:28:29,2016-10-20 04:48:29,1200,819,2016-10-20 04:32:51,90,4,2016-10-20 04:31:39,Duis at velit eu est congue elementum.,1200,Tier1Queue,93,2016-10-20 04:25:16,sfdc_liveagent,6800,Closed,W_Services_User.11,W_Case.343
W_AgentWork.46,2017-02-24 06:03:28,2017-02-24 07:26:28,2017-02-24 07:27:38,2017-02-24 07:34:16,2017-02-24 07:58:05,1429,897,2017-02-24 07:31:11,43,5,2017-02-24 07:30:26,Pellentesque eget nunc.,1429,Time_Off_Manager_Payroll,45,2017-02-24 07:27:02,Leads,5448,Assigned,W_Services_User.20,W_Case.227
W_AgentWork.47,2017-02-26 17:35:17,2017-02-26 18:54:17,2017-02-26 18:54:39,2017-02-26 19:01:59,2017-02-26 19:30:57,1738,1561,2017-02-26 18:57:58,9,4,2017-02-26 19:01:49,Vestibulum sed magna at nunc commodo placerat.,1738,InternationalQueue,96,2017-02-26 18:55:07,Cases,5202,Opened,W_Services_User.10,W_Case.420
W_AgentWork.48,2017-03-21 10:05:45,2017-03-21 10:24:45,2017-03-21 10:26:00,2017-03-21 10:27:23,2017-03-21 10:39:33,730,239,2017-03-21 10:34:23,58,2,2017-03-21 10:30:31,Vestibulum ac est lacinia nisi venenatis tristique.,730,Social_Queue,8,2017-03-21 10:26:09,sfdc_sos,1298,Declined,W_Services_User.1,W_Case.354
W_AgentWork.49,2017-03-12 10:28:42,2017-03-12 11:54:42,2017-03-12 11:56:01,2017-03-12 12:03:17,2017-03-12 12:04:37,80,363,2017-03-12 11:58:21,65,2,2017-03-12 12:00:56,Curabitur convallis.,80,Knowledge_Translations,71,2017-03-12 11:55:07,Leads,5675,Declined,W_Services_User.20,W_Case.139
W_AgentWork.50,2016-07-21 19:24:07,2016-07-21 20:57:07,2016-07-21 20:58:52,2016-07-21 21:02:16,2016-07-21 21:10:30,494,580,2016-07-21 21:03:28,91,6,2016-07-21 21:07:14,Integer ac leo.,494,Tier2Queue,61,2016-07-21 20:57:32,LiveMessage,5889,Closed,W_Services_User.3,W_Case.9
W_AgentWork.51,2016-12-08 17:57:15,2016-12-08 18:07:15,2016-12-08 18:08:51,2016-12-08 18:18:24,2016-12-08 18:20:14,110,1537,2016-12-08 18:15:13,51,1,2016-12-08 18:13:23,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",110,InternationalQueue,85,2016-12-08 18:08:00,LiveMessage,1269,Canceled,W_Services_User.5,W_Case.491
W_AgentWork.52,2017-02-18 00:37:47,2017-02-18 01:31:47,2017-02-18 01:33:17,2017-02-18 01:40:35,2017-02-18 01:56:42,967,119,2017-02-18 01:37:08,44,3,2017-02-18 01:37:49,Suspendisse potenti.,967,TargetCampaign,93,2017-02-18 01:32:57,Cases,3768,Closed,W_Services_User.19,W_Case.133
W_AgentWork.53,2017-03-17 04:35:27,2017-03-17 04:54:27,2017-03-17 04:54:54,2017-03-17 04:55:34,2017-03-17 05:06:10,636,285,2017-03-17 04:57:29,32,3,2017-03-17 04:58:42,Nulla ut erat id mauris vulputate elementum.,636,UnassignedPartnerLeads,64,2017-03-17 04:55:29,LiveMessage,1207,Unavailable,W_Services_User.17,W_Case.396
W_AgentWork.54,2016-09-09 03:54:20,2016-09-09 03:55:20,2016-09-09 03:57:20,2016-09-09 04:01:20,2016-09-09 04:05:31,251,1478,2016-09-09 04:00:50,73,6,2016-09-09 04:04:45,Curabitur convallis.,251,Tier3Queue,13,2016-09-09 03:56:07,sfdc_liveagent,420,DeclinedOnPushTimeout,W_Services_User.8,W_Case.38
W_AgentWork.55,2016-07-14 21:54:51,2016-07-14 22:39:51,2016-07-14 22:41:39,2016-07-14 22:45:10,2016-07-14 23:10:41,1531,551,2016-07-14 22:51:22,78,6,2016-07-14 22:50:22,In hac habitasse platea dictumst.,1531,Social_Queue,38,2016-07-14 22:40:31,sfdc_sos,3019,Unavailable,W_Services_User.4,W_Case.100
W_AgentWork.56,2017-02-11 17:33:59,2017-02-11 18:52:59,2017-02-11 18:53:08,2017-02-11 18:57:55,2017-02-11 18:58:36,41,380,2017-02-11 18:57:36,90,4,2017-02-11 18:54:25,Pellentesque at nulla.,41,UnassignedPartnerLeads,62,2017-02-11 18:53:21,sfdc_liveagent,5036,Assigned,W_Services_User.15,W_Case.294
W_AgentWork.57,2017-03-06 17:26:50,2017-03-06 18:20:50,2017-03-06 18:22:44,2017-03-06 18:24:28,2017-03-06 18:50:17,1549,836,2017-03-06 18:30:43,39,4,2017-03-06 18:30:47,Nam tristique tortor eu pede.,1549,Social_Queue,92,2017-03-06 18:22:23,Leads,3458,Unavailable,W_Services_User.2,W_Case.119
W_AgentWork.58,2016-11-03 07:19:29,2016-11-03 08:46:29,2016-11-03 08:46:48,2016-11-03 08:49:39,2016-11-03 09:18:44,1745,644,2016-11-03 08:51:56,90,3,2016-11-03 08:48:36,Vivamus vel nulla eget eros elementum pellentesque.,1745,Tier1Queue,58,2016-11-03 08:47:24,Leads,5410,Assigned,W_Services_User.12,W_Case.60
W_AgentWork.59,2017-03-13 10:24:43,2017-03-13 11:28:43,2017-03-13 11:29:28,2017-03-13 11:34:35,2017-03-13 11:45:21,646,714,2017-03-13 11:36:32,85,6,2017-03-13 11:31:45,Nunc purus.,646,Knowledge_Translations,14,2017-03-13 11:29:11,Cases,4192,Closed,W_Services_User.3,W_Case.125
W_AgentWork.60,2016-09-17 17:54:34,2016-09-17 18:32:34,2016-09-17 18:34:34,2016-09-17 18:42:27,2016-09-17 18:55:12,765,733,2016-09-17 18:37:24,78,4,2016-09-17 18:40:11,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",765,Tier2Queue,28,2016-09-17 18:33:45,LiveMessage,2873,Declined,W_Services_User.7,W_Case.118
W_AgentWork.61,2017-03-02 14:17:37,2017-03-02 14:28:37,2017-03-02 14:30:04,2017-03-02 14:34:58,2017-03-02 14:49:16,858,1156,2017-03-02 14:36:24,22,2,2017-03-02 14:38:45,Ut tellus.,858,TargetCampaign,22,2017-03-02 14:29:05,sfdc_liveagent,1041,Assigned,W_Services_User.18,W_Case.253
W_AgentWork.62,2016-09-02 02:26:39,2016-09-02 02:33:39,2016-09-02 02:35:02,2016-09-02 02:43:24,2016-09-02 03:05:41,1337,970,2016-09-02 02:36:25,96,6,2016-09-02 02:44:01,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",1337,Social_Queue,28,2016-09-02 02:34:57,sfdc_liveagent,1005,DeclinedOnPushTimeout,W_Services_User.12,W_Case.259
W_AgentWork.63,2016-07-18 11:42:11,2016-07-18 13:33:11,2016-07-18 13:33:55,2016-07-18 13:38:37,2016-07-18 14:02:55,1458,1556,2016-07-18 13:43:52,75,2,2016-07-18 13:43:06,Aenean sit amet justo.,1458,Tier1Queue,65,2016-07-18 13:33:47,Cases,6986,Closed,W_Services_User.3,W_Case.456
W_AgentWork.64,2016-08-24 10:48:57,2016-08-24 11:00:57,2016-08-24 11:01:14,2016-08-24 11:10:10,2016-08-24 11:21:17,667,1041,2016-08-24 11:06:36,2,3,2016-08-24 11:10:30,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",667,Knowledge_Translations,55,2016-08-24 11:01:37,sfdc_sos,1273,Assigned,W_Services_User.10,W_Case.26
W_AgentWork.65,2016-11-11 07:35:23,2016-11-11 08:36:23,2016-11-11 08:38:08,2016-11-11 08:44:47,2016-11-11 09:12:59,1692,1211,2016-11-11 08:42:35,16,6,2016-11-11 08:40:34,Praesent blandit.,1692,TargetCampaign,52,2016-11-11 08:37:10,sfdc_sos,4164,DeclinedOnPushTimeout,W_Services_User.2,W_Case.293
W_AgentWork.66,2017-02-17 03:17:02,2017-02-17 04:49:02,2017-02-17 04:49:03,2017-02-17 04:53:53,2017-02-17 04:56:55,182,676,2017-02-17 04:54:38,5,4,2017-02-17 04:49:33,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",182,Time_Off_Manager_Payroll,82,2017-02-17 04:49:15,sfdc_sos,5811,Canceled,W_Services_User.2,W_Case.248
W_AgentWork.67,2017-02-18 05:27:04,2017-02-18 05:59:04,2017-02-18 06:00:55,2017-02-18 06:10:15,2017-02-18 06:18:55,520,164,2017-02-18 06:04:38,15,4,2017-02-18 06:08:01,In hac habitasse platea dictumst.,520,TargetCampaign,91,2017-02-18 05:59:58,LiveMessage,2591,Closed,W_Services_User.8,W_Case.318
W_AgentWork.68,2016-07-24 19:52:11,2016-07-24 20:12:11,2016-07-24 20:12:59,2016-07-24 20:15:11,2016-07-24 20:26:30,679,832,2016-07-24 20:14:32,99,6,2016-07-24 20:14:32,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",679,InternationalQueue,58,2016-07-24 20:12:15,sfdc_liveagent,1380,Assigned,W_Services_User.20,W_Case.98
W_AgentWork.69,2017-03-09 16:02:13,2017-03-09 17:53:13,2017-03-09 17:54:13,2017-03-09 17:57:52,2017-03-09 18:16:27,1115,1048,2017-03-09 18:02:02,22,1,2017-03-09 17:57:41,Pellentesque eget nunc.,1115,Tier2Queue,93,2017-03-09 17:53:37,Leads,6939,Closed,W_Services_User.17,W_Case.339
W_AgentWork.70,2016-09-03 18:09:49,2016-09-03 19:24:49,2016-09-03 19:25:23,2016-09-03 19:32:00,2016-09-03 19:58:14,1574,1596,2016-09-03 19:29:35,54,6,2016-09-03 19:33:07,Vivamus vestibulum sagittis sapien.,1574,Time_Off_Manager_Payroll,28,2016-09-03 19:25:45,sfdc_sos,4931,Closed,W_Services_User.14,W_Case.69
W_AgentWork.71,2016-07-27 12:29:25,2016-07-27 14:24:25,2016-07-27 14:24:39,2016-07-27 14:27:04,2016-07-27 14:53:53,1609,388,2016-07-27 14:34:05,21,3,2016-07-27 14:27:43,Nam nulla.,1609,TargetCampaign,39,2016-07-27 14:25:01,sfdc_sos,7059,Canceled,W_Services_User.8,W_Case.298
