External_Id__c,Owner.External_Id__c,CreatedDate__c,Subject,DurationInMinutes,ActivityDateTime
W_Event.32,W_Services_User.7,2016-02-01 00:00:00,Send Letter,15,2017-04-13 23:45:33
W_Event.33,W_Services_User.8,2015-10-26 00:00:00,Send Letter,1,2017-04-13 23:45:33
W_Event.34,W_Services_User.17,2014-12-30 00:00:00,Send Quote,0,2017-04-13 23:45:33
W_Event.35,W_Services_User.18,2014-11-07 00:00:00,Send Quote,0,2017-04-13 23:45:33
W_Event.36,W_Services_User.8,2014-10-28 00:00:00,Other,50,2017-04-13 23:45:33
W_Event.37,W_Services_User.17,2016-01-09 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.38,W_Services_User.4,2015-12-22 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.39,W_Services_User.5,2017-05-15 00:00:00,Send Letter,48,2017-04-13 23:45:33
W_Event.40,W_Services_User.5,2016-12-17 00:00:00,Other,20,2017-04-13 23:45:33
W_Event.41,W_Services_User.17,2017-01-06 00:00:00,Other,31,2017-04-13 23:45:33
W_Event.42,W_Services_User.2,2017-01-02 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.43,W_Services_User.5,2017-05-15 00:00:00,Send Letter,45,2017-04-13 23:45:33
W_Event.44,W_Services_User.7,2017-05-15 00:00:00,Other,3,2017-04-13 23:45:33
W_Event.45,W_Services_User.7,2017-05-15 00:00:00,Other,5,2017-04-13 23:45:33
W_Event.46,W_Services_User.2,2016-03-19 00:00:00,Send Letter,24,2017-04-13 23:45:33
W_Event.47,W_Services_User.10,2016-04-19 00:00:00,Send Quote,0,2017-04-13 23:45:33
W_Event.48,W_Services_User.5,2015-02-11 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.49,W_Services_User.16,2014-08-28 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.50,W_Services_User.6,2017-05-15 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.51,W_Services_User.19,2017-05-15 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.52,W_Services_User.1,2016-08-11 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.53,W_Services_User.11,2017-01-17 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.54,W_Services_User.7,2016-01-22 00:00:00,Call,49,2017-04-13 23:45:33
W_Event.55,W_Services_User.13,2016-02-15 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.56,W_Services_User.4,2015-05-15 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.57,W_Services_User.3,2015-06-26 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.58,W_Services_User.10,2015-12-13 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.59,W_Services_User.11,2015-11-11 00:00:00,Send Letter,44,2017-04-13 23:45:33
W_Event.60,W_Services_User.15,2015-12-27 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.61,W_Services_User.9,2013-11-27 00:00:00,Send Letter,29,2017-04-13 23:45:33
W_Event.62,W_Services_User.6,2014-01-10 00:00:00,Other,45,2017-04-13 23:45:33
W_Event.63,W_Services_User.5,2014-02-03 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.64,W_Services_User.4,2017-01-13 00:00:00,Send Letter,16,2017-04-13 23:45:33
W_Event.65,W_Services_User.18,2017-01-30 00:00:00,Send Letter,49,2017-04-13 23:45:33
W_Event.66,W_Services_User.11,2017-01-16 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.67,W_Services_User.12,2017-02-03 00:00:00,Call,56,2017-04-13 23:45:33
W_Event.68,W_Services_User.7,2017-02-11 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.69,W_Services_User.1,2017-03-25 00:00:00,Call,57,2017-04-13 23:45:33
W_Event.70,W_Services_User.13,2017-02-06 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.71,W_Services_User.14,2015-04-14 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.72,W_Services_User.19,2014-12-22 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.73,W_Services_User.13,2013-10-10 00:00:00,Send Letter,19,2017-04-13 23:45:33
W_Event.74,W_Services_User.5,2017-05-15 00:00:00,Send Letter,53,2017-04-13 23:45:33
W_Event.75,W_Services_User.14,2017-05-15 00:00:00,Send Letter,38,2017-04-13 23:45:33
W_Event.76,W_Services_User.17,2017-05-15 00:00:00,Other,25,2017-04-13 23:45:33
W_Event.77,W_Services_User.11,2015-06-04 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.78,W_Services_User.6,2014-06-12 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.79,W_Services_User.4,2016-12-31 00:00:00,Send Quote,0,2017-04-13 23:45:33
W_Event.80,W_Services_User.5,2016-11-30 00:00:00,Other,29,2017-04-13 23:45:33
W_Event.81,W_Services_User.5,2016-12-19 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.82,W_Services_User.5,2017-05-15 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.83,W_Services_User.5,2017-05-15 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.84,W_Services_User.20,2017-05-15 00:00:00,Other,54,2017-04-13 23:45:33
W_Event.85,W_Services_User.9,2017-05-15 00:00:00,Send Letter,55,2017-04-13 23:45:33
W_Event.86,W_Services_User.8,2017-05-11 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.87,W_Services_User.12,2017-05-03 00:00:00,Send Quote,30,2017-04-13 23:45:33
W_Event.88,W_Services_User.18,2016-02-10 00:00:00,Send Letter,13,2017-04-13 23:45:33
W_Event.89,W_Services_User.17,2016-05-08 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.90,W_Services_User.18,2016-04-23 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.91,W_Services_User.10,2016-03-19 00:00:00,Call,30,2017-04-13 23:45:33
W_Event.92,W_Services_User.6,2017-05-15 00:00:00,Call,27,2017-04-13 23:45:33
W_Event.93,W_Services_User.15,2017-05-15 00:00:00,Send Quote,42,2017-04-13 23:45:33
W_Event.94,W_Services_User.13,2017-05-15 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.95,W_Services_User.7,2015-05-13 00:00:00,Call,57,2017-04-13 23:45:33
W_Event.96,W_Services_User.13,2017-02-13 00:00:00,Call,34,2017-04-13 23:45:33
W_Event.97,W_Services_User.16,2013-12-11 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.98,W_Services_User.8,2013-12-21 00:00:00,Call,13,2017-04-13 23:45:33
W_Event.99,W_Services_User.1,2013-11-02 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.100,W_Services_User.6,2016-03-30 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.101,W_Services_User.11,2015-03-30 00:00:00,Send Letter,40,2017-04-13 23:45:33
W_Event.102,W_Services_User.18,2015-04-25 00:00:00,Other,5,2017-04-13 23:45:33
W_Event.103,W_Services_User.7,2015-03-09 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.104,W_Services_User.15,2015-08-31 00:00:00,Send Quote,0,2017-04-13 23:45:33
W_Event.105,W_Services_User.10,2015-08-21 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.106,W_Services_User.8,2015-08-27 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.107,W_Services_User.18,2015-03-08 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.108,W_Services_User.10,2015-06-29 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.109,W_Services_User.10,2015-07-30 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.110,W_Services_User.13,2016-03-29 00:00:00,Send Quote,0,2017-04-13 23:45:33
W_Event.111,W_Services_User.2,2016-04-18 00:00:00,Send Quote,18,2017-04-13 23:45:33
W_Event.112,W_Services_User.20,2014-08-08 00:00:00,Send Letter,16,2017-04-13 23:45:33
W_Event.113,W_Services_User.4,2014-05-24 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.114,W_Services_User.14,2016-04-05 00:00:00,Send Quote,51,2017-04-13 23:45:33
W_Event.115,W_Services_User.12,2016-03-11 00:00:00,Call,19,2017-04-13 23:45:33
W_Event.116,W_Services_User.12,2016-02-18 00:00:00,Other,51,2017-04-13 23:45:33
W_Event.117,W_Services_User.11,2015-12-12 00:00:00,Other,20,2017-04-13 23:45:33
W_Event.118,W_Services_User.3,2016-03-07 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.119,W_Services_User.5,2015-12-20 00:00:00,Send Letter,30,2017-04-13 23:45:33
W_Event.120,W_Services_User.15,2016-06-20 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.121,W_Services_User.13,2016-12-11 00:00:00,Other,19,2017-04-13 23:45:33
W_Event.122,W_Services_User.11,2016-12-17 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.123,W_Services_User.8,2014-01-28 00:00:00,Call,57,2017-04-13 23:45:33
W_Event.124,W_Services_User.4,2017-05-15 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.125,W_Services_User.20,2017-05-15 00:00:00,Other,45,2017-04-13 23:45:33
W_Event.126,W_Services_User.10,2017-05-15 00:00:00,Other,0,2017-04-13 23:45:33
W_Event.127,W_Services_User.16,2016-01-17 00:00:00,Send Quote,0,2017-04-13 23:45:33
W_Event.128,W_Services_User.5,2016-01-15 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.129,W_Services_User.12,2014-04-26 00:00:00,Other,53,2017-04-13 23:45:33
W_Event.130,W_Services_User.13,2014-05-03 00:00:00,Send Letter,44,2017-04-13 23:45:33
W_Event.131,W_Services_User.4,2014-04-17 00:00:00,Send Letter,4,2017-04-13 23:45:33
W_Event.132,W_Services_User.19,2016-11-02 00:00:00,Call,36,2017-04-13 23:45:33
W_Event.133,W_Services_User.3,2017-04-21 00:00:00,Other,37,2017-04-13 23:45:33
W_Event.134,W_Services_User.20,2017-03-21 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.135,W_Services_User.20,2016-11-15 00:00:00,Call,53,2017-04-13 23:45:33
W_Event.136,W_Services_User.2,2016-10-19 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.137,W_Services_User.10,2016-12-02 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.138,W_Services_User.7,2016-11-20 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.139,W_Services_User.9,2017-05-15 00:00:00,Call,1,2017-04-13 23:45:33
W_Event.140,W_Services_User.9,2014-12-09 00:00:00,Send Letter,6,2017-04-13 23:45:33
W_Event.141,W_Services_User.14,2014-11-05 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.142,W_Services_User.18,2016-02-19 00:00:00,Call,19,2017-04-13 23:45:33
W_Event.143,W_Services_User.15,2014-10-08 00:00:00,Send Quote,0,2017-04-13 23:45:33
W_Event.144,W_Services_User.3,2014-12-22 00:00:00,Send Letter,0,2017-04-13 23:45:33
W_Event.145,W_Services_User.7,2017-01-07 00:00:00,Send Letter,34,2017-04-13 23:45:33
W_Event.146,W_Services_User.6,2016-12-23 00:00:00,Send Letter,11,2017-04-13 23:45:33
W_Event.147,W_Services_User.3,2017-02-06 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.148,W_Services_User.13,2014-09-01 00:00:00,Send Letter,35,2017-04-13 23:45:33
W_Event.149,W_Services_User.10,2015-07-24 00:00:00,Send Quote,0,2017-04-13 23:45:33
W_Event.150,W_Services_User.18,2015-08-19 00:00:00,Other,43,2017-04-13 23:45:33
W_Event.151,W_Services_User.17,2015-08-13 00:00:00,Send Letter,58,2017-04-13 23:45:33
W_Event.152,W_Services_User.11,2016-02-23 00:00:00,Call,0,2017-04-13 23:45:33
W_Event.153,W_Services_User.5,2016-04-03 00:00:00,Call,49,2017-04-13 23:45:33
W_Event.154,W_Services_User.16,2016-04-02 00:00:00,Call,15,2017-04-13 23:45:33
W_Event.155,W_Services_User.4,2016-03-04 00:00:00,Other,7,2017-04-13 23:45:34
W_Event.156,W_Services_User.7,2016-02-08 00:00:00,Other,23,2017-04-13 23:45:34
W_Event.157,W_Services_User.4,2016-02-06 00:00:00,Other,0,2017-04-13 23:45:34
W_Event.158,W_Services_User.4,2017-05-15 00:00:00,Call,27,2017-04-13 23:45:34
W_Event.159,W_Services_User.4,2017-05-15 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.160,W_Services_User.8,2017-05-15 00:00:00,Send Quote,4,2017-04-13 23:45:34
W_Event.161,W_Services_User.12,2017-05-15 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.162,W_Services_User.8,2017-05-15 00:00:00,Send Letter,3,2017-04-13 23:45:34
W_Event.163,W_Services_User.20,2017-05-15 00:00:00,Send Letter,38,2017-04-13 23:45:34
W_Event.164,W_Services_User.9,2016-11-15 00:00:00,Send Quote,11,2017-04-13 23:45:34
W_Event.165,W_Services_User.17,2016-10-25 00:00:00,Other,0,2017-04-13 23:45:34
W_Event.166,W_Services_User.15,2015-12-16 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.167,W_Services_User.2,2015-12-21 00:00:00,Send Letter,1,2017-04-13 23:45:34
W_Event.168,W_Services_User.7,2015-12-13 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.169,W_Services_User.9,2015-07-15 00:00:00,Call,24,2017-04-13 23:45:34
W_Event.170,W_Services_User.15,2014-03-24 00:00:00,Send Letter,48,2017-04-13 23:45:34
W_Event.171,W_Services_User.19,2016-03-15 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.172,W_Services_User.12,2016-04-03 00:00:00,Other,38,2017-04-13 23:45:34
W_Event.173,W_Services_User.19,2016-03-22 00:00:00,Call,39,2017-04-13 23:45:34
W_Event.174,W_Services_User.20,2016-08-13 00:00:00,Call,7,2017-04-13 23:45:34
W_Event.175,W_Services_User.8,2016-06-04 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.176,W_Services_User.2,2016-05-23 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.177,W_Services_User.12,2017-03-06 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.178,W_Services_User.6,2017-01-20 00:00:00,Other,0,2017-04-13 23:45:34
W_Event.179,W_Services_User.3,2017-03-01 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.180,W_Services_User.16,2016-05-25 00:00:00,Call,15,2017-04-13 23:45:34
W_Event.181,W_Services_User.15,2016-04-12 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.182,W_Services_User.3,2015-05-27 00:00:00,Call,25,2017-04-13 23:45:34
W_Event.183,W_Services_User.14,2015-04-24 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.184,W_Services_User.14,2015-05-13 00:00:00,Send Quote,46,2017-04-13 23:45:34
W_Event.185,W_Services_User.8,2016-06-29 00:00:00,Send Letter,3,2017-04-13 23:45:34
W_Event.186,W_Services_User.6,2015-03-23 00:00:00,Send Quote,12,2017-04-13 23:45:34
W_Event.187,W_Services_User.11,2017-05-15 00:00:00,Call,18,2017-04-13 23:45:34
W_Event.188,W_Services_User.4,2014-04-06 00:00:00,Other,34,2017-04-13 23:45:34
W_Event.189,W_Services_User.8,2016-04-23 00:00:00,Call,53,2017-04-13 23:45:34
W_Event.190,W_Services_User.18,2016-04-07 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.191,W_Services_User.7,2015-07-24 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.192,W_Services_User.11,2014-05-02 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.193,W_Services_User.4,2017-03-23 00:00:00,Other,0,2017-04-13 23:45:34
W_Event.194,W_Services_User.20,2014-10-31 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.195,W_Services_User.4,2015-10-11 00:00:00,Call,41,2017-04-13 23:45:34
W_Event.196,W_Services_User.19,2015-10-23 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.197,W_Services_User.8,2015-12-06 00:00:00,Send Letter,11,2017-04-13 23:45:34
W_Event.198,W_Services_User.1,2015-08-11 00:00:00,Send Letter,12,2017-04-13 23:45:34
W_Event.199,W_Services_User.15,2014-08-22 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.200,W_Services_User.4,2014-09-05 00:00:00,Send Letter,24,2017-04-13 23:45:34
W_Event.201,W_Services_User.11,2014-07-14 00:00:00,Other,0,2017-04-13 23:45:34
W_Event.202,W_Services_User.4,2016-07-22 00:00:00,Other,43,2017-04-13 23:45:34
W_Event.203,W_Services_User.20,2016-08-14 00:00:00,Send Quote,0,2017-04-13 23:45:34
W_Event.204,W_Services_User.16,2016-08-03 00:00:00,Call,32,2017-04-13 23:45:34
W_Event.205,W_Services_User.6,2015-04-01 00:00:00,Send Quote,0,2017-04-13 23:45:34
W_Event.206,W_Services_User.20,2017-03-27 00:00:00,Call,14,2017-04-13 23:45:34
W_Event.207,W_Services_User.11,2017-03-16 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.208,W_Services_User.3,2017-05-15 00:00:00,Send Letter,42,2017-04-13 23:45:34
W_Event.209,W_Services_User.2,2015-05-26 00:00:00,Other,22,2017-04-13 23:45:34
W_Event.210,W_Services_User.6,2015-06-12 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.211,W_Services_User.3,2017-05-15 00:00:00,Call,59,2017-04-13 23:45:34
W_Event.212,W_Services_User.8,2017-05-15 00:00:00,Send Letter,47,2017-04-13 23:45:34
W_Event.213,W_Services_User.16,2016-10-03 00:00:00,Other,40,2017-04-13 23:45:34
W_Event.214,W_Services_User.15,2015-09-06 00:00:00,Send Quote,31,2017-04-13 23:45:34
W_Event.215,W_Services_User.19,2015-06-03 00:00:00,Send Letter,25,2017-04-13 23:45:34
W_Event.216,W_Services_User.12,2015-05-01 00:00:00,Other,0,2017-04-13 23:45:34
W_Event.217,W_Services_User.12,2015-03-26 00:00:00,Call,18,2017-04-13 23:45:34
W_Event.218,W_Services_User.4,2015-01-22 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.219,W_Services_User.15,2014-12-17 00:00:00,Send Letter,53,2017-04-13 23:45:34
W_Event.220,W_Services_User.11,2017-05-15 00:00:00,Other,33,2017-04-13 23:45:34
W_Event.221,W_Services_User.20,2017-05-15 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.222,W_Services_User.8,2017-05-15 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.223,W_Services_User.13,2017-05-15 00:00:00,Send Quote,26,2017-04-13 23:45:34
W_Event.224,W_Services_User.18,2017-05-15 00:00:00,Call,21,2017-04-13 23:45:34
W_Event.225,W_Services_User.15,2016-11-27 00:00:00,Other,13,2017-04-13 23:45:34
W_Event.226,W_Services_User.13,2017-05-08 00:00:00,Send Letter,27,2017-04-13 23:45:34
W_Event.227,W_Services_User.5,2014-08-03 00:00:00,Call,27,2017-04-13 23:45:34
W_Event.228,W_Services_User.14,2014-09-15 00:00:00,Send Quote,0,2017-04-13 23:45:34
W_Event.229,W_Services_User.14,2014-08-22 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.230,W_Services_User.11,2017-05-15 00:00:00,Send Letter,22,2017-04-13 23:45:34
W_Event.231,W_Services_User.2,2016-01-15 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.232,W_Services_User.8,2015-10-16 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.233,W_Services_User.12,2015-10-09 00:00:00,Call,42,2017-04-13 23:45:34
W_Event.234,W_Services_User.14,2016-11-25 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.235,W_Services_User.13,2016-12-06 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.236,W_Services_User.12,2014-12-15 00:00:00,Send Letter,15,2017-04-13 23:45:34
W_Event.237,W_Services_User.18,2017-01-18 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.238,W_Services_User.10,2016-12-06 00:00:00,Call,23,2017-04-13 23:45:34
W_Event.239,W_Services_User.19,2015-01-28 00:00:00,Send Letter,38,2017-04-13 23:45:34
W_Event.240,W_Services_User.14,2015-01-19 00:00:00,Other,38,2017-04-13 23:45:34
W_Event.241,W_Services_User.19,2016-01-08 00:00:00,Other,52,2017-04-13 23:45:34
W_Event.242,W_Services_User.3,2016-01-15 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.243,W_Services_User.3,2015-11-01 00:00:00,Other,49,2017-04-13 23:45:34
W_Event.244,W_Services_User.17,2015-09-16 00:00:00,Send Letter,19,2017-04-13 23:45:34
W_Event.245,W_Services_User.11,2015-11-15 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.246,W_Services_User.12,2017-01-17 00:00:00,Call,1,2017-04-13 23:45:34
W_Event.247,W_Services_User.17,2016-12-11 00:00:00,Send Quote,0,2017-04-13 23:45:34
W_Event.248,W_Services_User.9,2016-12-18 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.249,W_Services_User.13,2015-07-25 00:00:00,Send Letter,44,2017-04-13 23:45:34
W_Event.250,W_Services_User.19,2015-07-26 00:00:00,Other,0,2017-04-13 23:45:34
W_Event.251,W_Services_User.19,2017-05-15 00:00:00,Other,16,2017-04-13 23:45:34
W_Event.252,W_Services_User.3,2017-05-15 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.253,W_Services_User.17,2015-07-04 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.254,W_Services_User.5,2015-05-17 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.255,W_Services_User.14,2016-07-10 00:00:00,Send Letter,32,2017-04-13 23:45:34
W_Event.256,W_Services_User.5,2014-01-03 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.257,W_Services_User.7,2013-12-22 00:00:00,Call,19,2017-04-13 23:45:34
W_Event.258,W_Services_User.3,2014-03-03 00:00:00,Call,21,2017-04-13 23:45:34
W_Event.259,W_Services_User.3,2014-05-24 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.260,W_Services_User.11,2016-06-20 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.261,W_Services_User.14,2017-05-15 00:00:00,Call,10,2017-04-13 23:45:34
W_Event.262,W_Services_User.3,2015-03-14 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.263,W_Services_User.4,2015-04-14 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.264,W_Services_User.13,2015-02-09 00:00:00,Call,12,2017-04-13 23:45:34
W_Event.265,W_Services_User.4,2016-01-22 00:00:00,Call,9,2017-04-13 23:45:34
W_Event.266,W_Services_User.20,2016-01-20 00:00:00,Call,23,2017-04-13 23:45:34
W_Event.267,W_Services_User.8,2016-03-15 00:00:00,Call,0,2017-04-13 23:45:34
W_Event.268,W_Services_User.14,2017-05-15 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.269,W_Services_User.11,2017-05-15 00:00:00,Call,29,2017-04-13 23:45:34
W_Event.270,W_Services_User.9,2014-02-08 00:00:00,Call,45,2017-04-13 23:45:34
W_Event.271,W_Services_User.3,2017-05-15 00:00:00,Call,52,2017-04-13 23:45:34
W_Event.272,W_Services_User.5,2017-05-15 00:00:00,Call,13,2017-04-13 23:45:34
W_Event.273,W_Services_User.3,2016-01-03 00:00:00,Call,10,2017-04-13 23:45:34
W_Event.274,W_Services_User.7,2015-12-13 00:00:00,Other,0,2017-04-13 23:45:34
W_Event.275,W_Services_User.2,2017-05-03 00:00:00,Send Letter,49,2017-04-13 23:45:34
W_Event.276,W_Services_User.9,2017-03-24 00:00:00,Send Quote,3,2017-04-13 23:45:34
W_Event.277,W_Services_User.2,2017-05-15 00:00:00,Call,24,2017-04-13 23:45:34
W_Event.278,W_Services_User.5,2016-03-22 00:00:00,Other,41,2017-04-13 23:45:34
W_Event.279,W_Services_User.6,2015-11-14 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.280,W_Services_User.17,2015-12-28 00:00:00,Send Letter,4,2017-04-13 23:45:34
W_Event.281,W_Services_User.16,2015-12-23 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.282,W_Services_User.18,2016-03-05 00:00:00,Other,0,2017-04-13 23:45:34
W_Event.283,W_Services_User.13,2014-07-10 00:00:00,Other,0,2017-04-13 23:45:34
W_Event.284,W_Services_User.16,2014-08-08 00:00:00,Send Letter,0,2017-04-13 23:45:34
W_Event.285,W_Services_User.1,2015-04-08 00:00:00,Call,27,2017-04-13 23:45:34
W_Event.286,W_Services_User.8,2015-02-27 00:00:00,Other,53,2017-04-13 23:45:34
W_Event.287,W_Services_User.3,2015-03-14 00:00:00,Send Quote,60,2017-04-13 23:45:34
W_Event.288,W_Services_User.11,2014-02-13 00:00:00,Other,28,2017-04-13 23:45:34
