External_Id__c,Owner.External_Id__c,Subject,Type,DurationInMinutes,Status,Priority,CallDisposition,CallType,ActivityDateTime
W_Event.00073,W_Sales_User.00003,Send Quote,Email,33,Completed,Normal,Cold,Outbound,2017-02-14 20:32:50
W_Event.00074,W_Sales_User.00004,Call,Call,0,Completed,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00075,W_Sales_User.00010,Send Letter,Email,1,Not Started,Normal,Cold,Inbound,2017-02-14 20:32:50
W_Event.00076,W_Sales_User.00004,Send Quote,Email,0,On Hold,Normal,Cold,Outbound,2017-02-14 20:32:50
W_Event.00077,W_Sales_User.00008,Other,Prep,0,On Hold,Normal,Cold,Outbound,2017-02-14 20:32:50
W_Event.00078,W_Sales_User.00009,Call,Meeting,0,Not Started,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00079,W_Sales_User.00009,Send Quote,Email,17,Not Started,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00080,W_Sales_User.00002,Send Letter,Email,9,In Progress,Normal,Cold,Inbound,2017-02-14 20:32:50
W_Event.00081,W_Sales_User.00003,Other,Prep,17,On Hold,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00082,W_Sales_User.00007,Call,Call,50,Not Started,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00083,W_Sales_User.00010,Call,Call,3,Not Started,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00084,W_Sales_User.00008,Call,Meeting,0,Completed,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00085,W_Sales_User.00009,Other,Other,0,Not Started,High,Cold,Outbound,2017-02-14 20:32:50
W_Event.00086,W_Sales_User.00008,Send Letter,Email,0,Completed,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00087,W_Sales_User.00009,Other,Meeting,0,Not Started,Normal,Cold,Internal,2017-02-14 20:32:50
W_Event.00088,W_Sales_User.00002,Send Letter,Email,0,On Hold,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00089,W_Sales_User.00001,Call,Call,0,Not Started,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00090,W_Sales_User.00009,Call,Meeting,0,In Progress,Normal,Warm,Inbound,2017-02-14 20:32:50
W_Event.00091,W_Sales_User.00001,Other,Other,0,On Hold,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00092,W_Sales_User.00009,Call,Call,32,Not Started,Normal,Cold,Outbound,2017-02-14 20:32:50
W_Event.00093,W_Sales_User.00010,Send Letter,Email,16,On Hold,Normal,Cold,Outbound,2017-02-14 20:32:50
W_Event.00094,W_Sales_User.00002,Call,Call,0,Not Started,High,Hot,Outbound,2017-02-14 20:32:50
W_Event.00095,W_Sales_User.00005,Call,Call,15,On Hold,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00096,W_Sales_User.00004,Other,Prep,0,On Hold,Normal,Warm,Internal,2017-02-14 20:32:50
W_Event.00097,W_Sales_User.00009,Send Letter,Email,43,Not Started,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00098,W_Sales_User.00004,Other,Prep,11,On Hold,Normal,Warm,Outbound,2017-02-14 20:32:50
W_Event.00099,W_Sales_User.00008,Send Letter,Email,31,Completed,Normal,Hot,Inbound,2017-02-14 20:32:50
W_Event.00100,W_Sales_User.00006,Call,Call,20,In Progress,Normal,Warm,Outbound,2017-02-14 20:32:50
