Account.External_Id__c,Owner.External_Id__c,CreatedDate__c,External_Id__c,Contact.External_Id__c,IsEscalated,CSAT__c,Origin,Type,Subject,Priority,Status,ClosedDate__c
W_Account.16,W_User.3,2016-01-11 00:00:00,W_Case.24,W_Contact.16,false,67,Instagram,Product Support,Question about my invoice,Critical,Closed,2016-01-14 00:00:00
W_Account.18,W_User.18,2016-02-08 00:00:00,W_Case.25,W_Contact.18,false,71,LinkedIn,Account Support,How do I become a partner?,Medium,Closed,2016-02-11 00:00:00
W_Account.18,W_User.18,2016-03-09 00:00:00,W_Case.26,W_Contact.18,false,72,Google,General,I have a product suggestion.,Low,Attention,
W_Account.18,W_User.18,2016-04-23 00:00:00,W_Case.27,W_Contact.18,false,73,Mobile Device,Technical Issue,How do I change my communication preferences?,Low,Closed,2016-04-25 00:00:00
W_Account.21,W_User.16,2015-12-04 00:00:00,W_Case.28,W_Contact.21,false,93,Google,Technical Issue,I have a question about my order.,Low,Closed,2015-12-05 00:00:00
W_Account.21,W_User.16,2015-10-27 00:00:00,W_Case.29,W_Contact.21,false,71,Facebook,Account Support,Do you sell replacement parts?,Low,Closed,2015-11-05 00:00:00
W_Account.26,W_User.15,2017-05-07 00:00:00,W_Case.30,W_Contact.26,false,73,Phone,General,Please expedite my order.,High,Working,
W_Account.28,W_User.20,2016-06-25 00:00:00,W_Case.31,W_Contact.28,false,77,Q&A,Account Support,Where do I send my check?,Critical,Closed,2016-06-28 00:00:00
W_Account.28,W_User.20,2016-05-14 00:00:00,W_Case.32,W_Contact.28,false,61,Google,General,I have a question about my order.,High,Closed,2016-05-19 00:00:00
W_Account.28,W_User.20,2016-05-21 00:00:00,W_Case.33,W_Contact.28,false,76,Twitter,Product Support,Where can I purchase your products?,Medium,Closed,2016-05-25 00:00:00
W_Account.28,W_User.20,2016-05-10 00:00:00,W_Case.34,W_Contact.28,false,70,Mobile Device,Technical Issue,How is my password stored?,Medium,Closed,2016-05-16 00:00:00
W_Account.28,W_User.20,2016-07-21 00:00:00,W_Case.35,W_Contact.28,false,64,Email,Account Support,How do I change my communication preferences?,High,Closed,2016-07-30 00:00:00
W_Account.29,W_User.5,2016-03-30 00:00:00,W_Case.36,W_Contact.29,false,70,Google,Product Support,Billing address change,Low,Closed,2016-04-04 00:00:00
W_Account.32,W_User.17,2017-05-22 00:00:00,W_Case.37,W_Contact.32,false,81,LinkedIn,General,Question about my invoice,Medium,Closed,2017-05-22 00:00:00
W_Account.36,W_User.5,2016-08-20 00:00:00,W_Case.38,W_Contact.36,false,79,Twitter,Account Support,Where can I purchase your products?,High,Closed,2016-08-27 00:00:00
W_Account.38,W_User.1,2015-11-16 00:00:00,W_Case.39,W_Contact.38,false,66,Instagram,General,How do I diagnose this product issue?,High,Closed,2015-11-24 00:00:00
W_Account.40,W_User.3,2017-05-22 00:00:00,W_Case.40,W_Contact.40,false,69,Q&A,Product Support,Need additional product information,Low,Closed,2017-05-22 00:00:00
W_Account.41,W_User.3,2017-05-22 00:00:00,W_Case.41,W_Contact.41,false,77,Email,General,What are your service hours?,Medium,Closed,2017-05-22 00:00:00
W_Account.41,W_User.3,2017-05-22 00:00:00,W_Case.42,W_Contact.41,true,67,LinkedIn,General,How do I exchange a product?,Medium,Closed,2017-05-22 00:00:00
W_Account.47,W_User.20,2016-10-05 00:00:00,W_Case.43,W_Contact.47,false,82,Twitter,General,Assembly instruction help,Medium,Closed,2016-10-08 00:00:00
W_Account.47,W_User.20,2016-10-08 00:00:00,W_Case.44,W_Contact.47,false,63,Google,Product Support,How do I change my password?,Low,Closed,2016-10-12 00:00:00
W_Account.48,W_User.18,2016-02-24 00:00:00,W_Case.45,W_Contact.48,false,81,Community,Technical Issue,Error on my bill,Low,Closed,2016-02-25 00:00:00
W_Account.49,W_User.1,2015-10-15 00:00:00,W_Case.46,W_Contact.49,false,84,Google,Account Support,Product manual is missing,Medium,Closed,2015-10-24 00:00:00
W_Account.49,W_User.1,2015-10-15 00:00:00,W_Case.47,W_Contact.49,false,73,Facebook,Product Support,How do I set up auto-payment?,Medium,Closed,2015-10-19 00:00:00
W_Account.50,W_User.6,2017-04-11 00:00:00,W_Case.48,W_Contact.50,false,74,Q&A,Product Support,Can't understand installation instructions,Medium,Closed,2017-04-13 00:00:00
W_Account.50,W_User.6,2017-02-15 00:00:00,W_Case.49,W_Contact.50,false,77,Q&A,General,Is my personal information safe?,Low,Closed,2017-02-21 00:00:00
W_Account.50,W_User.6,2017-04-03 00:00:00,W_Case.50,W_Contact.50,false,78,Chat,Account Support,Problem with my bill,Low,Closed,2017-04-12 00:00:00
W_Account.50,W_User.6,2017-02-26 00:00:00,W_Case.51,W_Contact.50,false,65,Phone,Account Support,Product is shutting down intermittently,Critical,Closed,2017-02-27 00:00:00
W_Account.50,W_User.6,2017-03-29 00:00:00,W_Case.52,W_Contact.50,false,94,Website,Technical Issue,Need most recent invoice,Low,Closed,2017-04-05 00:00:00
W_Account.54,W_User.14,2016-03-13 00:00:00,W_Case.53,W_Contact.54,false,71,Mobile Device,Technical Issue,What does your service contract cover?,Medium,Closed,2016-03-15 00:00:00
W_Account.56,W_User.1,2016-05-13 00:00:00,W_Case.54,W_Contact.56,false,85,Q&A,General,Product setup issues,Medium,Closed,2016-05-21 00:00:00
W_Account.56,W_User.1,2016-07-13 00:00:00,W_Case.55,W_Contact.56,false,65,Mobile Device,General,How do I sign up for your email newsletter?,Low,Closed,2016-07-17 00:00:00
W_Account.56,W_User.1,2016-05-23 00:00:00,W_Case.56,W_Contact.56,false,68,Facebook,General,Projector getting over heated,High,Closed,2016-06-01 00:00:00
W_Account.63,W_User.17,2016-06-04 00:00:00,W_Case.57,W_Contact.63,false,72,Mobile Device,General,Please send shipping confirmation.,High,Closed,2016-06-12 00:00:00
W_Account.63,W_User.17,2016-06-07 00:00:00,W_Case.58,W_Contact.63,false,75,Google,General,How do I set up auto-payment?,Medium,Waiting on Customer,
W_Account.63,W_User.17,2016-06-26 00:00:00,W_Case.59,W_Contact.63,false,72,Facebook,Account Support,Question on my most recent order.,Low,Closed,2016-07-02 00:00:00
W_Account.64,W_User.19,2017-03-12 00:00:00,W_Case.60,W_Contact.64,false,76,Twitter,Technical Issue,Customer would like to upgrade,High,Closed,2017-03-21 00:00:00
W_Account.64,W_User.19,2017-02-26 00:00:00,W_Case.61,W_Contact.64,false,87,Mobile Device,Technical Issue,Where do I get your mobile app?,Critical,Closed,2017-02-26 00:00:00
W_Account.74,W_User.4,2017-05-22 00:00:00,W_Case.62,W_Contact.74,false,70,Instagram,Technical Issue,Question about my last billing statement,High,Closed,2017-05-22 00:00:00
W_Account.74,W_User.4,2017-05-22 00:00:00,W_Case.63,W_Contact.74,false,71,Twitter,General,Can you expedite my order?,High,Closed,2017-05-22 00:00:00
W_Account.74,W_User.4,2017-05-22 00:00:00,W_Case.64,W_Contact.74,false,76,Mobile Device,Product Support,Initiating return process.,Medium,Closed,2017-05-22 00:00:00
W_Account.74,W_User.4,2017-05-22 00:00:00,W_Case.65,W_Contact.74,false,62,Facebook,Product Support,What's included in your service contract?,Medium,Closed,2017-05-22 00:00:00
W_Account.74,W_User.4,2017-05-22 00:00:00,W_Case.66,W_Contact.74,false,62,Phone,General,Please change my contact information.,High,Closed,2017-05-22 00:00:00
W_Account.77,W_User.17,2016-04-06 00:00:00,W_Case.67,W_Contact.77,false,75,Community,Technical Issue,I can't understand the installation instructions,Low,Closed,2016-04-08 00:00:00
W_Account.81,W_User.15,2016-08-29 00:00:00,W_Case.68,W_Contact.81,false,72,LinkedIn,General,How do I diagnose this product issue?,Critical,Closed,2016-09-03 00:00:00
W_Account.82,W_User.14,2016-06-21 00:00:00,W_Case.69,W_Contact.82,false,68,Q&A,General,Where do I get your mobile app?,Medium,Closed,2016-06-23 00:00:00
W_Account.83,W_User.16,2016-09-14 00:00:00,W_Case.70,W_Contact.83,false,74,Community,General,How much do I owe on my bill?,Critical,Closed,2016-09-16 00:00:00
W_Account.83,W_User.16,2016-11-04 00:00:00,W_Case.71,W_Contact.83,false,69,Q&A,General,Where do I send my check?,Critical,Closed,2016-11-09 00:00:00
W_Account.86,W_User.20,2016-11-01 00:00:00,W_Case.72,W_Contact.86,false,78,Chat,Product Support,Projector getting over heated,Medium,Closed,2016-11-01 00:00:00
W_Account.87,W_User.19,2015-09-07 00:00:00,W_Case.73,W_Contact.87,false,71,Chat,Account Support,Troubleshooting issues with the product,Low,Closed,2015-09-08 00:00:00
W_Account.91,W_User.14,2017-05-22 00:00:00,W_Case.74,W_Contact.91,false,80,Chat,Product Support,Assembly instruction help,Medium,Closed,2017-05-22 00:00:00
W_Account.92,W_User.19,2016-09-09 00:00:00,W_Case.75,W_Contact.92,false,70,Phone,Technical Issue,What does your service contract cover?,Medium,Closed,2016-09-10 00:00:00
W_Account.96,W_User.1,2016-07-18 00:00:00,W_Case.76,W_Contact.96,false,61,Email,Account Support,Where can I purchase your products?,Medium,Closed,2016-07-23 00:00:00
W_Account.96,W_User.1,2016-07-15 00:00:00,W_Case.77,W_Contact.96,false,90,Q&A,Technical Issue,I can't understand the installation instructions,Critical,Closed,2016-07-15 00:00:00
W_Account.97,W_User.17,2016-02-15 00:00:00,W_Case.78,W_Contact.97,false,86,Website,Account Support,Need most recent invoice,Medium,Closed,2016-02-19 00:00:00
W_Account.97,W_User.17,2016-02-10 00:00:00,W_Case.79,W_Contact.97,false,73,Website,General,How do I become a partner?,Medium,Closed,2016-02-13 00:00:00
W_Account.97,W_User.17,2016-04-01 00:00:00,W_Case.80,W_Contact.97,false,81,Community,Product Support,Product is shutting down intermittently,Low,Closed,2016-04-05 00:00:00
W_Account.102,W_User.17,2017-05-22 00:00:00,W_Case.81,W_Contact.102,false,88,Instagram,Technical Issue,Incorrect bill,Critical,Closed,2017-05-22 00:00:00
W_Account.103,W_User.14,2016-01-19 00:00:00,W_Case.82,W_Contact.103,false,82,Chat,General,I need to pay my invoice.,Critical,Closed,2016-01-21 00:00:00
W_Account.104,W_User.18,2016-04-03 00:00:00,W_Case.83,W_Contact.104,false,66,Mobile Device,General,How much do I owe on my bill?,High,Closed,2016-04-06 00:00:00
W_Account.104,W_User.18,2016-03-30 00:00:00,W_Case.84,W_Contact.104,false,99,LinkedIn,Technical Issue,Projector getting over heated,High,Closed,2016-03-31 00:00:00
W_Account.105,W_User.2,2016-08-02 00:00:00,W_Case.85,W_Contact.105,false,100,Instagram,Product Support,Question about taxes on my order.,Medium,Closed,2016-08-08 00:00:00
W_Account.107,W_User.2,2016-04-18 00:00:00,W_Case.86,W_Contact.107,false,77,Google,General,Question about taxes on my order.,Medium,Closed,2016-04-21 00:00:00
W_Account.108,W_User.16,2016-04-26 00:00:00,W_Case.87,W_Contact.108,false,67,Q&A,Technical Issue,How do I create a secure password?,Critical,Closed,2016-05-05 00:00:00
W_Account.109,W_User.15,2017-05-18 00:00:00,W_Case.88,W_Contact.109,true,70,Q&A,Technical Issue,What's included in your service contract?,Critical,Closed,2017-05-22 00:00:00
W_Account.110,W_User.19,2015-09-18 00:00:00,W_Case.89,W_Contact.110,false,74,Email,Account Support,I need to pay my invoice.,Critical,Closed,2015-09-19 00:00:00
W_Account.110,W_User.19,2015-10-15 00:00:00,W_Case.90,W_Contact.110,false,83,Facebook,General,How do I upgrade?,Critical,Attention,
W_Account.110,W_User.19,2015-11-23 00:00:00,W_Case.91,W_Contact.110,false,65,Mobile Device,Product Support,Was our last payment correct?,High,Closed,2015-11-30 00:00:00
W_Account.111,W_User.17,2016-03-20 00:00:00,W_Case.92,W_Contact.111,false,75,Mobile Device,Technical Issue,How do I obtain your annual report?,Medium,Closed,2016-03-21 00:00:00
W_Account.114,W_User.1,2017-04-18 00:00:00,W_Case.93,W_Contact.114,false,79,Chat,Account Support,Where do I get your mobile app?,Low,Closed,2017-04-22 00:00:00
W_Account.114,W_User.1,2017-05-22 00:00:00,W_Case.94,W_Contact.114,false,65,LinkedIn,Product Support,What’s the product warranty policy?,Medium,Closed,2017-05-22 00:00:00
W_Account.116,W_User.20,2017-05-22 00:00:00,W_Case.95,W_Contact.116,false,73,Website,General,Billing address change,Low,Closed,2017-05-22 00:00:00
W_Account.118,W_User.4,2015-11-12 00:00:00,W_Case.96,W_Contact.118,true,61,Mobile Device,General,How do I change my password?,Medium,Closed,2015-11-21 00:00:00
W_Account.121,W_User.18,2017-05-22 00:00:00,W_Case.97,W_Contact.121,false,74,Mobile Device,General,How do I change my password?,Critical,Closed,2017-05-22 00:00:00
W_Account.121,W_User.18,2017-05-22 00:00:00,W_Case.98,W_Contact.121,false,77,Facebook,General,Is my personal information safe?,Low,Closed,2017-05-22 00:00:00
W_Account.122,W_User.1,2016-07-26 00:00:00,W_Case.99,W_Contact.122,false,67,Q&A,Account Support,Initiating return process.,Critical,Closed,2016-08-04 00:00:00
W_Account.122,W_User.1,2016-06-26 00:00:00,W_Case.100,W_Contact.122,false,65,Instagram,Technical Issue,Was our last payment correct?,High,Waiting on Customer,
W_Account.122,W_User.1,2016-07-24 00:00:00,W_Case.101,W_Contact.122,false,68,Twitter,Account Support,Can you expedite my order?,Low,Closed,2016-07-30 00:00:00
W_Account.122,W_User.1,2016-07-11 00:00:00,W_Case.102,W_Contact.122,false,72,Chat,General,How much do I owe on my bill?,Medium,Closed,2016-07-16 00:00:00
W_Account.125,W_User.15,2016-04-14 00:00:00,W_Case.103,W_Contact.125,false,92,Google,General,"Product damaged, mishandled during shipping.",Critical,Closed,2016-04-15 00:00:00
W_Account.125,W_User.15,2016-04-22 00:00:00,W_Case.104,W_Contact.125,false,79,Mobile Device,General,Need additional product information,Medium,Closed,2016-04-25 00:00:00
W_Account.129,W_User.16,2017-05-22 00:00:00,W_Case.105,W_Contact.129,false,70,Community,Technical Issue,Question about my last billing statement,High,Closed,2017-05-22 00:00:00
W_Account.129,W_User.16,2017-04-23 00:00:00,W_Case.106,W_Contact.129,false,77,Q&A,Product Support,Error on my bill,Medium,Closed,2017-05-02 00:00:00
W_Account.129,W_User.16,2017-03-20 00:00:00,W_Case.107,W_Contact.129,false,64,Phone,General,Customer service hours of operation.,Low,Closed,2017-03-25 00:00:00
W_Account.130,W_User.19,2016-11-25 00:00:00,W_Case.108,W_Contact.130,false,78,Chat,Technical Issue,How do I obtain your annual report?,Critical,Attention,
W_Account.130,W_User.19,2016-11-11 00:00:00,W_Case.109,W_Contact.130,false,67,Phone,General,Incorrect bill,Critical,Closed,2016-11-19 00:00:00
W_Account.131,W_User.17,2016-01-09 00:00:00,W_Case.110,W_Contact.131,false,85,Mobile Device,Technical Issue,Product setup issues,Low,Closed,2016-01-13 00:00:00
W_Account.131,W_User.17,2016-01-15 00:00:00,W_Case.111,W_Contact.131,false,86,Twitter,Product Support,Customer called to make a payment,Low,Closed,2016-01-17 00:00:00
W_Account.132,W_User.20,2017-04-29 00:00:00,W_Case.112,W_Contact.132,false,70,Mobile Device,General,Where do I send my check?,High,Closed,2017-05-07 00:00:00
W_Account.134,W_User.19,2017-05-22 00:00:00,W_Case.113,W_Contact.134,false,79,Facebook,Product Support,How do I become a partner?,Medium,Closed,2017-05-22 00:00:00
W_Account.135,W_User.17,2016-04-08 00:00:00,W_Case.114,W_Contact.135,false,76,Google,Technical Issue,I received the wrong invoice.,Low,Closed,2016-04-09 00:00:00
W_Account.139,W_User.4,2016-04-29 00:00:00,W_Case.115,W_Contact.139,false,71,Community,Technical Issue,Billing statement reprint,Medium,Working,
W_Account.141,W_User.1,2016-03-31 00:00:00,W_Case.116,W_Contact.141,false,72,LinkedIn,Technical Issue,How do I upgrade?,Medium,Closed,2016-04-09 00:00:00
W_Account.142,W_User.14,2016-04-28 00:00:00,W_Case.117,W_Contact.142,false,76,Facebook,General,How do I get started with your service?,High,Closed,2016-05-04 00:00:00
W_Account.142,W_User.14,2016-04-11 00:00:00,W_Case.118,W_Contact.142,false,74,Phone,Account Support,Assembly instruction help,High,Closed,2016-04-16 00:00:00
W_Account.145,W_User.15,2017-04-10 00:00:00,W_Case.119,W_Contact.145,false,83,Chat,Account Support,Customer called to make a payment,Medium,Closed,2017-04-13 00:00:00
W_Account.145,W_User.15,2017-03-29 00:00:00,W_Case.120,W_Contact.145,false,93,Instagram,Product Support,What does your service contract cover?,Medium,Closed,2017-04-04 00:00:00
W_Account.145,W_User.15,2017-04-23 00:00:00,W_Case.121,W_Contact.145,false,71,Community,General,Where do I get your mobile app?,High,Closed,2017-05-01 00:00:00
W_Account.152,W_User.17,2015-12-29 00:00:00,W_Case.122,W_Contact.152,false,76,Website,Account Support,Please change my contact information.,Critical,Closed,2015-12-31 00:00:00
W_Account.159,W_User.15,2017-05-22 00:00:00,W_Case.123,W_Contact.159,false,60,Website,Technical Issue,Question about taxes on my order.,High,Closed,2017-05-22 00:00:00
W_Account.159,W_User.15,2017-05-22 00:00:00,W_Case.124,W_Contact.159,false,96,Chat,General,Problem with my bill,Medium,Closed,2017-05-22 00:00:00
W_Account.160,W_User.3,2017-05-22 00:00:00,W_Case.125,W_Contact.160,false,90,Community,Technical Issue,Where do I submit a product suggestion?,Medium,Closed,2017-05-22 00:00:00
W_Account.160,W_User.3,2017-05-22 00:00:00,W_Case.126,W_Contact.160,false,87,Website,General,What are your service hours?,High,Closed,2017-05-22 00:00:00
W_Account.160,W_User.3,2017-05-22 00:00:00,W_Case.127,W_Contact.160,false,57,Mobile Device,General,Shipping container appears damaged,Critical,Closed,2017-05-22 00:00:00
W_Account.161,W_User.17,2016-05-08 00:00:00,W_Case.128,W_Contact.161,false,59,Community,Product Support,Need additional product information,High,Closed,2016-05-12 00:00:00
W_Account.166,W_User.6,2016-10-13 00:00:00,W_Case.129,W_Contact.166,false,81,Twitter,Account Support,Shipping container appears damaged,High,Closed,2016-10-21 00:00:00
W_Account.166,W_User.6,2016-09-09 00:00:00,W_Case.130,W_Contact.166,false,71,Facebook,Technical Issue,Billing statement reprint,High,Closed,2016-09-13 00:00:00
W_Account.167,W_User.1,2015-10-12 00:00:00,W_Case.131,W_Contact.167,false,72,Facebook,General,Product is shutting down intermittently,Medium,Closed,2015-10-14 00:00:00
W_Account.169,W_User.6,2016-05-18 00:00:00,W_Case.132,W_Contact.169,false,73,Email,Account Support,Can't understand installation instructions,Medium,Closed,2016-05-24 00:00:00
W_Account.171,W_User.20,2016-12-15 00:00:00,W_Case.133,W_Contact.171,false,60,LinkedIn,Account Support,Product is shutting down intermittently,Low,Closed,2016-12-17 00:00:00
W_Account.174,W_User.5,2016-07-13 00:00:00,W_Case.134,W_Contact.174,true,84,Q&A,Technical Issue,How do I troubleshoot a product issue?,Low,Attention,
W_Account.178,W_User.4,2017-05-22 00:00:00,W_Case.135,W_Contact.178,false,54,Chat,General,Where can I purchase your products?,Critical,Closed,2017-05-22 00:00:00
W_Account.183,W_User.3,2015-09-17 00:00:00,W_Case.136,W_Contact.183,false,75,Facebook,General,Question about my invoice,Critical,Closed,2015-09-18 00:00:00
W_Account.185,W_User.1,2015-11-09 00:00:00,W_Case.137,W_Contact.185,false,66,Google,Account Support,Is my personal information safe?,Critical,Closed,2015-11-14 00:00:00
W_Account.186,W_User.14,2016-06-22 00:00:00,W_Case.138,W_Contact.186,false,55,Email,Technical Issue,Question about my last billing statement,Critical,Closed,2016-06-28 00:00:00
W_Account.187,W_User.5,2016-08-13 00:00:00,W_Case.139,W_Contact.187,false,75,Phone,Technical Issue,Where can I purchase your products?,Critical,Closed,2016-08-22 00:00:00
W_Account.187,W_User.5,2016-07-14 00:00:00,W_Case.140,W_Contact.187,false,71,Google,Account Support,I have a product suggestion.,Medium,Closed,2016-07-15 00:00:00
W_Account.187,W_User.5,2016-07-29 00:00:00,W_Case.141,W_Contact.187,false,71,Instagram,Account Support,Need most recent invoice,Medium,Closed,2016-08-06 00:00:00
W_Account.187,W_User.5,2016-06-21 00:00:00,W_Case.142,W_Contact.187,false,66,Google,Technical Issue,Question about my last billing statement,Critical,Closed,2016-06-26 00:00:00
W_Account.188,W_User.3,2017-05-22 00:00:00,W_Case.143,W_Contact.188,false,81,Instagram,General,What are your service hours?,High,Closed,2017-05-22 00:00:00
W_Account.193,W_User.18,2016-06-17 00:00:00,W_Case.144,W_Contact.193,true,79,Instagram,Product Support,I can't understand the installation instructions,Medium,Closed,2016-06-23 00:00:00
W_Account.196,W_User.14,2016-09-28 00:00:00,W_Case.145,W_Contact.196,false,77,Facebook,Technical Issue,Where can I purchase your products?,Low,Closed,2016-10-03 00:00:00
W_Account.200,W_User.15,2015-11-05 00:00:00,W_Case.146,W_Contact.200,false,71,Website,Product Support,I need to pay my invoice.,Low,Closed,2015-11-14 00:00:00
W_Account.200,W_User.15,2015-08-30 00:00:00,W_Case.147,W_Contact.200,false,58,Q&A,Account Support,What does your service contract cover?,Critical,Closed,2015-09-05 00:00:00
W_Account.200,W_User.15,2015-09-16 00:00:00,W_Case.148,W_Contact.200,false,63,Facebook,General,Question about my invoice,High,Closed,2015-09-21 00:00:00
W_Account.200,W_User.15,2015-09-02 00:00:00,W_Case.149,W_Contact.200,false,82,Email,Technical Issue,What are your support hours?,Low,Closed,2015-09-08 00:00:00
W_Account.200,W_User.15,2015-09-04 00:00:00,W_Case.150,W_Contact.200,false,73,Mobile Device,Technical Issue,Question on my most recent order.,Critical,Closed,2015-09-10 00:00:00
W_Account.200,W_User.15,2015-09-26 00:00:00,W_Case.151,W_Contact.200,false,84,Twitter,General,Bill payment clarification.,Low,Closed,2015-10-02 00:00:00
W_Account.201,W_User.17,2017-05-12 00:00:00,W_Case.152,W_Contact.201,false,94,Twitter,Account Support,Billing statement incorrect,Medium,Closed,2017-05-15 00:00:00
W_Account.201,W_User.17,2017-04-28 00:00:00,W_Case.153,W_Contact.201,false,73,Website,Technical Issue,How do I check my order status?,Medium,Closed,2017-05-04 00:00:00
W_Account.204,W_User.18,2017-04-25 00:00:00,W_Case.154,W_Contact.204,false,87,Email,General,Setup Instructions are missing,High,Closed,2017-04-28 00:00:00
W_Account.205,W_User.18,2016-12-23 00:00:00,W_Case.155,W_Contact.205,false,74,Google,Product Support,Problem with my bill,Critical,Closed,2016-12-24 00:00:00
W_Account.205,W_User.18,2017-01-15 00:00:00,W_Case.156,W_Contact.205,false,82,LinkedIn,General,Can I access your community from my mobile device?,Medium,Closed,2017-01-18 00:00:00
W_Account.206,W_User.15,2015-12-21 00:00:00,W_Case.157,W_Contact.206,false,68,Email,Technical Issue,How do I upgrade?,Medium,Closed,2015-12-29 00:00:00
W_Account.210,W_User.15,2016-06-23 00:00:00,W_Case.158,W_Contact.210,false,74,Community,General,Was our last payment correct?,Critical,Closed,2016-06-29 00:00:00
W_Account.214,W_User.14,2015-11-07 00:00:00,W_Case.159,W_Contact.214,false,81,Website,Product Support,How do I exchange a product?,Medium,Closed,2015-11-11 00:00:00
W_Account.214,W_User.14,2015-11-04 00:00:00,W_Case.160,W_Contact.214,false,71,Q&A,Product Support,Projector getting over heated,Medium,New,
W_Account.218,W_User.14,2017-02-19 00:00:00,W_Case.161,W_Contact.218,false,60,Community,Account Support,Troubleshooting issues with the product,Medium,Closed,2017-02-22 00:00:00
W_Account.218,W_User.14,2017-03-18 00:00:00,W_Case.162,W_Contact.218,false,67,LinkedIn,Account Support,How is my password stored?,Critical,Closed,2017-03-18 00:00:00
W_Account.221,W_User.20,2016-06-08 00:00:00,W_Case.163,W_Contact.221,false,81,Email,Account Support,Can't understand installation instructions,High,Closed,2016-06-09 00:00:00
W_Account.223,W_User.5,2016-05-01 00:00:00,W_Case.164,W_Contact.223,false,80,Google,Account Support,Product is shutting down intermittently,Medium,Closed,2016-05-10 00:00:00
