External_Id__c,Opportunity.External_Id__c,TotalPrice,PricebookEntry.External_Id__c,Quantity
W_OpportunityLineItem.160,W_Opportunity.7869,46504,W_PricebookEntry.11,20
W_OpportunityLineItem.161,W_Opportunity.7891,20000,W_PricebookEntry.3,18
W_OpportunityLineItem.162,W_Opportunity.7950,34337,W_PricebookEntry.3,31
W_OpportunityLineItem.163,W_Opportunity.7961,500000,W_PricebookEntry.11,208
W_OpportunityLineItem.164,W_Opportunity.7967,4000,W_PricebookEntry.7,6
W_OpportunityLineItem.165,W_Opportunity.7989,100000,W_PricebookEntry.4,61
W_OpportunityLineItem.166,W_Opportunity.8003,256300,W_PricebookEntry.5,200
W_OpportunityLineItem.167,W_Opportunity.8018,20000,W_PricebookEntry.9,16
W_OpportunityLineItem.168,W_Opportunity.8054,76687,W_PricebookEntry.10,47
W_OpportunityLineItem.169,W_Opportunity.8216,60000,W_PricebookEntry.3,54
W_OpportunityLineItem.170,W_Opportunity.8263,10000,W_PricebookEntry.9,8
W_OpportunityLineItem.171,W_Opportunity.8286,113000,W_PricebookEntry.4,69
W_OpportunityLineItem.172,W_Opportunity.8349,100000,W_PricebookEntry.9,80
W_OpportunityLineItem.173,W_Opportunity.8374,74679,W_PricebookEntry.9,60
W_OpportunityLineItem.174,W_Opportunity.8383,15501,W_PricebookEntry.3,14
W_OpportunityLineItem.175,W_Opportunity.8422,15000,W_PricebookEntry.8,14
W_OpportunityLineItem.176,W_Opportunity.8428,105263,W_PricebookEntry.9,84
W_OpportunityLineItem.177,W_Opportunity.8526,20000,W_PricebookEntry.9,16
W_OpportunityLineItem.178,W_Opportunity.8638,12485,W_PricebookEntry.10,8
W_OpportunityLineItem.179,W_Opportunity.8764,69000,W_PricebookEntry.4,42
W_OpportunityLineItem.180,W_Opportunity.8806,186017,W_PricebookEntry.9,148
W_OpportunityLineItem.181,W_Opportunity.8823,11000,W_PricebookEntry.3,10
W_OpportunityLineItem.182,W_Opportunity.8824,25002,W_PricebookEntry.3,23
W_OpportunityLineItem.183,W_Opportunity.8860,100000,W_PricebookEntry.11,42
W_OpportunityLineItem.184,W_Opportunity.8898,17105,W_PricebookEntry.7,24
W_OpportunityLineItem.185,W_Opportunity.9040,110000,W_PricebookEntry.11,46
W_OpportunityLineItem.186,W_Opportunity.9063,184049,W_PricebookEntry.4,112
W_OpportunityLineItem.187,W_Opportunity.9124,364284,W_PricebookEntry.11,152
W_OpportunityLineItem.188,W_Opportunity.9225,25000,W_PricebookEntry.3,23
W_OpportunityLineItem.189,W_Opportunity.9230,62005,W_PricebookEntry.11,26
W_OpportunityLineItem.190,W_Opportunity.9341,33000,W_PricebookEntry.9,27
W_OpportunityLineItem.191,W_Opportunity.9343,15000,W_PricebookEntry.7,21
W_OpportunityLineItem.192,W_Opportunity.9348,65000,W_PricebookEntry.7,91
W_OpportunityLineItem.193,W_Opportunity.9358,18404,W_PricebookEntry.9,15
W_OpportunityLineItem.194,W_Opportunity.9459,46504,W_PricebookEntry.2,27
W_OpportunityLineItem.195,W_Opportunity.9461,19151,W_PricebookEntry.8,18
W_OpportunityLineItem.196,W_Opportunity.9550,17650,W_PricebookEntry.3,16
W_OpportunityLineItem.197,W_Opportunity.9574,253358,W_PricebookEntry.6,92
W_OpportunityLineItem.198,W_Opportunity.9579,186017,W_PricebookEntry.7,260
W_OpportunityLineItem.199,W_Opportunity.9589,25000,W_PricebookEntry.7,35
W_OpportunityLineItem.200,W_Opportunity.9605,250000,W_PricebookEntry.6,91
W_OpportunityLineItem.201,W_Opportunity.9610,28000,W_PricebookEntry.3,26
W_OpportunityLineItem.202,W_Opportunity.9661,54255,W_PricebookEntry.3,49
W_OpportunityLineItem.203,W_Opportunity.9693,30000,W_PricebookEntry.7,42
W_OpportunityLineItem.204,W_Opportunity.9729,141371,W_PricebookEntry.7,198
W_OpportunityLineItem.205,W_Opportunity.9809,25002,W_PricebookEntry.3,23
W_OpportunityLineItem.206,W_Opportunity.9817,100000,W_PricebookEntry.10,60
W_OpportunityLineItem.207,W_Opportunity.9863,25000,W_PricebookEntry.3,23
W_OpportunityLineItem.208,W_Opportunity.9884,5245,W_PricebookEntry.3,5
W_OpportunityLineItem.209,W_Opportunity.9952,25500,W_PricebookEntry.7,36
W_OpportunityLineItem.210,W_Opportunity.9965,583,W_PricebookEntry.10,1
W_OpportunityLineItem.211,W_Opportunity.9969,2332,W_PricebookEntry.7,4
W_OpportunityLineItem.212,W_Opportunity.10039,66000,W_PricebookEntry.10,40
W_OpportunityLineItem.213,W_Opportunity.10082,250000,W_PricebookEntry.3,225
W_OpportunityLineItem.214,W_Opportunity.10275,100000,W_PricebookEntry.1,55
W_OpportunityLineItem.215,W_Opportunity.10292,51468,W_PricebookEntry.3,47
W_OpportunityLineItem.216,W_Opportunity.10329,100000,W_PricebookEntry.8,91
W_OpportunityLineItem.217,W_Opportunity.10445,0,W_PricebookEntry.8,1
W_OpportunityLineItem.218,W_Opportunity.10491,9281,W_PricebookEntry.8,9
W_OpportunityLineItem.219,W_Opportunity.10523,10000,W_PricebookEntry.9,8
W_OpportunityLineItem.220,W_Opportunity.10538,15000,W_PricebookEntry.10,9
W_OpportunityLineItem.221,W_Opportunity.10573,21000,W_PricebookEntry.8,19
W_OpportunityLineItem.222,W_Opportunity.10587,25000,W_PricebookEntry.7,35
W_OpportunityLineItem.223,W_Opportunity.10640,30000,W_PricebookEntry.9,24
W_OpportunityLineItem.224,W_Opportunity.10644,30000,W_PricebookEntry.9,24
W_OpportunityLineItem.225,W_Opportunity.10659,200000,W_PricebookEntry.10,120
W_OpportunityLineItem.226,W_Opportunity.10693,116279,W_PricebookEntry.3,105
W_OpportunityLineItem.227,W_Opportunity.10722,12481,W_PricebookEntry.11,6
W_OpportunityLineItem.228,W_Opportunity.10731,2500,W_PricebookEntry.8,3
W_OpportunityLineItem.229,W_Opportunity.10773,70000,W_PricebookEntry.5,55
W_OpportunityLineItem.230,W_Opportunity.10803,12500,W_PricebookEntry.3,12
W_OpportunityLineItem.231,W_Opportunity.10942,20000,W_PricebookEntry.5,16
W_OpportunityLineItem.232,W_Opportunity.11024,450000,W_PricebookEntry.9,357
W_OpportunityLineItem.233,W_Opportunity.11044,31002,W_PricebookEntry.7,44
W_OpportunityLineItem.234,W_Opportunity.11052,280576,W_PricebookEntry.9,223
W_OpportunityLineItem.235,W_Opportunity.11106,18404,W_PricebookEntry.6,7
W_OpportunityLineItem.236,W_Opportunity.11222,27641,W_PricebookEntry.3,25
W_OpportunityLineItem.237,W_Opportunity.11290,131000,W_PricebookEntry.2,74
W_OpportunityLineItem.238,W_Opportunity.11295,250000,W_PricebookEntry.9,198
W_OpportunityLineItem.239,W_Opportunity.11306,77507,W_PricebookEntry.3,70
W_OpportunityLineItem.240,W_Opportunity.11390,77507,W_PricebookEntry.7,109
W_OpportunityLineItem.241,W_Opportunity.11408,243373,W_PricebookEntry.9,193
W_OpportunityLineItem.242,W_Opportunity.11444,4330,W_PricebookEntry.7,7
W_OpportunityLineItem.243,W_Opportunity.11456,90000,W_PricebookEntry.11,38
W_OpportunityLineItem.244,W_Opportunity.11473,52000,W_PricebookEntry.7,73
W_OpportunityLineItem.245,W_Opportunity.11532,100000,W_PricebookEntry.7,140
W_OpportunityLineItem.246,W_Opportunity.11591,10650,W_PricebookEntry.7,15
W_OpportunityLineItem.247,W_Opportunity.11603,35200,W_PricebookEntry.7,50
W_OpportunityLineItem.248,W_Opportunity.11633,10000,W_PricebookEntry.11,5
W_OpportunityLineItem.249,W_Opportunity.11690,10000,W_PricebookEntry.11,5
W_OpportunityLineItem.250,W_Opportunity.11712,387536,W_PricebookEntry.10,233
W_OpportunityLineItem.251,W_Opportunity.11801,17441,W_PricebookEntry.3,16
W_OpportunityLineItem.252,W_Opportunity.11821,75000,W_PricebookEntry.9,60
W_OpportunityLineItem.253,W_Opportunity.11830,2000,W_PricebookEntry.10,2
W_OpportunityLineItem.254,W_Opportunity.11875,50000,W_PricebookEntry.7,70
W_OpportunityLineItem.255,W_Opportunity.12042,1500,W_PricebookEntry.11,1
W_OpportunityLineItem.256,W_Opportunity.12061,58139,W_PricebookEntry.9,47
W_OpportunityLineItem.257,W_Opportunity.12067,800000,W_PricebookEntry.3,717
W_OpportunityLineItem.258,W_Opportunity.12075,15501,W_PricebookEntry.11,7
W_OpportunityLineItem.259,W_Opportunity.12082,7000,W_PricebookEntry.7,10
W_OpportunityLineItem.260,W_Opportunity.12087,100000,W_PricebookEntry.5,78
W_OpportunityLineItem.261,W_Opportunity.12094,40000,W_PricebookEntry.3,36
W_OpportunityLineItem.262,W_Opportunity.12119,0,W_PricebookEntry.3,1
W_OpportunityLineItem.263,W_Opportunity.12200,60240,W_PricebookEntry.8,55
W_OpportunityLineItem.264,W_Opportunity.12209,24539,W_PricebookEntry.10,15
W_OpportunityLineItem.265,W_Opportunity.12266,18404,W_PricebookEntry.9,15
W_OpportunityLineItem.266,W_Opportunity.12296,100000,W_PricebookEntry.9,80
W_OpportunityLineItem.267,W_Opportunity.12339,25002,W_PricebookEntry.3,23
W_OpportunityLineItem.268,W_Opportunity.12367,1000,W_PricebookEntry.7,2
W_OpportunityLineItem.269,W_Opportunity.12427,101000,W_PricebookEntry.10,61
W_OpportunityLineItem.270,W_Opportunity.12524,500000,W_PricebookEntry.11,208
W_OpportunityLineItem.271,W_Opportunity.12651,150000,W_PricebookEntry.6,55
W_OpportunityLineItem.272,W_Opportunity.12743,155014,W_PricebookEntry.4,94
W_OpportunityLineItem.273,W_Opportunity.12821,101000,W_PricebookEntry.9,80
W_OpportunityLineItem.274,W_Opportunity.12874,25000,W_PricebookEntry.7,35
W_OpportunityLineItem.275,W_Opportunity.12915,750000,W_PricebookEntry.8,677
W_OpportunityLineItem.276,W_Opportunity.12949,23252,W_PricebookEntry.3,21
W_OpportunityLineItem.277,W_Opportunity.13016,34103,W_PricebookEntry.9,28
W_OpportunityLineItem.278,W_Opportunity.13026,56178,W_PricebookEntry.9,45
W_OpportunityLineItem.279,W_Opportunity.13073,15000,W_PricebookEntry.8,14
W_OpportunityLineItem.280,W_Opportunity.13095,25000,W_PricebookEntry.3,23
W_OpportunityLineItem.281,W_Opportunity.13131,13000,W_PricebookEntry.9,11
W_OpportunityLineItem.282,W_Opportunity.13140,25000,W_PricebookEntry.7,35
W_OpportunityLineItem.283,W_Opportunity.13175,2558,W_PricebookEntry.7,4
W_OpportunityLineItem.284,W_Opportunity.13213,10000,W_PricebookEntry.3,9
W_OpportunityLineItem.285,W_Opportunity.13254,32894,W_PricebookEntry.7,46
W_OpportunityLineItem.286,W_Opportunity.13269,31002,W_PricebookEntry.3,28
W_OpportunityLineItem.287,W_Opportunity.13321,29452,W_PricebookEntry.5,23
W_OpportunityLineItem.288,W_Opportunity.13433,10000,W_PricebookEntry.9,8
W_OpportunityLineItem.289,W_Opportunity.13459,15000,W_PricebookEntry.3,14
W_OpportunityLineItem.290,W_Opportunity.13487,75000,W_PricebookEntry.3,68
W_OpportunityLineItem.291,W_Opportunity.13493,200000,W_PricebookEntry.8,181
W_OpportunityLineItem.292,W_Opportunity.13500,40000,W_PricebookEntry.5,32
W_OpportunityLineItem.293,W_Opportunity.13536,15501,W_PricebookEntry.8,14
W_OpportunityLineItem.294,W_Opportunity.13672,5000,W_PricebookEntry.7,7
W_OpportunityLineItem.295,W_Opportunity.13680,7500,W_PricebookEntry.7,11
W_OpportunityLineItem.296,W_Opportunity.13746,14000,W_PricebookEntry.8,13
W_OpportunityLineItem.297,W_Opportunity.13750,50000,W_PricebookEntry.3,45
W_OpportunityLineItem.298,W_Opportunity.13805,106092,W_PricebookEntry.9,84
W_OpportunityLineItem.299,W_Opportunity.13838,50000,W_PricebookEntry.6,19
W_OpportunityLineItem.300,W_Opportunity.13854,20000,W_PricebookEntry.3,18
W_OpportunityLineItem.301,W_Opportunity.13865,17544,W_PricebookEntry.8,16
W_OpportunityLineItem.302,W_Opportunity.13937,100000,W_PricebookEntry.3,90
W_OpportunityLineItem.303,W_Opportunity.13992,20000,W_PricebookEntry.8,19
W_OpportunityLineItem.304,W_Opportunity.14015,100000,W_PricebookEntry.8,91
W_OpportunityLineItem.305,W_Opportunity.14020,50000,W_PricebookEntry.3,45
W_OpportunityLineItem.306,W_Opportunity.14055,8400,W_PricebookEntry.9,7
W_OpportunityLineItem.307,W_Opportunity.14124,116,W_PricebookEntry.3,1
W_OpportunityLineItem.308,W_Opportunity.14136,0,W_PricebookEntry.10,1
W_OpportunityLineItem.309,W_Opportunity.14231,900000,W_PricebookEntry.3,807
W_OpportunityLineItem.310,W_Opportunity.14282,620058,W_PricebookEntry.9,491
W_OpportunityLineItem.311,W_Opportunity.14292,34883,W_PricebookEntry.3,32
W_OpportunityLineItem.312,W_Opportunity.14335,90000,W_PricebookEntry.3,81
W_OpportunityLineItem.313,W_Opportunity.14384,50000,W_PricebookEntry.8,46
W_OpportunityLineItem.314,W_Opportunity.14448,46511,W_PricebookEntry.3,42
W_OpportunityLineItem.315,W_Opportunity.14549,100000,W_PricebookEntry.10,60
W_OpportunityLineItem.316,W_Opportunity.14594,23252,W_PricebookEntry.11,10
W_OpportunityLineItem.317,W_Opportunity.14615,50000,W_PricebookEntry.9,40
W_OpportunityLineItem.318,W_Opportunity.14673,131,W_PricebookEntry.4,1
W_OpportunityLineItem.319,W_Opportunity.14683,5217,W_PricebookEntry.4,4
W_OpportunityLineItem.320,W_Opportunity.14771,29069,W_PricebookEntry.3,27
W_OpportunityLineItem.321,W_Opportunity.14930,6200,W_PricebookEntry.4,4
W_OpportunityLineItem.322,W_Opportunity.14977,25000,W_PricebookEntry.3,23
W_OpportunityLineItem.323,W_Opportunity.15120,5000,W_PricebookEntry.7,7
W_OpportunityLineItem.324,W_Opportunity.15213,250000,W_PricebookEntry.10,150
W_OpportunityLineItem.325,W_Opportunity.15224,40000,W_PricebookEntry.7,56
W_OpportunityLineItem.326,W_Opportunity.15298,19645,W_PricebookEntry.4,12
W_OpportunityLineItem.327,W_Opportunity.15331,141858,W_PricebookEntry.11,59
W_OpportunityLineItem.328,W_Opportunity.15341,45000,W_PricebookEntry.10,27
W_OpportunityLineItem.329,W_Opportunity.15361,250000,W_PricebookEntry.11,104
W_OpportunityLineItem.330,W_Opportunity.15397,10426,W_PricebookEntry.7,15
W_OpportunityLineItem.331,W_Opportunity.15408,115000,W_PricebookEntry.9,92
