What.External_Id__c,Owner.External_Id__c,CreatedDate__c,ActivityDate,External_Id__c,TaskSubtype,CallDurationInSeconds,CallDisposition,CallType,Status,Priority,Subject
W_Opportunity.848,W_User.5,2015-12-18 04:08:30,2015-12-27,W_Sales_Task.44,Task,2680,Contacted,Inbound,Not Started,Normal,Left Voicemail
W_Opportunity.979,W_User.17,2017-04-19 10:32:57,2017-04-19,W_Sales_Task.45,Email,3070,Call Successful,Internal,Not Started,Normal,Conversation with Product Management
W_Opportunity.1033,W_User.5,2016-09-28 09:29:42,2016-10-11,W_Sales_Task.46,Task,2470,Call Successful,Outbound,On Hold,Normal,Develop Account Plan
W_Opportunity.1045,W_User.6,2016-10-30 15:56:12,2016-10-31,W_Sales_Task.47,Task,2100,Call Successful,Internal,On Hold,Normal,Cold Call to Director of Operations
W_Opportunity.1045,W_User.6,2016-10-30 06:46:23,2016-10-30,W_Sales_Task.48,Task,2940,Call Successful,Outbound,On Hold,Normal,Deal Discussion with Team
W_Opportunity.1060,W_User.5,2016-06-08 17:24:08,2016-06-08,W_Sales_Task.49,Task,3220,Call Successful,Internal,Completed,Normal,Called Decision Maker - CIO
W_Opportunity.1067,W_User.2,2017-05-14 03:48:14,2017-05-26,W_Sales_Task.50,Task,320,Call Successful,Internal,Completed,Normal,Product Demonstration with Team
W_Opportunity.1067,W_User.2,2017-05-15 03:48:07,2017-05-26,W_Sales_Task.51,Task,1600,Call Successful,Outbound,Completed,High,Update Quote with Revised Pricing
W_Opportunity.1091,W_User.1,2015-10-21 13:30:36,2015-10-29,W_Sales_Task.52,Task,3530,Call Successful,Inbound,Completed,Normal,Negotiate Terms and Conditions
W_Opportunity.1091,W_User.1,2015-10-22 20:18:35,2015-11-04,W_Sales_Task.53,Task,2930,Appointment Set,Outbound,Not Started,Normal,Update Quote with Revised Pricing
W_Opportunity.1101,W_User.14,2017-05-08 20:06:34,2017-05-13,W_Sales_Task.54,Email,2660,Appointment Set,Inbound,In Progress,Normal,Call with Project Team
W_Opportunity.1127,W_User.3,2017-03-17 06:08:22,2017-03-29,W_Sales_Task.55,Task,520,Appointment Set,Inbound,Completed,Normal,Cold Call to Director of Services
W_Opportunity.1127,W_User.3,2017-03-22 23:56:26,2017-04-01,W_Sales_Task.56,Task,400,Appointment Set,Outbound,Completed,Normal,Setup & Run the First Manager Certification Class
W_Opportunity.1170,W_User.3,2017-05-22 00:00:00,2017-06-01,W_Sales_Task.57,Task,2280,Call Successful,Outbound,Completed,Normal,Reply to Customer Questions.
W_Opportunity.1286,W_User.20,2017-01-06 12:57:45,2017-01-15,W_Sales_Task.58,Task,1950,Busy,Inbound,Not Started,Normal,Demonstration to Project Team
W_Opportunity.1298,W_User.5,2016-08-27 02:25:14,2016-09-04,W_Sales_Task.59,Task,2270,Appointment Set,Outbound,Not Started,Normal,Meeting Debrief and Follow-Ups
W_Opportunity.1350,W_User.18,2015-10-10 23:01:29,2015-10-15,W_Sales_Task.60,Task,1870,Left Voicemail,Inbound,Not Started,Normal,Call with Director of Sales
W_Opportunity.1368,W_User.5,2016-02-10 20:31:51,2016-02-11,W_Sales_Task.61,Task,190,Busy,Internal,On Hold,High,Send Updated Pricing
W_Opportunity.1368,W_User.5,2016-02-05 11:49:29,2016-02-14,W_Sales_Task.62,Task,3580,No Answer,Internal,On Hold,Normal,Lead Qualification Call
W_Opportunity.1395,W_User.1,2015-08-15 20:11:10,2015-08-26,W_Sales_Task.63,Task,1530,Appointment Set,Outbound,Not Started,Normal,Send Letter
W_Opportunity.1395,W_User.1,2015-08-17 03:53:04,2015-08-27,W_Sales_Task.64,Task,1560,Call Successful,Internal,On Hold,Normal,Post-Meeting Follow-Up
W_Opportunity.1425,W_User.20,2015-06-26 06:47:49,2015-07-07,W_Sales_Task.65,Task,2720,Call Successful,Outbound,Not Started,Normal,Finalize Board Presentation
W_Opportunity.1480,W_User.6,2016-11-13 04:19:11,2016-11-21,W_Sales_Task.66,Task,2910,Call Successful,Outbound,On Hold,Normal,Cold Call to Director of Operations
W_Opportunity.1480,W_User.6,2016-11-07 12:48:16,2016-11-09,W_Sales_Task.67,Task,1200,Call Successful,Inbound,Not Started,Normal,Qualification Notes from Meeting
W_Opportunity.1524,W_User.14,2016-08-24 19:09:00,2016-09-04,W_Sales_Task.68,Task,2240,Call Successful,Internal,Completed,Normal,Inbound Call
W_Opportunity.1524,W_User.14,2016-08-29 21:10:28,2016-09-02,W_Sales_Task.69,Task,3430,Call Successful,Inbound,Completed,Normal,Call with Decision Maker
W_Opportunity.1538,W_User.15,2016-02-06 02:28:18,2016-02-16,W_Sales_Task.70,Task,2580,Appointment Set,Inbound,Not Started,Normal,Negotiate Terms of Contract
W_Opportunity.1566,W_User.5,2017-01-30 00:00:00,2017-02-04,W_Sales_Task.71,Task,1040,Appointment Set,Internal,Completed,Normal,Qualification Meeting Notes
W_Opportunity.1576,W_User.4,2016-02-22 00:56:23,2016-03-02,W_Sales_Task.72,Task,1640,Call Successful,Outbound,On Hold,Normal,Connect with VP of Operations
W_Opportunity.1612,W_User.1,2016-05-02 07:11:35,2016-05-15,W_Sales_Task.73,Task,660,Appointment Set,Internal,Open,Normal,Sales Presentation Follow-Up
W_Opportunity.1623,W_User.18,2016-08-29 01:50:40,2016-09-08,W_Sales_Task.74,Task,3480,Call Successful,Outbound,Completed,Normal,Deal Discussion
W_Opportunity.1623,W_User.18,2016-09-19 23:56:31,2016-09-22,W_Sales_Task.75,Task,1650,Call Successful,Internal,Open,Normal,Discovery Call with Management Team
W_Opportunity.1625,W_User.18,2016-01-12 22:02:16,2016-01-20,W_Sales_Task.76,Call,2180,Call Successful,Internal,In Progress,Normal,Request Requirements List from Prospect
W_Opportunity.1626,W_User.20,2016-10-31 09:53:22,2016-11-05,W_Sales_Task.77,Task,3150,Appointment Set,Outbound,Completed,High,Discuss Requirements with CIO
W_Opportunity.1634,W_User.19,2016-08-25 16:32:47,2016-08-27,W_Sales_Task.78,Task,2580,Call Successful,Inbound,Completed,Normal,Follow Up and Qualification
W_Opportunity.1709,W_User.6,2017-01-30 02:08:09,2017-02-07,W_Sales_Task.79,Task,980,Appointment Set,Internal,Not Started,Normal,Send Needs Questionnaire
W_Opportunity.1809,W_User.17,2016-04-28 23:34:16,2016-05-11,W_Sales_Task.80,Task,3550,Busy,Internal,On Hold,Normal,Update Account Plan for Strategy Review
W_Opportunity.1839,W_User.19,2016-11-06 07:35:55,2016-11-17,W_Sales_Task.81,Task,2800,Contacted,Outbound,Not Started,Normal,Sales Presentation to Executive Team
W_Opportunity.1853,W_User.6,2016-07-09 23:04:44,2016-07-10,W_Sales_Task.82,Task,3500,Appointment Set,Inbound,Completed,Normal,Lead Source Details
W_Opportunity.1921,W_User.19,2017-05-18 01:32:30,2017-05-23,W_Sales_Task.83,Task,2300,Call Successful,Internal,On Hold,Normal,Closing Call
W_Opportunity.1933,W_User.18,2016-08-18 16:09:16,2016-08-24,W_Sales_Task.84,Task,2780,Call Unsuccessful,Inbound,In Progress,Normal,Qualification Meeting Notes
W_Opportunity.1933,W_User.18,2016-08-14 14:54:54,2016-08-17,W_Sales_Task.85,Task,1390,Contacted,Inbound,Completed,Normal,Cleanup Current Pipeline by End of Month
W_Opportunity.1972,W_User.4,2015-09-13 09:48:38,2015-09-25,W_Sales_Task.86,Task,2140,Appointment Set,Inbound,In Progress,Normal,Call Connect with VP of Service
W_Opportunity.1972,W_User.4,2015-09-11 15:26:29,2015-09-20,W_Sales_Task.87,Task,1320,Call Successful,Outbound,On Hold,Normal,Demonstration for Key Stakeholders
W_Opportunity.1987,W_User.19,2016-06-22 03:40:40,2016-07-05,W_Sales_Task.88,Task,1750,Call Successful,Inbound,On Hold,Normal,Discovery Session Notes
W_Opportunity.1987,W_User.19,2016-07-03 10:32:43,2016-07-13,W_Sales_Task.89,Task,40,Appointment Set,Outbound,Not Started,Normal,Send Thank You Message
W_Opportunity.2007,W_User.5,2016-08-15 16:06:08,2016-08-24,W_Sales_Task.90,Task,1800,Call Successful,Inbound,Not Started,Normal,Review referrals
W_Opportunity.2021,W_User.2,2015-06-22 03:10:00,2015-07-03,W_Sales_Task.91,Task,2700,Contacted,Outbound,Completed,High,Call with VP of Marketing
W_Opportunity.2021,W_User.2,2015-06-28 12:09:34,2015-07-03,W_Sales_Task.92,Task,620,Left Voicemail,Outbound,Completed,High,Notes From Discussion
W_Opportunity.2024,W_User.19,2015-12-04 16:33:00,2015-12-13,W_Sales_Task.93,Task,620,No Answer,Internal,Not Started,Normal,Send Thank You Message
W_Opportunity.2024,W_User.19,2015-12-06 02:14:24,2015-12-14,W_Sales_Task.94,Task,2450,Call Successful,Outbound,In Progress,Normal,Call Connect with VP of Service
W_Opportunity.2067,W_User.4,2017-05-15 07:28:46,2017-05-22,W_Sales_Task.95,Task,560,Appointment Set,Internal,In Progress,Normal,Complete My 2nd Team Presentation
W_Opportunity.2141,W_User.2,2016-11-14 06:47:50,2016-11-22,W_Sales_Task.96,Call,3290,Busy,Outbound,Not Started,Normal,Follow Up and Qualification
W_Opportunity.2141,W_User.2,2016-11-21 21:59:32,2016-12-04,W_Sales_Task.97,Task,1490,Appointment Set,Outbound,Open,Normal,Quick Call to Update Customer
W_Opportunity.2185,W_User.17,2015-12-29 00:27:44,2016-01-07,W_Sales_Task.98,Task,2760,Call Successful,Outbound,On Hold,Normal,Send Letter
W_Opportunity.2185,W_User.17,2015-12-05 19:36:33,2015-12-13,W_Sales_Task.99,Task,2670,Call Successful,Inbound,Completed,Normal,Qualification Call with Stakeholders
W_Opportunity.2203,W_User.5,2016-07-01 10:32:26,2016-07-11,W_Sales_Task.100,Task,260,Left Message,Internal,Not Started,Normal,2nd Mock Presentation
W_Opportunity.2217,W_User.5,2017-04-15 17:35:32,2017-04-23,W_Sales_Task.101,Email,1250,Call Unsuccessful,Outbound,Not Started,Normal,Call Connect with CEO
W_Opportunity.2232,W_User.1,2015-12-13 12:25:35,2015-12-20,W_Sales_Task.102,Email,3310,Appointment Set,Internal,Not Started,Normal,Request Requirements List from Prospect
W_Opportunity.2233,W_User.4,2016-09-23 07:18:05,2016-09-23,W_Sales_Task.103,Task,2110,Call Unsuccessful,Outbound,Completed,Normal,Prepare for Qualification Call
W_Opportunity.2233,W_User.4,2016-11-06 11:28:18,2016-11-13,W_Sales_Task.104,Task,3500,Left Voicemail,Inbound,In Progress,Normal,Engage Featured Speaker for Webinar
W_Opportunity.2236,W_User.20,2015-06-27 17:50:49,2015-07-07,W_Sales_Task.105,Task,1230,Call Successful,Outbound,Not Started,Normal,Send Revised Pricing
W_Opportunity.2236,W_User.20,2015-06-16 20:24:11,2015-06-24,W_Sales_Task.106,Task,3390,Call Successful,Internal,Completed,Normal,Send Questionnaire to Customer
W_Opportunity.2248,W_User.15,2016-06-09 12:13:50,2016-06-20,W_Sales_Task.107,Task,2050,Left Voicemail,Internal,In Progress,Normal,Cold Call to Director of Services
W_Opportunity.2248,W_User.15,2016-06-03 17:34:40,2016-06-11,W_Sales_Task.108,Task,3310,Call Successful,Internal,Not Started,Normal,Run Facebook Promotion to Boost Engagement
W_Opportunity.2295,W_User.14,2016-12-15 20:59:52,2016-12-21,W_Sales_Task.109,Task,90,Call Successful,Inbound,In Progress,Normal,Run Facebook Promotion to Boost Engagement
W_Opportunity.2297,W_User.3,2016-03-19 16:05:19,2016-04-01,W_Sales_Task.110,Task,3270,Left Voicemail,Inbound,Completed,Normal,Call Customer for Update
W_Opportunity.2297,W_User.3,2016-03-26 20:36:38,2016-03-27,W_Sales_Task.111,Task,3480,Appointment Set,Inbound,Not Started,Normal,Send Updated Pricing
W_Opportunity.2315,W_User.16,2016-06-30 17:38:48,2016-07-13,W_Sales_Task.112,Email,1370,Appointment Set,Outbound,On Hold,Normal,Follow-up
W_Opportunity.2315,W_User.16,2016-07-06 01:02:38,2016-07-19,W_Sales_Task.113,Task,1240,Appointment Set,Internal,Completed,Normal,Meeting Debrief and Follow-Ups
W_Opportunity.2316,W_User.3,2016-04-09 11:29:55,2016-04-20,W_Sales_Task.114,Task,1250,Call Successful,Outbound,In Progress,Normal,Qualification Notes from Meeting
W_Opportunity.2316,W_User.3,2016-03-07 01:55:07,2016-03-12,W_Sales_Task.115,Task,200,Call Successful,Outbound,On Hold,Normal,Request Needs Document
W_Opportunity.2317,W_User.1,2016-10-26 05:57:46,2016-11-01,W_Sales_Task.116,Email,500,Call Successful,Internal,On Hold,Normal,Conference Call with VP of Operations
W_Opportunity.2324,W_User.2,2015-05-27 21:20:58,2015-06-09,W_Sales_Task.117,Task,480,Call Successful,Internal,Not Started,Normal,Discovery Call
W_Opportunity.2377,W_User.20,2016-06-30 21:00:01,2016-07-04,W_Sales_Task.118,Task,2060,Appointment Set,Outbound,In Progress,Normal,Customer Service Follow-Up Call
W_Opportunity.2377,W_User.20,2016-05-25 21:59:32,2016-05-31,W_Sales_Task.119,Task,2320,No Answer,Inbound,Completed,Normal,Call to Schedule Sales Presentation
W_Opportunity.2393,W_User.19,2016-04-06 15:12:22,2016-04-08,W_Sales_Task.120,Call,2730,Call Successful,Inbound,On Hold,Normal,Run Facebook Promotion to Boost Engagement
W_Opportunity.2397,W_User.6,2016-11-17 12:35:28,2016-11-29,W_Sales_Task.121,Task,1850,Call Successful,Inbound,On Hold,Normal,Sales Presentation to Project Team
W_Opportunity.2397,W_User.6,2016-11-18 19:31:52,2016-11-21,W_Sales_Task.122,Task,1300,Call Unsuccessful,Internal,Open,Normal,Follow-up Call
W_Opportunity.2405,W_User.16,2015-08-02 00:00:00,2015-08-06,W_Sales_Task.123,Task,2590,Call Successful,Outbound,Completed,Normal,Review Proposal and Update Pricing
W_Opportunity.2405,W_User.16,2015-08-02 00:00:00,2015-08-02,W_Sales_Task.124,Task,2190,Call Successful,Outbound,In Progress,Normal,Onsite Meeting with Executive Team
W_Opportunity.2422,W_User.3,2015-08-14 04:26:45,2015-08-25,W_Sales_Task.125,Task,1870,Busy,Inbound,Completed,Normal,Review Needs List
W_Opportunity.2422,W_User.3,2015-08-26 19:43:57,2015-08-27,W_Sales_Task.126,Call,2140,Call Successful,Internal,Not Started,Normal,Review Job Requisition
W_Opportunity.2472,W_User.14,2017-04-07 00:50:50,2017-04-17,W_Sales_Task.127,Task,2240,Appointment Set,Outbound,Not Started,Normal,Notes from Discovery Meeting
W_Opportunity.2472,W_User.14,2017-04-05 09:56:02,2017-04-13,W_Sales_Task.128,Task,660,Appointment Set,Internal,On Hold,Normal,Negotiate Terms and Conditions
W_Opportunity.2482,W_User.19,2016-07-11 07:41:08,2016-07-11,W_Sales_Task.129,Task,3270,Appointment Set,Internal,Not Started,Normal,Qualification Call with Stakeholders
W_Opportunity.2520,W_User.4,2017-04-29 01:45:26,2017-05-11,W_Sales_Task.130,Task,2790,Call Successful,Outbound,Completed,Normal,Certification Training Review
W_Opportunity.2520,W_User.4,2017-04-27 17:09:33,2017-05-07,W_Sales_Task.131,Task,1890,Call Successful,Inbound,On Hold,Normal,Discovery Session Notes
W_Opportunity.2527,W_User.1,2016-03-20 06:40:34,2016-03-24,W_Sales_Task.132,Task,750,Appointment Set,Inbound,Not Started,Normal,Prep for Sales Discussion
W_Opportunity.2527,W_User.1,2016-02-24 06:42:52,2016-02-27,W_Sales_Task.133,Task,2800,Left Message,Inbound,Not Started,Normal,Review Ad Text Options for A/B Testing
W_Opportunity.2596,W_User.17,2015-10-22 09:36:59,2015-11-04,W_Sales_Task.134,Task,920,Appointment Set,Inbound,Not Started,High,Notes from Discussion
W_Opportunity.2596,W_User.17,2015-10-23 07:48:38,2015-11-04,W_Sales_Task.135,Task,1920,Busy,Internal,Completed,Normal,Connect with VP of Sales
W_Opportunity.2693,W_User.17,2017-02-23 10:45:46,2017-03-02,W_Sales_Task.136,Task,3090,Call Successful,Internal,In Progress,High,Update Account Plan for Strategy Review
W_Opportunity.2693,W_User.17,2017-02-12 14:54:47,2017-02-21,W_Sales_Task.137,Task,3510,Call Unsuccessful,Inbound,In Progress,Normal,Price Discussion
W_Opportunity.2707,W_User.14,2015-10-26 09:30:11,2015-11-05,W_Sales_Task.138,Email,1150,Left Voicemail,Outbound,Completed,Normal,Cold Call to Director of Operations
W_Opportunity.2724,W_User.18,2015-12-13 23:44:37,2015-12-14,W_Sales_Task.139,Email,3390,Appointment Set,Internal,In Progress,Normal,Develop Outbound Call Script and Offers
W_Opportunity.2724,W_User.18,2015-12-05 12:08:09,2015-12-14,W_Sales_Task.140,Task,2880,Call Successful,Outbound,Completed,Normal,Update Quote with Revised Pricing
W_Opportunity.2758,W_User.2,2016-04-19 16:47:37,2016-05-01,W_Sales_Task.141,Task,730,Appointment Set,Internal,Completed,Normal,Review Case with Customer
W_Opportunity.2758,W_User.2,2016-04-18 02:56:00,2016-04-20,W_Sales_Task.142,Task,910,Contacted,Outbound,In Progress,Normal,Call Connect with VP of Sales
W_Opportunity.2802,W_User.2,2017-05-14 06:48:26,2017-05-21,W_Sales_Task.143,Task,3470,Call Successful,Internal,Completed,Normal,Update with Customer
W_Opportunity.2806,W_User.19,2015-12-17 01:21:25,2015-12-23,W_Sales_Task.144,Task,690,Call Successful,Inbound,Not Started,Normal,Call to Schedule Sales Presentation
W_Opportunity.2811,W_User.18,2017-02-15 20:26:34,2017-02-18,W_Sales_Task.145,Task,3000,Left Message,Inbound,Completed,Normal,Send Thank You Email
W_Opportunity.2811,W_User.18,2017-02-15 07:41:47,2017-02-16,W_Sales_Task.146,Task,1260,Appointment Set,Outbound,Completed,Normal,Notes from Discussion
W_Opportunity.2819,W_User.17,2015-11-11 23:55:15,2015-11-14,W_Sales_Task.147,Task,3000,Call Successful,Internal,On Hold,Normal,Customer Service Follow-Up Call
W_Opportunity.2819,W_User.17,2015-11-10 19:20:29,2015-11-20,W_Sales_Task.148,Task,2040,Left Voicemail,Inbound,Open,Normal,Review Meeting Notes
W_Opportunity.2838,W_User.16,2015-12-15 08:54:42,2015-12-23,W_Sales_Task.149,Task,460,Appointment Set,Inbound,On Hold,High,Deal Discussion with Team
W_Opportunity.2838,W_User.16,2015-12-16 02:18:25,2015-12-21,W_Sales_Task.150,Task,3290,Call Successful,Internal,Not Started,Normal,Sign Up for KB Training
W_Opportunity.2850,W_User.16,2016-12-09 19:21:41,2016-12-14,W_Sales_Task.151,Call,1100,Call Successful,Internal,Completed,Normal,Your Customer Has a Question About Their Bill
W_Opportunity.2850,W_User.16,2017-01-26 15:02:27,2017-02-06,W_Sales_Task.152,Task,1450,Call Successful,Inbound,Open,Normal,Tradeshow Preparation
W_Opportunity.2882,W_User.15,2017-01-16 17:34:37,2017-01-18,W_Sales_Task.153,Task,720,Call Successful,Outbound,Completed,Normal,Cold Call
W_Opportunity.2903,W_User.19,2016-09-05 08:54:18,2016-09-11,W_Sales_Task.154,Task,1550,Call Successful,Inbound,Not Started,Normal,Call with VP of Customer Service
W_Opportunity.2903,W_User.19,2016-09-20 04:09:28,2016-10-03,W_Sales_Task.155,Task,2240,Call Successful,Internal,In Progress,Normal,Product Demo for Executive Team
W_Opportunity.2910,W_User.1,2016-06-02 11:17:00,2016-06-02,W_Sales_Task.156,Task,140,Left Voicemail,Outbound,On Hold,Normal,Discovery Session Notes
W_Opportunity.2916,W_User.2,2015-06-23 10:02:16,2015-06-30,W_Sales_Task.157,Task,3560,No Answer,Inbound,Not Started,Normal,Left Voicemail
W_Opportunity.2929,W_User.17,2015-11-30 09:18:29,2015-12-01,W_Sales_Task.158,Task,3560,Contacted,Outbound,Not Started,Normal,Touch Base with Director of Sales
W_Opportunity.2936,W_User.1,2017-02-13 21:46:55,2017-02-19,W_Sales_Task.159,Task,2120,Call Successful,Internal,Completed,Normal,Follow up with Customer
W_Opportunity.2936,W_User.1,2017-02-08 12:56:24,2017-02-11,W_Sales_Task.160,Task,550,Call Successful,Outbound,Completed,Normal,Discuss Revised Quote
W_Opportunity.2938,W_User.18,2016-05-01 20:44:53,2016-05-12,W_Sales_Task.161,Task,2950,Appointment Set,Internal,On Hold,Normal,Introductory Call with Director of Finance
W_Opportunity.2945,W_User.20,2016-09-12 21:47:48,2016-09-18,W_Sales_Task.162,Task,1150,Left Message,Internal,In Progress,Normal,Demonstration to Project Team
W_Opportunity.2945,W_User.20,2016-09-12 16:43:29,2016-09-19,W_Sales_Task.163,Task,3190,Busy,Internal,In Progress,Normal,Cleanup Current Pipeline by End of Month
