What.External_Id__c,Owner.External_Id__c,CreatedDate__c,ActivityDate,External_Id__c,Subject,EventSubtype,DurationInMinutes,ActivityDateTime
W_Opportunity.769,W_Sales_User.7,2016-08-19 13:46:45,2016-08-24,W_Sales_Event.15,Develop Mutual Plan Document,Event,0,2016-08-24 00:00:00
W_Opportunity.793,W_Sales_User.5,2017-01-06 20:26:12,2017-01-11,W_Sales_Event.16,Follow up Meeting,Event,53,2017-01-11 00:00:00
W_Opportunity.868,W_Sales_User.2,2017-01-08 23:55:35,2017-01-11,W_Sales_Event.17,Discovery Meeting,Event,0,2017-01-11 00:00:00
W_Opportunity.868,W_Sales_User.2,2016-12-25 10:14:18,2016-12-29,W_Sales_Event.18,Forecast Meeting,Event,0,2016-12-29 00:00:00
W_Opportunity.907,W_Sales_User.10,2016-11-15 02:07:04,2016-11-25,W_Sales_Event.19,Develop Mutual Plan Document,Event,0,2016-11-25 00:00:00
W_Opportunity.907,W_Sales_User.10,2016-11-11 16:30:15,2016-11-18,W_Sales_Event.20,Breakfast with CFO,Event,8,2016-11-18 00:00:00
W_Opportunity.956,W_Sales_User.2,2017-04-05 07:35:04,2017-04-12,W_Sales_Event.21,Demonstration to Board of Directors,Event,0,2017-04-12 00:00:00
W_Opportunity.1012,W_Sales_User.7,2016-10-21 06:28:28,2016-10-31,W_Sales_Event.22,Internal team strategy meeting,Event,44,2016-10-31 00:00:00
W_Opportunity.1037,W_Sales_User.1,2015-08-02 08:28:08,2015-08-08,W_Sales_Event.23,Follow up Meeting,Event,0,2015-08-08 00:00:00
W_Opportunity.1047,W_Sales_User.8,2016-01-16 13:56:49,2016-01-25,W_Sales_Event.24,Territory Plan Review,Event,0,2016-01-25 00:00:00
W_Opportunity.1051,W_Sales_User.11,2016-12-20 10:18:49,2016-12-31,W_Sales_Event.25,Manager Off-Site,Event,0,2016-12-31 00:00:00
W_Opportunity.1051,W_Sales_User.11,2016-12-20 21:03:00,2016-12-31,W_Sales_Event.26,Discovery Meeting,Event,27,2016-12-31 00:00:00
W_Opportunity.1056,W_Sales_User.7,2016-04-05 00:36:15,2016-04-07,W_Sales_Event.27,Manager Off-Site,Event,59,2016-04-07 00:00:00
W_Opportunity.1057,W_Sales_User.3,2017-05-28 22:39:12,2017-06-05,W_Sales_Event.28,Discovery Meeting with CIO,Event,0,2017-06-05 00:00:00
W_Opportunity.1184,W_Sales_User.3,2015-08-12 07:06:53,2015-08-23,W_Sales_Event.29,Discuss ideal candidate characteristics,Event,15,2015-08-23 00:00:00
W_Opportunity.1395,W_Sales_User.10,2016-04-18 06:31:44,2016-04-19,W_Sales_Event.30,Internal team strategy meeting,Event,46,2016-04-19 00:00:00
W_Opportunity.1597,W_Sales_User.9,2015-09-20 07:12:41,2015-09-27,W_Sales_Event.31,Investigate Open Case,Event,1,2015-09-27 00:00:00
W_Opportunity.1597,W_Sales_User.9,2015-09-17 21:04:52,2015-09-29,W_Sales_Event.32,Quarterly Review,Event,0,2015-09-29 00:00:00
W_Opportunity.1599,W_Sales_User.3,2017-05-12 00:00:00,2017-05-15,W_Sales_Event.33,Send Quote,Event,0,2017-05-15 00:00:00
W_Opportunity.1640,W_Sales_User.4,2016-04-02 15:34:13,2016-04-07,W_Sales_Event.34,Team Meeting,Event,0,2016-04-07 00:00:00
W_Opportunity.1640,W_Sales_User.4,2016-03-29 08:42:35,2016-03-31,W_Sales_Event.35,Executive Lunch Meeting,Event,0,2016-03-31 00:00:00
W_Opportunity.1684,W_Sales_User.8,2017-03-24 19:29:52,2017-03-24,W_Sales_Event.36,Executive Lunch Meeting,Event,0,2017-03-24 00:00:00
W_Opportunity.1684,W_Sales_User.8,2017-03-13 22:25:15,2017-03-24,W_Sales_Event.37,Discovery and Qualification call,Event,13,2017-03-24 00:00:00
W_Opportunity.1723,W_Sales_User.8,2017-05-18 19:22:00,2017-05-24,W_Sales_Event.38,Demonstration to Board of Directors,Event,0,2017-05-24 00:00:00
W_Opportunity.1723,W_Sales_User.8,2017-05-18 05:14:45,2017-05-19,W_Sales_Event.39,Discovery call,Event,0,2017-05-19 00:00:00
W_Opportunity.1760,W_Sales_User.2,2016-08-07 02:56:24,2016-08-18,W_Sales_Event.40,Territory Plan Review,Event,40,2016-08-18 00:00:00
W_Opportunity.1772,W_Sales_User.9,2015-12-09 20:21:21,2015-12-19,W_Sales_Event.41,Coaching 1:1,Event,0,2015-12-19 00:00:00
W_Opportunity.1844,W_Sales_User.8,2015-10-12 12:04:24,2015-10-23,W_Sales_Event.42,Discovery call,Event,0,2015-10-23 00:00:00
W_Opportunity.1853,W_Sales_User.10,2015-06-23 21:30:08,2015-06-27,W_Sales_Event.43,Closing Meeting,Event,29,2015-06-27 00:00:00
W_Opportunity.1853,W_Sales_User.10,2015-09-05 21:46:43,2015-09-13,W_Sales_Event.44,Follow up Meeting,Event,42,2015-09-13 00:00:00
W_Opportunity.1917,W_Sales_User.6,2016-06-13 12:42:00,2016-06-16,W_Sales_Event.45,Follow up Meeting,Event,55,2016-06-16 00:00:00
W_Opportunity.1917,W_Sales_User.6,2016-07-30 10:03:17,2016-07-31,W_Sales_Event.46,Demonstration to Board of Directors,Event,39,2016-07-31 00:00:00
W_Opportunity.1948,W_Sales_User.10,2016-09-04 23:59:13,2016-09-16,W_Sales_Event.47,Send Letter,Event,59,2016-09-16 00:00:00
W_Opportunity.1948,W_Sales_User.10,2016-09-08 14:39:53,2016-09-14,W_Sales_Event.48,Discuss ideal candidate characteristics,Event,14,2016-09-14 00:00:00
W_Opportunity.2012,W_Sales_User.9,2016-08-05 20:00:46,2016-08-08,W_Sales_Event.49,Manager Off-Site,Event,0,2016-08-08 00:00:00
W_Opportunity.2027,W_Sales_User.9,2015-11-03 11:18:18,2015-11-13,W_Sales_Event.50,Executive Lunch Meeting,Event,0,2015-11-13 00:00:00
W_Opportunity.2044,W_Sales_User.7,2016-09-03 19:55:06,2016-09-10,W_Sales_Event.51,Call with Director of Marketing,Event,0,2016-09-10 00:00:00
W_Opportunity.2054,W_Sales_User.2,2016-06-22 03:41:36,2016-06-29,W_Sales_Event.52,Discovery and Qualification call,Event,0,2016-06-29 00:00:00
W_Opportunity.2054,W_Sales_User.2,2016-06-21 00:01:14,2016-06-28,W_Sales_Event.53,Executive Lunch Meeting,Event,11,2016-06-28 00:00:00
W_Opportunity.2218,W_Sales_User.5,2016-11-18 01:22:48,2016-11-25,W_Sales_Event.54,Demonstration to Board of Directors,Event,19,2016-11-25 00:00:00
W_Opportunity.2218,W_Sales_User.5,2016-12-10 18:56:54,2016-12-16,W_Sales_Event.55,Follow up Meeting,Event,0,2016-12-16 00:00:00
W_Opportunity.2234,W_Sales_User.8,2017-01-18 19:40:35,2017-01-22,W_Sales_Event.56,Team Meeting,Event,0,2017-01-22 00:00:00
W_Opportunity.2234,W_Sales_User.8,2017-01-24 07:18:29,2017-02-03,W_Sales_Event.57,Discovery Call with Customer,Event,0,2017-02-03 00:00:00
W_Opportunity.2351,W_Sales_User.3,2016-02-19 06:30:45,2016-03-03,W_Sales_Event.58,Account Planning,Event,0,2016-03-03 00:00:00
W_Opportunity.2366,W_Sales_User.2,2017-02-14 19:26:59,2017-02-26,W_Sales_Event.59,Discovery and Qualification call,Event,41,2017-02-26 00:00:00
W_Opportunity.2495,W_Sales_User.10,2015-07-25 20:31:51,2015-08-06,W_Sales_Event.60,Closing Meeting,Event,0,2015-08-06 00:00:00
W_Opportunity.2498,W_Sales_User.9,2017-01-29 13:33:47,2017-01-30,W_Sales_Event.61,Conference Call,Event,0,2017-01-30 00:00:00
W_Opportunity.2499,W_Sales_User.1,2016-09-22 22:59:07,2016-09-24,W_Sales_Event.62,Team Meeting,Event,0,2016-09-24 00:00:00
W_Opportunity.2499,W_Sales_User.1,2016-09-21 09:50:58,2016-09-22,W_Sales_Event.63,Breakfast with CFO,Event,0,2016-09-22 00:00:00
W_Opportunity.2520,W_Sales_User.9,2017-05-23 09:05:44,2017-06-03,W_Sales_Event.64,Executive Lunch Meeting,Event,0,2017-06-03 00:00:00
W_Opportunity.2540,W_Sales_User.4,2015-10-02 13:31:08,2015-10-14,W_Sales_Event.65,Pipeline 1:1,Event,0,2015-10-14 00:00:00
W_Opportunity.2707,W_Sales_User.5,2015-11-03 00:00:00,2015-11-08,W_Sales_Event.66,Investigate Open Case,Event,22,2015-11-08 00:00:00
W_Opportunity.2775,W_Sales_User.10,2017-04-12 12:03:04,2017-04-24,W_Sales_Event.67,Other,Event,0,2017-04-24 00:00:00
W_Opportunity.2819,W_Sales_User.6,2016-04-10 05:07:49,2016-04-11,W_Sales_Event.68,Breakfast with CFO,Event,0,2016-04-11 00:00:00
W_Opportunity.2879,W_Sales_User.5,2016-07-26 22:02:06,2016-07-31,W_Sales_Event.69,Customer Briefing,Event,48,2016-07-31 00:00:00
W_Opportunity.2903,W_Sales_User.3,2015-09-06 20:38:16,2015-09-13,W_Sales_Event.70,Review Final Presentation,Event,36,2015-09-13 00:00:00
W_Opportunity.2971,W_Sales_User.6,2016-01-14 00:00:00,2016-01-18,W_Sales_Event.71,Customer Progress Check-In,Event,0,2016-01-18 00:00:00
W_Opportunity.2973,W_Sales_User.1,2017-02-03 23:58:47,2017-02-16,W_Sales_Event.72,Send Letter,Event,15,2017-02-16 00:00:00
W_Opportunity.2973,W_Sales_User.1,2017-01-29 04:17:25,2017-02-01,W_Sales_Event.73,Executive Discovery Meeting,Event,7,2017-02-01 00:00:00
W_Opportunity.2999,W_Sales_User.6,2016-02-03 12:54:38,2016-02-15,W_Sales_Event.74,Customer Progress Check-In,Event,0,2016-02-15 00:00:00
W_Opportunity.3214,W_Sales_User.9,2016-01-09 08:32:36,2016-01-10,W_Sales_Event.75,Discuss ideal candidate characteristics,Event,20,2016-01-10 00:00:00
W_Opportunity.3223,W_Sales_User.9,2016-07-05 18:03:40,2016-07-07,W_Sales_Event.76,Onsite customer workshop,Event,0,2016-07-07 00:00:00
W_Opportunity.3223,W_Sales_User.9,2016-06-01 20:27:37,2016-06-04,W_Sales_Event.77,Send Letter,Event,0,2016-06-04 00:00:00
W_Opportunity.3277,W_Sales_User.9,2015-12-13 20:20:06,2015-12-16,W_Sales_Event.78,Confirming Final Contract Details,Event,0,2015-12-16 00:00:00
W_Opportunity.3407,W_Sales_User.4,2016-05-02 22:27:42,2016-05-04,W_Sales_Event.79,Week Wrap Up,Event,0,2016-05-04 00:00:00
W_Opportunity.3473,W_Sales_User.10,2017-05-12 21:11:27,2017-05-14,W_Sales_Event.80,Coaching 1:1,Event,0,2017-05-14 00:00:00
W_Opportunity.3490,W_Sales_User.6,2017-01-18 03:16:00,2017-01-18,W_Sales_Event.81,Account Strategy Meeting,Event,16,2017-01-18 00:00:00
W_Opportunity.3549,W_Sales_User.2,2017-04-25 08:23:42,2017-05-05,W_Sales_Event.82,Onsite customer workshop,Event,47,2017-05-05 00:00:00
W_Opportunity.3616,W_Sales_User.2,2015-11-23 00:21:15,2015-11-30,W_Sales_Event.83,Send Quote,Event,44,2015-11-30 00:00:00
W_Opportunity.3629,W_Sales_User.2,2015-12-08 00:24:41,2015-12-12,W_Sales_Event.84,Post-meeting follow-up,Event,58,2015-12-12 00:00:00
W_Opportunity.3662,W_Sales_User.9,2016-02-02 07:49:59,2016-02-04,W_Sales_Event.85,Meeting with VP Sales,Event,54,2016-02-04 00:00:00
W_Opportunity.3680,W_Sales_User.6,2016-11-13 09:04:07,2016-11-19,W_Sales_Event.86,Discuss ideal candidate characteristics,Event,0,2016-11-19 00:00:00
W_Opportunity.3682,W_Sales_User.3,2017-01-03 22:14:40,2017-01-04,W_Sales_Event.87,Next 1:1,Event,36,2017-01-04 00:00:00
W_Opportunity.3685,W_Sales_User.1,2016-11-22 23:49:33,2016-11-22,W_Sales_Event.88,Executive Discovery Meeting,Event,40,2016-11-22 00:00:00
W_Opportunity.3685,W_Sales_User.1,2016-11-17 23:11:14,2016-11-24,W_Sales_Event.89,Week Wrap Up,Event,23,2016-11-24 00:00:00
W_Opportunity.3722,W_Sales_User.1,2015-08-21 20:37:01,2015-08-23,W_Sales_Event.90,Mobile Best Practices Session,Event,0,2015-08-23 00:00:00
W_Opportunity.3722,W_Sales_User.1,2015-08-20 17:54:29,2015-08-30,W_Sales_Event.91,Training,Event,18,2015-08-30 00:00:00
W_Opportunity.3772,W_Sales_User.10,2016-08-24 00:42:15,2016-08-24,W_Sales_Event.92,Discovery call,Event,0,2016-08-24 00:00:00
W_Opportunity.3772,W_Sales_User.10,2016-08-22 10:11:08,2016-08-30,W_Sales_Event.93,Call with Director of Marketing,Event,47,2016-08-30 00:00:00
W_Opportunity.3835,W_Sales_User.10,2016-08-12 19:06:08,2016-08-18,W_Sales_Event.94,Discovery Meeting with CIO,Event,0,2016-08-18 00:00:00
W_Opportunity.3835,W_Sales_User.10,2016-08-13 11:01:25,2016-08-24,W_Sales_Event.95,Executive Offsite,Event,0,2016-08-24 00:00:00
W_Opportunity.3961,W_Sales_User.9,2015-11-07 18:25:34,2015-11-11,W_Sales_Event.96,Discovery and Qualification call,Event,0,2015-11-11 00:00:00
W_Opportunity.3961,W_Sales_User.9,2015-11-15 13:45:14,2015-11-24,W_Sales_Event.97,All Hands Meeting,Event,46,2015-11-24 00:00:00
W_Opportunity.4050,W_Sales_User.1,2016-09-09 08:50:41,2016-09-11,W_Sales_Event.98,Post-meeting follow-up,Event,28,2016-09-11 00:00:00
W_Opportunity.4103,W_Sales_User.10,2017-05-29 11:11:17,2017-06-02,W_Sales_Event.99,Manager Off-Site,Event,55,2017-06-02 00:00:00
W_Opportunity.4103,W_Sales_User.10,2017-05-30 05:12:13,2017-06-09,W_Sales_Event.100,Pipeline 1:1,Event,5,2017-06-09 00:00:00
W_Opportunity.4126,W_Sales_User.5,2016-08-04 17:59:25,2016-08-15,W_Sales_Event.101,Breakfast with CFO,Event,0,2016-08-15 00:00:00
W_Opportunity.4129,W_Sales_User.3,2017-02-15 17:08:58,2017-02-23,W_Sales_Event.102,Weekly Team Meeting,Event,0,2017-02-23 00:00:00
W_Opportunity.4129,W_Sales_User.3,2017-02-05 22:21:34,2017-02-11,W_Sales_Event.103,Call with Director of Marketing,Event,0,2017-02-11 00:00:00
W_Opportunity.4156,W_Sales_User.3,2015-12-25 17:35:46,2016-01-06,W_Sales_Event.104,Review Final Presentation,Event,0,2016-01-06 00:00:00
W_Opportunity.4173,W_Sales_User.3,2016-10-10 19:11:12,2016-10-13,W_Sales_Event.105,Account Review,Event,0,2016-10-13 00:00:00
W_Opportunity.4353,W_Sales_User.4,2016-05-27 00:08:25,2016-06-07,W_Sales_Event.106,Close plan review with customer,Event,0,2016-06-07 00:00:00
W_Opportunity.4353,W_Sales_User.4,2016-05-16 01:51:46,2016-05-16,W_Sales_Event.107,Discuss ideal candidate characteristics,Event,0,2016-05-16 00:00:00
W_Opportunity.4577,W_Sales_User.1,2016-12-10 15:27:27,2016-12-14,W_Sales_Event.108,Team Meeting,Event,13,2016-12-14 00:00:00
W_Opportunity.4577,W_Sales_User.1,2016-12-08 04:41:03,2016-12-18,W_Sales_Event.109,Week Wrap Up,Event,33,2016-12-18 00:00:00
W_Opportunity.4590,W_Sales_User.4,2016-02-14 23:40:30,2016-02-17,W_Sales_Event.110,Pipeline 1:1,Event,0,2016-02-17 00:00:00
W_Opportunity.4590,W_Sales_User.4,2016-02-15 17:17:06,2016-02-16,W_Sales_Event.111,Post-meeting follow-up,Event,35,2016-02-16 00:00:00
W_Opportunity.4596,W_Sales_User.7,2017-05-13 03:17:01,2017-05-13,W_Sales_Event.112,Team Best Practices Sharing,Event,0,2017-05-13 00:00:00
W_Opportunity.4596,W_Sales_User.7,2017-05-22 14:11:23,2017-05-23,W_Sales_Event.113,Phone Interview,Event,19,2017-05-23 00:00:00
W_Opportunity.4731,W_Sales_User.2,2015-08-08 07:07:39,2015-08-09,W_Sales_Event.114,Territory Plan Review,Event,0,2015-08-09 00:00:00
W_Opportunity.4767,W_Sales_User.5,2015-07-10 13:26:55,2015-07-15,W_Sales_Event.115,Mobile Best Practices Session,Event,0,2015-07-15 00:00:00
W_Opportunity.4863,W_Sales_User.4,2017-03-07 11:47:36,2017-03-07,W_Sales_Event.116,Meeting with VP Sales,Event,47,2017-03-07 00:00:00
W_Opportunity.4875,W_Sales_User.4,2016-05-07 03:22:54,2016-05-14,W_Sales_Event.117,Post-meeting follow-up,Event,40,2016-05-14 00:00:00
W_Opportunity.4926,W_Sales_User.7,2017-03-25 13:56:18,2017-04-05,W_Sales_Event.118,Executive Lunch Meeting,Event,32,2017-04-05 00:00:00
W_Opportunity.4929,W_Sales_User.6,2015-10-24 14:12:51,2015-10-28,W_Sales_Event.119,Call,Event,0,2015-10-28 00:00:00
W_Opportunity.4970,W_Sales_User.3,2017-03-29 10:40:10,2017-03-29,W_Sales_Event.120,Board presentation run-through,Event,0,2017-03-29 00:00:00
W_Opportunity.4970,W_Sales_User.3,2017-03-29 20:09:05,2017-04-11,W_Sales_Event.121,Meeting with VP Sales,Event,34,2017-04-11 00:00:00
W_Opportunity.4976,W_Sales_User.7,2017-04-06 13:08:05,2017-04-18,W_Sales_Event.122,Confirming Final Contract Details,Event,0,2017-04-18 00:00:00
W_Opportunity.5027,W_Sales_User.5,2015-11-11 09:30:39,2015-11-22,W_Sales_Event.123,Demonstration to Board of Directors,Event,0,2015-11-22 00:00:00
W_Opportunity.5027,W_Sales_User.5,2015-12-03 11:50:47,2015-12-13,W_Sales_Event.124,Onsite customer workshop,Event,0,2015-12-13 00:00:00
W_Opportunity.5069,W_Sales_User.10,2017-05-26 13:57:38,2017-05-31,W_Sales_Event.125,Executive Lunch Meeting,Event,22,2017-05-31 00:00:00
W_Opportunity.5069,W_Sales_User.10,2017-05-27 00:14:47,2017-05-29,W_Sales_Event.126,Manager Off-Site,Event,0,2017-05-29 00:00:00
W_Opportunity.5146,W_Sales_User.1,2015-07-09 19:22:45,2015-07-09,W_Sales_Event.127,Discovery Call with Customer,Event,53,2015-07-09 00:00:00
W_Opportunity.5175,W_Sales_User.9,2016-04-01 10:24:32,2016-04-14,W_Sales_Event.128,Onsite customer workshop,Event,53,2016-04-14 00:00:00
W_Opportunity.5175,W_Sales_User.9,2016-02-28 02:59:45,2016-03-11,W_Sales_Event.129,Board presentation run-through,Event,0,2016-03-11 00:00:00
W_Opportunity.5182,W_Sales_User.9,2016-12-25 18:48:58,2017-01-04,W_Sales_Event.130,Account Strategy Meeting,Event,10,2017-01-04 00:00:00
W_Opportunity.5182,W_Sales_User.9,2016-12-26 18:11:42,2017-01-08,W_Sales_Event.131,Account Planning,Event,36,2017-01-08 00:00:00
W_Opportunity.5230,W_Sales_User.4,2016-04-14 16:24:00,2016-04-18,W_Sales_Event.132,Phone Interview,Event,0,2016-04-18 00:00:00
W_Opportunity.5256,W_Sales_User.2,2015-10-23 07:28:54,2015-10-27,W_Sales_Event.133,Meeting with VP Sales,Event,0,2015-10-27 00:00:00
W_Opportunity.5256,W_Sales_User.2,2015-08-17 03:52:05,2015-08-18,W_Sales_Event.134,Pipeline Review,Event,23,2015-08-18 00:00:00
W_Opportunity.5265,W_Sales_User.2,2016-10-09 13:26:14,2016-10-13,W_Sales_Event.135,Team Meeting,Event,19,2016-10-13 00:00:00
W_Opportunity.5265,W_Sales_User.2,2016-09-19 12:45:51,2016-09-19,W_Sales_Event.136,Executive Lunch Meeting,Event,48,2016-09-19 00:00:00
W_Opportunity.5286,W_Sales_User.11,2015-08-30 18:22:01,2015-09-04,W_Sales_Event.137,Team Meeting,Event,2,2015-09-04 00:00:00
W_Opportunity.5292,W_Sales_User.8,2017-01-11 06:44:44,2017-01-21,W_Sales_Event.138,Call,Event,0,2017-01-21 00:00:00
W_Opportunity.5292,W_Sales_User.8,2017-01-05 17:38:01,2017-01-09,W_Sales_Event.139,Weekly Team Meeting,Event,4,2017-01-09 00:00:00
W_Opportunity.5312,W_Sales_User.5,2016-12-17 04:06:49,2016-12-21,W_Sales_Event.140,Discovery call,Event,0,2016-12-21 00:00:00
W_Opportunity.5312,W_Sales_User.5,2016-12-20 01:01:43,2016-12-23,W_Sales_Event.141,Demonstration to Board of Directors,Event,34,2016-12-23 00:00:00
W_Opportunity.5342,W_Sales_User.2,2015-07-30 07:17:55,2015-08-02,W_Sales_Event.142,Executive Lunch Meeting,Event,0,2015-08-02 00:00:00
W_Opportunity.5375,W_Sales_User.8,2017-04-05 04:03:15,2017-04-08,W_Sales_Event.143,Develop Mutual Plan Document,Event,1,2017-04-08 00:00:00
W_Opportunity.5375,W_Sales_User.8,2017-04-01 02:41:40,2017-04-07,W_Sales_Event.144,Territory Plan Review,Event,13,2017-04-07 00:00:00
W_Opportunity.5430,W_Sales_User.10,2015-10-24 01:55:43,2015-10-30,W_Sales_Event.145,Executive Discovery Meeting,Event,0,2015-10-30 00:00:00
W_Opportunity.5430,W_Sales_User.10,2015-10-20 15:52:30,2015-10-23,W_Sales_Event.146,Develop Mutual Plan Document,Event,42,2015-10-23 00:00:00
W_Opportunity.5532,W_Sales_User.11,2017-03-13 14:34:55,2017-03-16,W_Sales_Event.147,Onsite customer workshop,Event,47,2017-03-16 00:00:00
W_Opportunity.5668,W_Sales_User.8,2016-10-17 16:55:52,2016-10-24,W_Sales_Event.148,Call with Director of Marketing,Event,27,2016-10-24 00:00:00
W_Opportunity.5676,W_Sales_User.1,2017-03-05 13:51:04,2017-03-10,W_Sales_Event.149,Onsite Account Review with Executive Team,Event,33,2017-03-10 00:00:00
W_Opportunity.5741,W_Sales_User.3,2015-08-01 13:24:38,2015-08-04,W_Sales_Event.150,Confirming Final Contract Details,Event,55,2015-08-04 00:00:00
W_Opportunity.5741,W_Sales_User.3,2015-08-01 12:25:57,2015-08-13,W_Sales_Event.151,Account Review,Event,29,2015-08-13 00:00:00
W_Opportunity.5743,W_Sales_User.10,2017-03-12 09:56:35,2017-03-14,W_Sales_Event.152,Call with Director of Marketing,Event,52,2017-03-14 00:00:00
W_Opportunity.5743,W_Sales_User.10,2017-03-05 01:30:26,2017-03-13,W_Sales_Event.153,Develop Mutual Plan Document,Event,0,2017-03-13 00:00:00
W_Opportunity.5849,W_Sales_User.4,2015-08-06 12:58:27,2015-08-14,W_Sales_Event.154,Discovery meeting with key executives,Event,32,2015-08-14 00:00:00
W_Opportunity.5873,W_Sales_User.5,2016-06-23 02:49:34,2016-06-24,W_Sales_Event.155,Project Planning Meeting,Event,58,2016-06-24 00:00:00
W_Opportunity.5874,W_Sales_User.5,2015-11-11 23:00:30,2015-11-23,W_Sales_Event.156,Develop Mutual Plan Document,Event,2,2015-11-23 00:00:00
W_Opportunity.5878,W_Sales_User.4,2017-04-08 04:33:37,2017-04-10,W_Sales_Event.157,Executive Discovery Meeting,Event,6,2017-04-10 00:00:00
W_Opportunity.5878,W_Sales_User.4,2017-04-04 19:07:26,2017-04-04,W_Sales_Event.158,Quarterly Review,Event,0,2017-04-04 00:00:00
W_Opportunity.5913,W_Sales_User.10,2016-06-25 01:43:01,2016-07-08,W_Sales_Event.159,Meeting with VP Sales,Event,0,2016-07-08 00:00:00
W_Opportunity.5913,W_Sales_User.10,2016-07-09 01:13:51,2016-07-22,W_Sales_Event.160,Follow up Meeting,Event,39,2016-07-22 00:00:00
W_Opportunity.5916,W_Sales_User.9,2016-08-07 12:55:48,2016-08-13,W_Sales_Event.161,Send Letter,Event,0,2016-08-13 00:00:00
W_Opportunity.5916,W_Sales_User.9,2016-07-27 17:43:09,2016-07-28,W_Sales_Event.162,Weekly Team Meeting,Event,29,2016-07-28 00:00:00
W_Opportunity.5936,W_Sales_User.10,2016-01-23 01:45:05,2016-01-30,W_Sales_Event.163,Follow up Meeting,Event,0,2016-01-30 00:00:00
W_Opportunity.5996,W_Sales_User.10,2017-01-14 09:13:50,2017-01-27,W_Sales_Event.164,Discovery Meeting,Event,0,2017-01-27 00:00:00
W_Opportunity.6005,W_Sales_User.10,2015-07-14 09:21:07,2015-07-25,W_Sales_Event.165,Internal team strategy meeting,Event,41,2015-07-25 00:00:00
W_Opportunity.6005,W_Sales_User.10,2015-06-26 17:20:56,2015-07-09,W_Sales_Event.166,Board presentation run-through,Event,0,2015-07-09 00:00:00
W_Opportunity.6037,W_Sales_User.7,2017-01-06 03:25:15,2017-01-09,W_Sales_Event.167,Training Class,Event,18,2017-01-09 00:00:00
W_Opportunity.6038,W_Sales_User.9,2017-05-26 12:13:33,2017-05-28,W_Sales_Event.168,Project stakeholder update,Event,0,2017-05-28 00:00:00
W_Opportunity.6038,W_Sales_User.9,2017-05-19 06:52:12,2017-05-31,W_Sales_Event.169,Discovery meeting with key executives,Event,0,2017-05-31 00:00:00
W_Opportunity.6119,W_Sales_User.5,2017-05-09 01:45:59,2017-05-13,W_Sales_Event.170,Phone Interview,Event,0,2017-05-13 00:00:00
W_Opportunity.6119,W_Sales_User.5,2017-03-16 13:47:23,2017-03-26,W_Sales_Event.171,Demonstration to Board of Directors,Event,38,2017-03-26 00:00:00
W_Opportunity.6135,W_Sales_User.2,2016-05-05 18:58:40,2016-05-14,W_Sales_Event.172,Board presentation run-through,Event,0,2016-05-14 00:00:00
W_Opportunity.6159,W_Sales_User.1,2015-09-18 08:21:35,2015-09-27,W_Sales_Event.173,Account Strategy Meeting,Event,0,2015-09-27 00:00:00
W_Opportunity.6159,W_Sales_User.1,2015-09-28 20:07:23,2015-10-02,W_Sales_Event.174,Review Final Presentation,Event,0,2015-10-02 00:00:00
