External_Id__c,Name,Owner.External_Id__c,NumberOfEmployees,AnnualRevenue,AccountSource,Type,Industry,BillingStreet,BillingCity,BillingState,BillingCountry,YearStarted,Ownership,Rating,CreatedDate__c
W_Account.53,Javelin Solutions,W_Sales_User.10,216,9531000,Cold Call,Corporate,Engineering,697 Wanda Coves,Khanmouth,MO,USA,1897,Private,Warm,2016-04-07 00:00:00
W_Account.59,Kajax Engineering Inc,W_Sales_User.9,118,8086000,Community,Corporate,Shipping,7154 Michele Knoll,Port Wendy,KS,USA,1956,Other,Warm,2015-09-09 00:00:00
W_Account.60,CT Holdings,W_Sales_User.3,166,6163000,Inbound Call,Corporate,Chemicals,47517 Paige Alley,New Rhondaport,CA,USA,1892,Private,Cool,2017-05-12 00:00:00
W_Account.61,McData Corporation,W_Sales_User.4,244,5206000,Inbound Call,Corporate,Retail,376 Duarte Park,Lake Robertchester,CA,USA,1966,Private,Cool,2016-03-25 00:00:00
W_Account.64,American Trailer & Storage,W_Sales_User.8,9,7766000,Website,Corporate,Recreation,31636 Kim Forest,West Andrew,KS,USA,1915,Private,Cool,2017-03-11 00:00:00
W_Account.65,Music Today,W_Sales_User.8,56,3487000,Referral,Corporate,Manufacturing,4629 Reed Rest,South Ebonystad,ND,USA,1909,Private,Cool,2017-05-18 00:00:00
W_Account.66,Starin Marketing,W_Sales_User.2,142,5112000,Inbound Call,Corporate,Government,2136 George Trafficway,Lake Mistyburgh,CO,USA,1972,Subsidiary,Hot,2015-11-30 00:00:00
W_Account.70,"HealthLeaders, Inc",W_Sales_User.8,175,6790000,Partner,Corporate,Shipping,2122 Chapman Curve,Bradshawchester,IL,USA,1981,Subsidiary,Cool,2015-06-14 00:00:00
W_Account.72,ZS Associates,W_Sales_User.6,182,7008000,Cold Call,Corporate,Not For Profit,653 Porter Way,Harrisfort,AK,USA,1918,Private,Warm,2016-06-09 00:00:00
W_Account.74,M & M Contracting of Texas,W_Sales_User.10,214,3706000,Partner,Corporate,Chemicals,41800 Chapman Plaza,Brookstown,NE,USA,1894,Public,Warm,2016-09-04 00:00:00
W_Account.76,S R A America,W_Sales_User.9,232,2636000,Partner,Corporate,Technology,74737 Berger Plains,Port Jessica,OH,USA,1964,Private,Hot,2016-07-27 00:00:00
W_Account.77,Fujitsu Network Communications,W_Sales_User.9,117,5201000,Partner,Corporate,Entertainment,796 Jones Trail,Port Kelly,SD,USA,1994,Private,Warm,2015-10-02 00:00:00
W_Account.78,Cool Pages,W_Sales_User.7,49,3540000,Website,Corporate,Machinery,35701 Johnny Hill,Kristinaberg,IN,USA,1924,Private,Cool,2016-04-28 00:00:00
W_Account.83,Spotlight Health,W_Sales_User.5,236,9040000,Website,Corporate,Recreation,295 Ann Underpass,North Amanda,NV,USA,1980,Other,Warm,2016-11-13 00:00:00
W_Account.84,Enosys Markets Inc,W_Sales_User.8,32,7294000,Cold Call,Corporate,Consulting,5613 Brittany Passage,Lake William,IA,USA,1968,Private,Hot,2017-01-18 00:00:00
W_Account.89,Campus Crusade for Christ,W_Sales_User.3,59,9049000,Social Media,Corporate,Machinery,7232 Peterson Mission,Johnfort,WA,USA,1915,Public,Warm,2016-02-02 00:00:00
W_Account.95,Project House,W_Sales_User.10,44,3402000,Data.com,Corporate,Manufacturing,0916 Ellis Meadows,Valdezhaven,IA,USA,1971,Private,Cool,2015-07-11 00:00:00
W_Account.96,RealityPlus Online,W_Sales_User.9,244,3932000,Social Media,Corporate,Construction,7958 Anderson Stravenue,Jackieville,MN,USA,1900,Private,Cool,2017-05-22 00:00:00
W_Account.98,iCOM Technologies Group,W_Sales_User.4,68,3629000,Marketing Event,Corporate,Retail,7911 Brown Harbors,Port Robert,WA,USA,1907,Private,Hot,2015-09-19 00:00:00
W_Account.104,Centerlogic Solutions,W_Sales_User.5,28,8926000,Community,Corporate,Other,0373 Matthew Station,South Brendahaven,OR,USA,2004,Private,Cool,2015-11-03 00:00:00
W_Account.108,Microvision,W_Sales_User.10,59,9279000,Marketing Event,Corporate,Manufacturing,36968 Michelle Locks,South Stephen,NE,USA,1961,Private,Warm,2017-04-08 00:00:00
W_Account.110,Miller Zell,W_Sales_User.6,104,2261000,Cold Call,Corporate,Telecommunications,68309 Avery Crescent,New Justinborough,WA,USA,1908,Public,Cool,2016-02-22 00:00:00
W_Account.112,CrissCross,W_Sales_User.5,6,4752000,Social Media,Corporate,Shipping,7269 Higgins Heights,Davidville,AK,USA,2000,Other,Hot,2016-05-30 00:00:00
W_Account.113,Generation X Media,W_Sales_User.3,126,6343000,Partner,Corporate,Education,383 Michael Mill,Jasontown,AZ,USA,1944,Other,Hot,2015-09-04 00:00:00
W_Account.116,GTR Asset Management,W_Sales_User.6,134,4545000,Inbound Call,Corporate,Communications,196 Cook Trace,Port Alyssa,OR,USA,1889,Other,Hot,2016-01-14 00:00:00
W_Account.123,BKD - Energy Group,W_Sales_User.9,117,5558000,Social Media,Corporate,Engineering,939 West Knolls,Burnettbury,IA,USA,1990,Public,Cool,2016-01-09 00:00:00
W_Account.126,Alliance Payment Systems,W_Sales_User.9,98,8826000,Community,Corporate,Transportation,132 Carlos Crest,East Leonhaven,NE,USA,1928,Private,Hot,2015-12-12 00:00:00
W_Account.134,IKON Business Imaging Systems,W_Sales_User.4,125,5034000,Cold Call,Corporate,Technology,400 Richard Square,Port Jenniferland,CA,USA,1918,Other,Cool,2016-05-02 00:00:00
W_Account.135,Fujitsu Consulting 1,W_Sales_User.10,87,5514000,Inbound Call,Corporate,Financial Services,1877 Wolfe Shores,North Karenton,WI,USA,1975,Private,Hot,2016-12-14 00:00:00
W_Account.138,Ridgeway Systems & Software,W_Sales_User.2,249,6049000,Website,Corporate,Insurance,06310 Elizabeth Corner,Port Elizabeth,OR,USA,1979,Subsidiary,Hot,2017-04-05 00:00:00
W_Account.141,Beck Technology,W_Sales_User.2,57,2692000,Social Media,Corporate,Financial Services,67430 Boyer Islands,Cheryltown,AZ,USA,1989,Private,Warm,2015-11-19 00:00:00
W_Account.142,Champs Management Svc,W_Sales_User.9,76,9989000,Partner,Corporate,Hospitality,82367 Smith Points,North Eric,MN,USA,1930,Other,Hot,2015-12-23 00:00:00
W_Account.143,Cold Pack System,W_Sales_User.6,129,4175000,Referral,Corporate,Healthcare & Life Sciences,01426 Melinda Creek,Drewborough,OR,USA,1946,Private,Cool,2016-10-13 00:00:00
W_Account.145,Indotronix International Corp.,W_Sales_User.1,98,8071000,Inbound Call,Corporate,Hospitality,461 Michelle Pass,North Alice,AK,USA,1896,Other,Warm,2015-08-20 00:00:00
W_Account.146,Coram.,W_Sales_User.10,62,9040000,Referral,Corporate,Electronics,40984 Brian Rapids,East Priscillastad,MI,USA,1884,Private,Warm,2016-08-17 00:00:00
W_Account.150,General Bearing Corporation,W_Sales_User.10,82,7842000,Data.com,Corporate,Apparel,274 Kyle Summit,Woodshaven,OH,USA,1945,Private,Warm,2016-08-11 00:00:00
W_Account.155,Minimax,W_Sales_User.9,66,9379000,Partner,Corporate,Utilities,5908 Michael Forest,West Dominique,WI,USA,1886,Public,Warm,2015-11-06 00:00:00
W_Account.159,MedImpact Healthcare Systems,W_Sales_User.1,202,5900000,Data.com,Corporate,Entertainment,1215 Reilly Track,Nataliefort,CA,USA,2003,Private,Hot,2016-08-31 00:00:00
W_Account.161,Northwind/Southwind,W_Sales_User.10,37,3312000,Community,Corporate,Energy,3348 Shelley Knoll,Lake Randy,IL,USA,1989,Public,Cool,2017-05-28 00:00:00
W_Account.163,NewPoint Media Group,W_Sales_User.5,103,9431000,Inbound Call,Corporate,Biotechnology,54231 Stanley Extensions,Stewartberg,AK,USA,1927,Other,Cool,2016-07-25 00:00:00
W_Account.165,Heart Of America Restaurants & Inn,W_Sales_User.3,48,6542000,Cold Call,Corporate,Financial Services,192 Smith Loop,South Sara,CA,USA,1905,Subsidiary,Hot,2015-10-30 00:00:00
W_Account.166,Conexant Systems,W_Sales_User.3,180,9284000,Social Media,Corporate,Construction,879 Melanie Corners,East Philipside,CO,USA,1944,Private,Hot,2016-09-25 00:00:00
W_Account.174,Maritz Incentives,W_Sales_User.4,239,8859000,Community,Corporate,Media,34448 Adams Pines,North Antonioland,CA,USA,1953,Private,Cool,2016-05-10 00:00:00
W_Account.187,Agility Logistics Corp.,W_Sales_User.1,103,2034000,Cold Call,Corporate,Hospitality,9488 Yu Port,South Kristin,AK,USA,1979,Other,Hot,2016-02-04 00:00:00
W_Account.188,Cisco - Tidal Software,W_Sales_User.7,86,6214000,Data.com,Corporate,Food & Beverage,48927 Tiffany Divide,Terriport,KS,USA,1957,Private,Warm,2017-05-09 00:00:00
W_Account.194,Eze Castle Integration,W_Sales_User.2,65,9140000,Social Media,Corporate,Government,9156 Hicks Meadows,South Tonymouth,OR,USA,1973,Public,Cool,2015-08-07 00:00:00
W_Account.196,HostCircle,W_Sales_User.5,50,4033000,Data.com,Corporate,Construction,469 Michael Glens,Lake Jeffreyhaven,WA,USA,1941,Subsidiary,Cool,2015-06-18 00:00:00
W_Account.199,Jim Coleman Company,W_Sales_User.4,13,4959000,Cold Call,Corporate,Energy,189 Stacy Inlet,West Erica,HI,USA,1882,Subsidiary,Cool,2016-04-13 00:00:00
W_Account.201,Magner Financial,W_Sales_User.7,65,5001000,Referral,Corporate,Financial Services,9713 Robles Forges,Fernandezland,ND,USA,1983,Private,Cool,2015-08-16 00:00:00
W_Account.203,SunGard - Public Sector,W_Sales_User.3,177,6362000,Marketing Event,Corporate,Healthcare & Life Sciences,6617 Joanna Field,West Mark,AK,USA,1882,Private,Warm,2017-03-11 00:00:00
W_Account.205,Dimension Data US,W_Sales_User.5,22,2354000,Partner,Corporate,Hospitality,720 Natasha Hollow,Pricefort,HI,USA,2006,Private,Warm,2015-11-03 00:00:00
W_Account.207,The Designory Inc,W_Sales_User.10,219,9177000,Website,Corporate,Environmental,33095 Skinner Center,Mirandaborough,IL,USA,1983,Private,Hot,2017-05-26 00:00:00
W_Account.209,Intel Corporation Inside Sales,W_Sales_User.1,68,2764000,Community,Corporate,Telecommunications,07466 Montoya Alley,Williamsborough,CA,USA,1999,Private,Cool,2015-06-08 00:00:00
W_Account.210,Softscape,W_Sales_User.9,228,8840000,Partner,Corporate,Education,75917 Guerrero Green,North Kyle,IL,USA,1928,Other,Hot,2016-02-27 00:00:00
W_Account.211,Urban Science,W_Sales_User.9,238,5305000,Social Media,Corporate,Shipping,294 Evans Dale,Malikport,WI,USA,1945,Subsidiary,Warm,2016-12-25 00:00:00
W_Account.213,Gustafson,W_Sales_User.4,225,8335000,Marketing Event,Corporate,Hospitality,8333 Pearson Corners,Edwinfort,WA,USA,1932,Private,Cool,2015-06-06 00:00:00
W_Account.214,Katabat Corporation,W_Sales_User.10,19,4323000,Website,Corporate,Electronics,86045 Lewis Forest,Clarkmouth,IA,USA,1991,Private,Hot,2015-08-29 00:00:00
W_Account.218,Healthcare Extranets,W_Sales_User.11,83,7011000,Inbound Call,Corporate,Agriculture,052 Martin Brooks,Dennisfort,KS,USA,1941,Other,Hot,2017-03-05 00:00:00
W_Account.224,H & H Foods,W_Sales_User.8,100,2403000,Data.com,Corporate,Banking,822 Michael Village,Carneyfurt,SD,USA,1892,Public,Cool,2016-09-18 00:00:00
W_Account.228,Wireless Note Systems,W_Sales_User.3,204,5480000,Referral,Corporate,Communications,2676 Dalton Ports,West Adrienne,AK,USA,1997,Other,Cool,2015-07-27 00:00:00
W_Account.229,Profit Stars,W_Sales_User.4,214,6601000,Cold Call,Corporate,Government,71444 Monica Radial,New Feliciaville,ID,USA,1884,Private,Hot,2015-07-21 00:00:00
W_Account.230,Electric Equipment & Engrg Co,W_Sales_User.10,95,6782000,Website,Corporate,Machinery,501 Meza Freeway,Johnville,IL,USA,1983,Private,Warm,2016-06-04 00:00:00
W_Account.231,Bostech Corporation,W_Sales_User.10,201,8250000,Cold Call,Corporate,Retail,27706 James Trail,Olsenburgh,KS,USA,1891,Other,Hot,2015-12-16 00:00:00
W_Account.232,Americall Group Inc,W_Sales_User.10,7,3169000,Data.com,Corporate,Healthcare & Life Sciences,66856 Patrick Freeway,Hallmouth,NE,USA,1897,Private,Warm,2015-06-13 00:00:00
W_Account.234,Protege Systems   Inc,W_Sales_User.7,132,2325000,Referral,Corporate,Food & Beverage,8522 Joseph Field,Glennmouth,SD,USA,1911,Other,Cool,2016-12-13 00:00:00
W_Account.237,tw telecom holdings,W_Sales_User.5,19,6197000,Data.com,Corporate,Media,78259 Cruz Bridge,Andrewport,AZ,USA,1976,Private,Hot,2017-03-16 00:00:00
W_Account.238,AlltheHalls Computing Services,W_Sales_User.2,233,5153000,Inbound Call,Corporate,Communications,639 Robertson Curve,East Melissa,ID,USA,1925,Private,Warm,2016-04-19 00:00:00
W_Account.239,Constellation Energy,W_Sales_User.1,216,7154000,Social Media,Corporate,Energy,4971 Morales Mill,Chungberg,HI,USA,1906,Private,Warm,2015-09-02 00:00:00
W_Account.240,Heatherstone Digital Solutions,W_Sales_User.2,68,4929000,Marketing Event,Corporate,Food & Beverage,16023 Rodriguez Summit,Kaylashire,CA,USA,1898,Private,Hot,2016-11-29 00:00:00
W_Account.241,Wave Interface,W_Sales_User.1,176,6886000,Data.com,Corporate,Chemicals,579 Scott Roads,West Tyler,HI,USA,1961,Private,Hot,2016-02-11 00:00:00
W_Account.244,reelestates.com,W_Sales_User.7,192,7945000,Marketing Event,Corporate,Chemicals,9871 Rhonda Land,Lesterborough,MO,USA,1930,Public,Cool,2015-07-11 00:00:00
W_Account.250,Diversified Ophthalmics,W_Sales_User.3,156,9525000,Inbound Call,Corporate,Electronics,608 William Summit,Lake Reneeland,OR,USA,1894,Private,Hot,2016-05-31 00:00:00
W_Account.253,Cardservice International,W_Sales_User.11,198,8264000,Marketing Event,Corporate,Hospitality,66176 Harold Ridge,South Jessica,IN,USA,2001,Private,Cool,2017-02-05 00:00:00
W_Account.254,Lab vortex.com,W_Sales_User.4,181,9067000,Marketing Event,Corporate,Food & Beverage,147 Barrett Forge,Lindabury,WA,USA,1902,Public,Hot,2016-10-02 00:00:00
W_Account.255,Mall.com,W_Sales_User.4,55,2212000,Cold Call,Corporate,Food & Beverage,837 Sherry Land,Port Ginaside,OR,USA,1899,Public,Cool,2015-10-25 00:00:00
W_Account.257,PLS Solutions,W_Sales_User.8,127,4111000,Inbound Call,Corporate,Consulting,39442 Sanders Gardens,New Rachelland,IL,USA,1896,Other,Warm,2015-08-04 00:00:00
W_Account.259,Exmark Manufacturing Co Inc,W_Sales_User.6,9,6527000,Website,Corporate,Electronics,99595 Warner Parks,Johnsonside,WA,USA,1943,Private,Warm,2016-09-16 00:00:00
W_Account.261,Cogenix,W_Sales_User.4,188,8725000,Community,Corporate,Technology,6314 Diane Knolls,New William,WY,USA,1955,Private,Hot,2015-09-25 00:00:00
W_Account.263,Cynergee Productions,W_Sales_User.2,194,7559000,Inbound Call,Corporate,Transportation,8595 Gardner Alley,Calebshire,OR,USA,2001,Other,Warm,2015-08-26 00:00:00
W_Account.266,National Coalition Advancd Mfg,W_Sales_User.5,21,7443000,Community,Corporate,Utilities,572 Hays Via,North Lynn,OR,USA,1884,Private,Warm,2015-12-29 00:00:00
W_Account.267,B Braun/MC Gaw Inc,W_Sales_User.6,181,4413000,Referral,Corporate,Financial Services,13714 Robert Courts,Port Michael,HI,USA,1886,Private,Warm,2015-08-26 00:00:00
W_Account.269,Trip.com,W_Sales_User.4,45,9953000,Marketing Event,Corporate,Entertainment,717 Lucas Spurs,South Meganfort,AK,USA,1931,Private,Hot,2016-09-23 00:00:00
W_Account.270,Markmin Staffing,W_Sales_User.2,169,6650000,Referral,Corporate,Environmental,8757 Susan Road,Jacksonborough,WA,USA,1881,Private,Warm,2015-12-11 00:00:00
W_Account.278,Van Horn Metz & Co..,W_Sales_User.6,147,4439000,Marketing Event,Corporate,Chemicals,393 John Ports,Smithville,CO,USA,1994,Private,Cool,2015-07-23 00:00:00
W_Account.282,New Flash,W_Sales_User.11,80,7587000,Social Media,Corporate,Chemicals,346 Williams Locks,West Traci,SD,USA,1921,Private,Warm,2016-09-29 00:00:00
W_Account.283,NYFIX,W_Sales_User.6,150,3159000,Social Media,Corporate,Agriculture,3211 Harris Burg,North Michael,WA,USA,1963,Subsidiary,Hot,2016-03-16 00:00:00
W_Account.291,Business Control Systems,W_Sales_User.5,105,5269000,Partner,Corporate,Apparel,64937 Allen Corner,Philipborough,UT,USA,1895,Private,Hot,2016-03-28 00:00:00
W_Account.292,Blaqwell,W_Sales_User.5,161,6280000,Data.com,Corporate,Government,156 Ayers Vista,Jimmychester,WY,USA,1932,Other,Hot,2016-04-15 00:00:00
W_Account.294,Immediatech,W_Sales_User.2,3,8970000,Cold Call,Corporate,Education,6844 Martinez Underpass,East Jeffrey,CA,USA,1906,Private,Cool,2016-09-23 00:00:00
W_Account.299,Ibars Electronics Corp,W_Sales_User.8,199,3914000,Marketing Event,Corporate,Construction,8614 Isabella Street,Port Amy,IL,USA,1976,Public,Cool,2015-12-07 00:00:00
W_Account.300,Syncra Software,W_Sales_User.10,39,4639000,Community,Corporate,Insurance,448 Thomas Fort,Clarkshire,ND,USA,1880,Private,Hot,2017-02-15 00:00:00
W_Account.303,Navitaire,W_Sales_User.7,133,2388000,Cold Call,Corporate,Retail,084 Jessica Green,Jefferyshire,MO,USA,1892,Private,Cool,2015-08-17 00:00:00
W_Account.305,Vangard Technolgy,W_Sales_User.1,73,8113000,Inbound Call,Corporate,Apparel,155 Natalie Path,East Christophermouth,MT,USA,1953,Private,Warm,2015-12-25 00:00:00
W_Account.306,Hotlocker,W_Sales_User.6,93,7175000,Social Media,Corporate,Electronics,79881 Martinez Ford,New Robert,ID,USA,1901,Private,Cool,2016-11-06 00:00:00
W_Account.308,Meridian Technologies,W_Sales_User.3,76,4412000,Marketing Event,Corporate,Shipping,4000 Lindsay Rest,Reedborough,WA,USA,1931,Other,Cool,2015-11-26 00:00:00
W_Account.309,Edmunds.com,W_Sales_User.1,34,8745000,Referral,Corporate,Manufacturing,2047 Jack Mews,Morrisburgh,AK,USA,1979,Other,Cool,2015-12-28 00:00:00
W_Account.310,Walsh Industries,W_Sales_User.6,57,4746000,Partner,Corporate,Not For Profit,28601 Gray Cliff,East William,MT,USA,1917,Other,Hot,2015-07-05 00:00:00
W_Account.311,Torque LTD,W_Sales_User.2,164,8925000,Website,Corporate,Food & Beverage,09026 Amanda Extension,Amyville,OR,USA,1918,Other,Hot,2015-11-11 00:00:00
W_Account.313,IMTS Silicon Motor Speedway,W_Sales_User.10,167,7561000,Website,Corporate,Transportation,274 Julie Forge,Douglasfurt,OH,USA,2002,Other,Warm,2016-11-26 00:00:00
W_Account.315,SoftSwitching Technologies,W_Sales_User.8,117,5150000,Community,Corporate,Electronics,49017 Stanley Ridge,New Leahshire,MN,USA,2008,Private,Hot,2016-07-01 00:00:00
W_Account.323,Sunstar Americas,W_Sales_User.10,213,9460000,Marketing Event,Corporate,Apparel,0017 Hill Village,North Aaron,SD,USA,1985,Private,Hot,2015-09-18 00:00:00
W_Account.325,Kodak Versamark,W_Sales_User.7,162,7749000,Partner,Corporate,Biotechnology,20148 Tyler Unions,Powellburgh,MO,USA,1955,Other,Hot,2016-03-21 00:00:00
W_Account.327,BeNOW,W_Sales_User.7,180,2268000,Referral,Corporate,Government,768 Briana Ranch,West Robert,MI,USA,1922,Private,Hot,2015-11-22 00:00:00
W_Account.330,Ziphany,W_Sales_User.6,93,7349000,Partner,Corporate,Utilities,1234 Anthony Turnpike,Jonesmouth,UT,USA,1893,Other,Hot,2016-12-15 00:00:00
W_Account.331,Internet Doorway,W_Sales_User.1,240,2254000,Cold Call,Corporate,Manufacturing,412 Anna Fields,North Richard,HI,USA,1934,Other,Warm,2017-02-06 00:00:00
W_Account.332,E.D.I. CO,W_Sales_User.9,206,9333000,Referral,Corporate,Banking,09065 Jordan Camp,Jasontown,IA,USA,1897,Private,Hot,2016-10-08 00:00:00
W_Account.333,CommonWealth REIT,W_Sales_User.6,210,9326000,Referral,Corporate,Manufacturing,468 Owens Isle,West Christopherview,MT,USA,2009,Public,Hot,2017-05-27 00:00:00
W_Account.339,ADG,W_Sales_User.11,209,4647000,Cold Call,Corporate,Insurance,8672 Herrera Points,North Katie,ND,USA,1921,Other,Hot,2015-12-11 00:00:00
W_Account.343,ATHENS FURNITURE IND.,W_Sales_User.8,184,9362000,Cold Call,Corporate,Transportation,1972 Mckinney Crossing,North Sydneymouth,IA,USA,1898,Private,Warm,2015-11-11 00:00:00
W_Account.345,Kinder Morgan,W_Sales_User.7,60,3701000,Website,Corporate,Apparel,08023 Andersen Mission,Port Ernestville,WI,USA,1901,Public,Hot,2016-02-29 00:00:00
W_Account.346,Teledyne Brown Engineering Inc,W_Sales_User.8,209,7232000,Marketing Event,Corporate,Construction,96309 Michael Walks,South Veronica,IA,USA,1963,Private,Cool,2015-09-04 00:00:00
W_Account.347,Russell Associates,W_Sales_User.8,151,9832000,Data.com,Corporate,Apparel,4353 Sean Forge,Lake Andrea,WI,USA,1948,Private,Hot,2016-03-14 00:00:00
W_Account.348,Advantage One Corp,W_Sales_User.1,198,3752000,Partner,Corporate,Entertainment,858 Martinez Stravenue,Port Michael,NV,USA,1954,Subsidiary,Hot,2015-07-11 00:00:00
W_Account.354,Genon Americas,W_Sales_User.2,8,4240000,Inbound Call,Corporate,Recreation,5017 Walker Meadow,North Edwardborough,AK,USA,1889,Private,Hot,2016-05-24 00:00:00
W_Account.355,Mobilian Corporation,W_Sales_User.10,121,8957000,Marketing Event,Corporate,Manufacturing,2812 Christopher Bypass,Francoview,IA,USA,1925,Subsidiary,Warm,2017-03-21 00:00:00
W_Account.360,Hometown Health,W_Sales_User.6,199,3007000,Partner,Corporate,Financial Services,14859 Valencia Expressway,Brendanfurt,HI,USA,1959,Private,Cool,2016-09-06 00:00:00
W_Account.363,Skinceuticals,W_Sales_User.4,190,2026000,Partner,Corporate,Energy,97296 Bradford Streets,Bradleymouth,CA,USA,1957,Private,Hot,2016-09-22 00:00:00
W_Account.369,Production Operators,W_Sales_User.10,61,6424000,Marketing Event,Corporate,Utilities,6105 Romero Track,South Danielchester,NE,USA,2007,Private,Warm,2015-10-03 00:00:00
W_Account.370,United - UAL,W_Sales_User.9,231,6106000,Community,Corporate,Telecommunications,83482 Henry Squares,Robertbury,WI,USA,1921,Private,Cool,2015-09-27 00:00:00
W_Account.374,RagingNet,W_Sales_User.3,59,8954000,Partner,Corporate,Biotechnology,685 Gonzales Lane,North Patriciashire,CA,USA,1972,Private,Hot,2015-09-17 00:00:00
W_Account.375,project manager,W_Sales_User.8,131,5891000,Referral,Corporate,Agriculture,12050 David Crescent,Port Daniel,ND,USA,1886,Other,Warm,2016-06-10 00:00:00
W_Account.378,McKenna Professional Imaging,W_Sales_User.10,230,5844000,Cold Call,Corporate,Telecommunications,772 Tina Vista,Courtneystad,MN,USA,1909,Private,Hot,2016-03-13 00:00:00
W_Account.380,Olympus Managed Health Care,W_Sales_User.6,114,9293000,Referral,Corporate,Chemicals,2753 Monica Manors,North Evelyntown,HI,USA,2001,Private,Cool,2016-05-23 00:00:00
W_Account.381,Eagle Point,W_Sales_User.6,74,7936000,Community,Corporate,Insurance,89417 Weber Path,New Laura,WA,USA,1929,Public,Warm,2015-09-23 00:00:00
W_Account.382,Optima Batteries,W_Sales_User.5,64,2529000,Marketing Event,Corporate,Government,9572 Bryan Mall,Port Yolanda,OR,USA,1943,Private,Cool,2015-12-01 00:00:00
W_Account.384,Crown Logic Corp,W_Sales_User.10,74,9692000,Inbound Call,Corporate,Recreation,8985 Smith Square,Briantown,ND,USA,1973,Private,Cool,2015-11-03 00:00:00
W_Account.389,Viad Corp,W_Sales_User.6,81,3562000,Inbound Call,Corporate,Shipping,8083 Orr Landing,North Kayleeside,WA,USA,1964,Private,Cool,2016-02-02 00:00:00
W_Account.391,US Build,W_Sales_User.11,79,8219000,Marketing Event,Corporate,Biotechnology,67537 Lauren Inlet,Heathchester,IN,USA,2002,Other,Hot,2016-07-10 00:00:00
W_Account.393,Aftermind,W_Sales_User.7,189,3977000,Referral,Corporate,Biotechnology,621 Snyder Throughway,Christinebury,IA,USA,1923,Subsidiary,Hot,2017-05-26 00:00:00
W_Account.396,Roadway Express,W_Sales_User.7,161,8954000,Inbound Call,Corporate,Apparel,83157 Danny Lodge,Lake Sara,SD,USA,2004,Private,Warm,2016-12-11 00:00:00
W_Account.398,Georgia - Pacific,W_Sales_User.8,165,8704000,Referral,Corporate,Insurance,308 Henderson Estates,Moralesburgh,KS,USA,1939,Subsidiary,Warm,2015-06-27 00:00:00
