External+AF8-Id+AF8AXw-c,Amount+AF8AXw-c,StageName+AF8AXw-c,ForecastCategory+AF8AXw-c,CloseDate+AF8AXw-c,CreatedDate+AF8AXw-c,Opportunity.External+AF8-Id+AF8AXw-c
W+AF8-OpportunityHistory.17479,24000,Closed Lost,Omitted,2017+AC0-05+AC0-30,2017+AC0-05+AC0-30 00:00:00,W+AF8-Opportunity.689
W+AF8-OpportunityHistory.17478,348837,Qualification,Pipeline,2016+AC0-01+AC0-23,2015+AC0-12+AC0-31 00:00:00,W+AF8-Opportunity.729
W+AF8-OpportunityHistory.17477,348837,Closed Won,Closed,2016+AC0-01+AC0-23,2016+AC0-01+AC0-23 00:00:00,W+AF8-Opportunity.729
W+AF8-OpportunityHistory.17476,100759,Qualification,Pipeline,2017+AC0-05+AC0-11,2017+AC0-02+AC0-05 00:00:00,W+AF8-Opportunity.748
W+AF8-OpportunityHistory.17475,100759,Negotiation,BestCase,2017+AC0-05+AC0-11,2017+AC0-03+AC0-08 00:00:00,W+AF8-Opportunity.748
W+AF8-OpportunityHistory.17474,100759,Negotiation,BestCase,2017+AC0-05+AC0-03,2017+AC0-04+AC0-10 00:00:00,W+AF8-Opportunity.748
W+AF8-OpportunityHistory.17473,100759,Closed Lost,Omitted,2017+AC0-05+AC0-03,2017+AC0-05+AC0-03 00:00:00,W+AF8-Opportunity.748
W+AF8-OpportunityHistory.17472,8800,Qualification,Pipeline,2016+AC0-07+AC0-30,2016+AC0-08+AC0-08 00:00:00,W+AF8-Opportunity.769
W+AF8-OpportunityHistory.17471,8800,Needs Analysis,BestCase,2016+AC0-07+AC0-30,2016+AC0-08+AC0-17 00:00:00,W+AF8-Opportunity.769
W+AF8-OpportunityHistory.17470,8800,Needs Analysis,BestCase,2016+AC0-09+AC0-01,2016+AC0-08+AC0-24 00:00:00,W+AF8-Opportunity.769
W+AF8-OpportunityHistory.17469,8800,Closed Won,Closed,2016+AC0-09+AC0-01,2016+AC0-09+AC0-01 00:00:00,W+AF8-Opportunity.769
W+AF8-OpportunityHistory.17468,70000,Qualification,Pipeline,2017+AC0-03+AC0-12,2016+AC0-12+AC0-18 00:00:00,W+AF8-Opportunity.793
W+AF8-OpportunityHistory.17467,70000,Needs Analysis,Pipeline,2017+AC0-03+AC0-12,2016+AC0-12+AC0-27 00:00:00,W+AF8-Opportunity.793
W+AF8-OpportunityHistory.17466,75000,Needs Analysis,Pipeline,2017+AC0-03+AC0-12,2017+AC0-01+AC0-28 00:00:00,W+AF8-Opportunity.793
W+AF8-OpportunityHistory.17465,75000,Closed Lost,Omitted,2017+AC0-03+AC0-12,2017+AC0-03+AC0-12 00:00:00,W+AF8-Opportunity.793
W+AF8-OpportunityHistory.17464,89808,Qualification,Pipeline,2017+AC0-01+AC0-17,2016+AC0-10+AC0-25 00:00:00,W+AF8-Opportunity.868
W+AF8-OpportunityHistory.17463,89808,Proposal/Quote,Pipeline,2017+AC0-01+AC0-17,2016+AC0-10+AC0-27 00:00:00,W+AF8-Opportunity.868
W+AF8-OpportunityHistory.17462,83808,Proposal/Quote,Pipeline,2017+AC0-01+AC0-17,2016+AC0-12+AC0-02 00:00:00,W+AF8-Opportunity.868
W+AF8-OpportunityHistory.17461,86808,Proposal/Quote,Pipeline,2017+AC0-01+AC0-17,2016+AC0-12+AC0-19 00:00:00,W+AF8-Opportunity.868
W+AF8-OpportunityHistory.17460,86808,Closed Lost,Omitted,2017+AC0-01+AC0-17,2017+AC0-01+AC0-17 00:00:00,W+AF8-Opportunity.868
W+AF8-OpportunityHistory.17459,3000,Qualification,Pipeline,2017+AC0-01+AC0-24,2016+AC0-11+AC0-11 00:00:00,W+AF8-Opportunity.907
W+AF8-OpportunityHistory.17458,3000,Proposal/Quote,BestCase,2017+AC0-01+AC0-24,2016+AC0-11+AC0-12 00:00:00,W+AF8-Opportunity.907
W+AF8-OpportunityHistory.17457,3000,Closed Lost,Omitted,2017+AC0-01+AC0-24,2016+AC0-11+AC0-17 00:00:00,W+AF8-Opportunity.907
W+AF8-OpportunityHistory.17456,3000,Negotiation,Commit,2017+AC0-01+AC0-24,2016+AC0-12+AC0-17 00:00:00,W+AF8-Opportunity.907
W+AF8-OpportunityHistory.17455,12000,Negotiation,Commit,2017+AC0-01+AC0-24,2017+AC0-01+AC0-13 00:00:00,W+AF8-Opportunity.907
W+AF8-OpportunityHistory.17454,12000,Closed Lost,Omitted,2017+AC0-01+AC0-24,2017+AC0-01+AC0-24 00:00:00,W+AF8-Opportunity.907
W+AF8-OpportunityHistory.17453,300000,Qualification,Pipeline,2017+AC0-06+AC0-08,2017+AC0-03+AC0-30 00:00:00,W+AF8-Opportunity.956
W+AF8-OpportunityHistory.17452,300000,Proposal/Quote,BestCase,2017+AC0-06+AC0-08,2017+AC0-04+AC0-15 00:00:00,W+AF8-Opportunity.956
W+AF8-OpportunityHistory.17451,300000,Negotiation,BestCase,2017+AC0-06+AC0-08,2017+AC0-05+AC0-15 00:00:00,W+AF8-Opportunity.956
W+AF8-OpportunityHistory.17450,12269,Qualification,Pipeline,2017+AC0-02+AC0-21,2016+AC0-10+AC0-21 00:00:00,W+AF8-Opportunity.1012
W+AF8-OpportunityHistory.17449,12269,Needs Analysis,Commit,2017+AC0-02+AC0-21,2016+AC0-10+AC0-28 00:00:00,W+AF8-Opportunity.1012
W+AF8-OpportunityHistory.17448,12269,Needs Analysis,Commit,2017+AC0-02+AC0-02,2016+AC0-11+AC0-17 00:00:00,W+AF8-Opportunity.1012
W+AF8-OpportunityHistory.17447,12269,Needs Analysis,Commit,2017+AC0-02+AC0-13,2016+AC0-12+AC0-12 00:00:00,W+AF8-Opportunity.1012
W+AF8-OpportunityHistory.17446,12269,Needs Analysis,Commit,2017+AC0-01+AC0-17,2016+AC0-12+AC0-19 00:00:00,W+AF8-Opportunity.1012
W+AF8-OpportunityHistory.17445,12269,Closed Won,Closed,2017+AC0-01+AC0-17,2017+AC0-01+AC0-17 00:00:00,W+AF8-Opportunity.1012
W+AF8-OpportunityHistory.17444,15501,Qualification,Pipeline,2015+AC0-08+AC0-19,2015+AC0-07+AC0-27 00:00:00,W+AF8-Opportunity.1037
W+AF8-OpportunityHistory.17443,15501,Negotiation,BestCase,2015+AC0-08+AC0-19,2015+AC0-08+AC0-14 00:00:00,W+AF8-Opportunity.1037
W+AF8-OpportunityHistory.17442,15501,Closed Won,Closed,2015+AC0-08+AC0-19,2015+AC0-08+AC0-19 00:00:00,W+AF8-Opportunity.1037
W+AF8-OpportunityHistory.17441,17000,Qualification,Pipeline,2016+AC0-02+AC0-12,2015+AC0-12+AC0-12 00:00:00,W+AF8-Opportunity.1047
W+AF8-OpportunityHistory.17440,17000,Needs Analysis,Pipeline,2016+AC0-02+AC0-12,2016+AC0-01+AC0-05 00:00:00,W+AF8-Opportunity.1047
W+AF8-OpportunityHistory.17439,10000,Needs Analysis,Pipeline,2016+AC0-02+AC0-12,2016+AC0-01+AC0-18 00:00:00,W+AF8-Opportunity.1047
W+AF8-OpportunityHistory.17438,10000,Closed Lost,Omitted,2016+AC0-02+AC0-12,2016+AC0-02+AC0-12 00:00:00,W+AF8-Opportunity.1047
W+AF8-OpportunityHistory.17437,10000,Qualification,Pipeline,2017+AC0-01+AC0-04,2016+AC0-11+AC0-03 00:00:00,W+AF8-Opportunity.1051
W+AF8-OpportunityHistory.17436,10000,Closed Lost,Omitted,2017+AC0-01+AC0-04,2016+AC0-11+AC0-13 00:00:00,W+AF8-Opportunity.1051
W+AF8-OpportunityHistory.17435,10000,Negotiation,Pipeline,2017+AC0-01+AC0-04,2016+AC0-12+AC0-15 00:00:00,W+AF8-Opportunity.1051
W+AF8-OpportunityHistory.17434,10000,Closed Lost,Omitted,2017+AC0-01+AC0-04,2016+AC0-12+AC0-28 00:00:00,W+AF8-Opportunity.1051
W+AF8-OpportunityHistory.17433,10000,Negotiation,BestCase,2017+AC0-01+AC0-04,2016+AC0-12+AC0-28 00:00:00,W+AF8-Opportunity.1051
W+AF8-OpportunityHistory.17432,10000,Closed Lost,Omitted,2017+AC0-01+AC0-04,2017+AC0-01+AC0-04 00:00:00,W+AF8-Opportunity.1051
W+AF8-OpportunityHistory.17431,10000,Qualification,Pipeline,2016+AC0-06+AC0-07,2016+AC0-04+AC0-05 00:00:00,W+AF8-Opportunity.1056
W+AF8-OpportunityHistory.17430,10000,Proposal/Quote,Commit,2016+AC0-06+AC0-07,2016+AC0-04+AC0-15 00:00:00,W+AF8-Opportunity.1056
W+AF8-OpportunityHistory.17429,10000,Proposal/Quote,Commit,2016+AC0-06+AC0-06,2016+AC0-05+AC0-07 00:00:00,W+AF8-Opportunity.1056
W+AF8-OpportunityHistory.17428,10000,Closed Lost,Omitted,2016+AC0-06+AC0-06,2016+AC0-06+AC0-06 00:00:00,W+AF8-Opportunity.1056
W+AF8-OpportunityHistory.17427,40003,Qualification,BestCase,2017+AC0-08+AC0-23,2017+AC0-05+AC0-24 00:00:00,W+AF8-Opportunity.1057
W+AF8-OpportunityHistory.17426,230000,Qualification,Pipeline,2015+AC0-11+AC0-18,2015+AC0-08+AC0-11 00:00:00,W+AF8-Opportunity.1184
W+AF8-OpportunityHistory.17425,230000,Closed Lost,Omitted,2015+AC0-11+AC0-18,2015+AC0-09+AC0-13 00:00:00,W+AF8-Opportunity.1184
W+AF8-OpportunityHistory.17424,230000,Negotiation,Commit,2015+AC0-11+AC0-18,2015+AC0-09+AC0-13 00:00:00,W+AF8-Opportunity.1184
W+AF8-OpportunityHistory.17423,230000,Negotiation,Commit,2015+AC0-11+AC0-07,2015+AC0-10+AC0-05 00:00:00,W+AF8-Opportunity.1184
W+AF8-OpportunityHistory.17422,230000,Closed Lost,Omitted,2015+AC0-11+AC0-07,2015+AC0-11+AC0-07 00:00:00,W+AF8-Opportunity.1184
W+AF8-OpportunityHistory.17421,37774,Qualification,Pipeline,2016+AC0-04+AC0-30,2016+AC0-04+AC0-07 00:00:00,W+AF8-Opportunity.1395
W+AF8-OpportunityHistory.17420,37774,Needs Analysis,BestCase,2016+AC0-04+AC0-30,2016+AC0-04+AC0-14 00:00:00,W+AF8-Opportunity.1395
W+AF8-OpportunityHistory.17419,37774,Closed Won,Closed,2016+AC0-04+AC0-30,2016+AC0-04+AC0-30 00:00:00,W+AF8-Opportunity.1395
W+AF8-OpportunityHistory.17418,300000,Qualification,Pipeline,2015+AC0-11+AC0-06,2015+AC0-09+AC0-09 00:00:00,W+AF8-Opportunity.1597
W+AF8-OpportunityHistory.17417,300000,Negotiation,Pipeline,2015+AC0-11+AC0-06,2015+AC0-10+AC0-02 00:00:00,W+AF8-Opportunity.1597
W+AF8-OpportunityHistory.17416,300000,Closed Lost,Omitted,2015+AC0-11+AC0-06,2015+AC0-11+AC0-06 00:00:00,W+AF8-Opportunity.1597
W+AF8-OpportunityHistory.17415,186000,Qualification,BestCase,2017+AC0-08+AC0-30,2017+AC0-05+AC0-12 00:00:00,W+AF8-Opportunity.1599
W+AF8-OpportunityHistory.17414,250000,Qualification,Pipeline,2016+AC0-04+AC0-18,2016+AC0-03+AC0-25 00:00:00,W+AF8-Opportunity.1640
W+AF8-OpportunityHistory.17413,250000,Proposal/Quote,Commit,2016+AC0-04+AC0-18,2016+AC0-03+AC0-26 00:00:00,W+AF8-Opportunity.1640
W+AF8-OpportunityHistory.17412,250000,Closed Lost,Omitted,2016+AC0-04+AC0-18,2016+AC0-04+AC0-18 00:00:00,W+AF8-Opportunity.1640
W+AF8-OpportunityHistory.17411,51300,Qualification,Pipeline,2017+AC0-05+AC0-12,2017+AC0-03+AC0-11 00:00:00,W+AF8-Opportunity.1684
W+AF8-OpportunityHistory.17410,51300,Needs Analysis,Commit,2017+AC0-05+AC0-12,2017+AC0-04+AC0-10 00:00:00,W+AF8-Opportunity.1684
W+AF8-OpportunityHistory.17409,51300,Proposal/Quote,BestCase,2017+AC0-05+AC0-12,2017+AC0-04+AC0-17 00:00:00,W+AF8-Opportunity.1684
W+AF8-OpportunityHistory.17408,51300,Closed Lost,Omitted,2017+AC0-05+AC0-12,2017+AC0-05+AC0-12 00:00:00,W+AF8-Opportunity.1684
W+AF8-OpportunityHistory.17407,150000,Needs Analysis,Forecast,2017+AC0-08+AC0-14,2017+AC0-05+AC0-18 00:00:00,W+AF8-Opportunity.1723
W+AF8-OpportunityHistory.17406,32000,Qualification,Pipeline,2016+AC0-10+AC0-16,2016+AC0-07+AC0-21 00:00:00,W+AF8-Opportunity.1760
W+AF8-OpportunityHistory.17405,32000,Negotiation,BestCase,2016+AC0-10+AC0-16,2016+AC0-08+AC0-20 00:00:00,W+AF8-Opportunity.1760
W+AF8-OpportunityHistory.17404,30000,Negotiation,BestCase,2016+AC0-10+AC0-16,2016+AC0-09+AC0-13 00:00:00,W+AF8-Opportunity.1760
W+AF8-OpportunityHistory.17403,30000,Closed Lost,Omitted,2016+AC0-10+AC0-16,2016+AC0-10+AC0-16 00:00:00,W+AF8-Opportunity.1760
W+AF8-OpportunityHistory.17402,150000,Qualification,Pipeline,2016+AC0-02+AC0-11,2015+AC0-11+AC0-30 00:00:00,W+AF8-Opportunity.1772
W+AF8-OpportunityHistory.17401,150000,Proposal/Quote,BestCase,2016+AC0-02+AC0-11,2016+AC0-01+AC0-10 00:00:00,W+AF8-Opportunity.1772
W+AF8-OpportunityHistory.17400,150000,Closed Lost,Omitted,2016+AC0-02+AC0-11,2016+AC0-02+AC0-11 00:00:00,W+AF8-Opportunity.1772
W+AF8-OpportunityHistory.17399,50000,Qualification,Pipeline,2015+AC0-12+AC0-28,2015+AC0-10+AC0-02 00:00:00,W+AF8-Opportunity.1844
W+AF8-OpportunityHistory.17398,50000,Needs Analysis,BestCase,2015+AC0-12+AC0-28,2015+AC0-11+AC0-13 00:00:00,W+AF8-Opportunity.1844
W+AF8-OpportunityHistory.17397,50000,Closed Lost,Omitted,2015+AC0-12+AC0-28,2015+AC0-12+AC0-28 00:00:00,W+AF8-Opportunity.1844
W+AF8-OpportunityHistory.17396,60000,Qualification,Pipeline,2015+AC0-09+AC0-19,2015+AC0-06+AC0-14 00:00:00,W+AF8-Opportunity.1853
W+AF8-OpportunityHistory.17395,60000,Closed Lost,Omitted,2015+AC0-09+AC0-19,2015+AC0-07+AC0-01 00:00:00,W+AF8-Opportunity.1853
W+AF8-OpportunityHistory.17394,60000,Needs Analysis,Pipeline,2015+AC0-09+AC0-19,2015+AC0-07+AC0-29 00:00:00,W+AF8-Opportunity.1853
W+AF8-OpportunityHistory.17393,60000,Needs Analysis,Pipeline,2015+AC0-08+AC0-24,2015+AC0-08+AC0-06 00:00:00,W+AF8-Opportunity.1853
W+AF8-OpportunityHistory.17392,60000,Needs Analysis,Pipeline,2015+AC0-09+AC0-12,2015+AC0-08+AC0-16 00:00:00,W+AF8-Opportunity.1853
W+AF8-OpportunityHistory.17391,60000,Closed Lost,Omitted,2015+AC0-09+AC0-12,2015+AC0-09+AC0-12 00:00:00,W+AF8-Opportunity.1853
W+AF8-OpportunityHistory.17390,350000,Qualification,Pipeline,2016+AC0-10+AC0-03,2016+AC0-06+AC0-09 00:00:00,W+AF8-Opportunity.1917
W+AF8-OpportunityHistory.17389,350000,Proposal/Quote,Commit,2016+AC0-10+AC0-03,2016+AC0-07+AC0-05 00:00:00,W+AF8-Opportunity.1917
W+AF8-OpportunityHistory.17388,350000,Negotiation,Pipeline,2016+AC0-10+AC0-03,2016+AC0-07+AC0-23 00:00:00,W+AF8-Opportunity.1917
W+AF8-OpportunityHistory.17387,350000,Negotiation,Pipeline,2016+AC0-08+AC0-21,2016+AC0-08+AC0-18 00:00:00,W+AF8-Opportunity.1917
W+AF8-OpportunityHistory.17386,350000,Closed Lost,Omitted,2016+AC0-08+AC0-21,2016+AC0-08+AC0-21 00:00:00,W+AF8-Opportunity.1917
W+AF8-OpportunityHistory.17385,58214,Qualification,Pipeline,2017+AC0-01+AC0-17,2016+AC0-09+AC0-04 00:00:00,W+AF8-Opportunity.1948
W+AF8-OpportunityHistory.17384,58214,Proposal/Quote,BestCase,2017+AC0-01+AC0-17,2016+AC0-09+AC0-05 00:00:00,W+AF8-Opportunity.1948
W+AF8-OpportunityHistory.17383,58214,Proposal/Quote,BestCase,2016+AC0-12+AC0-08,2016+AC0-10+AC0-16 00:00:00,W+AF8-Opportunity.1948
W+AF8-OpportunityHistory.17382,55214,Proposal/Quote,BestCase,2016+AC0-12+AC0-08,2016+AC0-10+AC0-27 00:00:00,W+AF8-Opportunity.1948
W+AF8-OpportunityHistory.17381,55214,Proposal/Quote,BestCase,2016+AC0-12+AC0-01,2016+AC0-10+AC0-29 00:00:00,W+AF8-Opportunity.1948
W+AF8-OpportunityHistory.17380,55214,Closed Lost,Omitted,2016+AC0-12+AC0-01,2016+AC0-12+AC0-01 00:00:00,W+AF8-Opportunity.1948
W+AF8-OpportunityHistory.17379,26000,Qualification,Pipeline,2016+AC0-10+AC0-31,2016+AC0-07+AC0-27 00:00:00,W+AF8-Opportunity.2012
W+AF8-OpportunityHistory.17378,26000,Negotiation,Commit,2016+AC0-10+AC0-31,2016+AC0-08+AC0-13 00:00:00,W+AF8-Opportunity.2012
W+AF8-OpportunityHistory.17377,30000,Negotiation,Commit,2016+AC0-10+AC0-31,2016+AC0-08+AC0-17 00:00:00,W+AF8-Opportunity.2012
W+AF8-OpportunityHistory.17376,30000,Negotiation,Commit,2016+AC0-09+AC0-23,2016+AC0-09+AC0-08 00:00:00,W+AF8-Opportunity.2012
W+AF8-OpportunityHistory.17375,30000,Closed Lost,Omitted,2016+AC0-09+AC0-23,2016+AC0-09+AC0-23 00:00:00,W+AF8-Opportunity.2012
W+AF8-OpportunityHistory.17374,30640,Qualification,Pipeline,2016+AC0-02+AC0-12,2015+AC0-10+AC0-02 00:00:00,W+AF8-Opportunity.2027
W+AF8-OpportunityHistory.17373,30640,Closed Lost,Omitted,2016+AC0-02+AC0-12,2015+AC0-10+AC0-10 00:00:00,W+AF8-Opportunity.2027
W+AF8-OpportunityHistory.17372,30640,Proposal/Quote,Pipeline,2016+AC0-02+AC0-12,2015+AC0-10+AC0-13 00:00:00,W+AF8-Opportunity.2027
W+AF8-OpportunityHistory.17371,30640,Closed Lost,Omitted,2016+AC0-02+AC0-12,2015+AC0-11+AC0-05 00:00:00,W+AF8-Opportunity.2027
W+AF8-OpportunityHistory.17370,30640,Negotiation,BestCase,2016+AC0-02+AC0-12,2015+AC0-12+AC0-03 00:00:00,W+AF8-Opportunity.2027
W+AF8-OpportunityHistory.17369,30640,Negotiation,BestCase,2016+AC0-01+AC0-03,2015+AC0-12+AC0-10 00:00:00,W+AF8-Opportunity.2027
W+AF8-OpportunityHistory.17368,30640,Closed Won,Closed,2016+AC0-01+AC0-03,2016+AC0-01+AC0-03 00:00:00,W+AF8-Opportunity.2027
W+AF8-OpportunityHistory.17367,10000,Qualification,Pipeline,2016+AC0-11+AC0-10,2016+AC0-08+AC0-31 00:00:00,W+AF8-Opportunity.2044
W+AF8-OpportunityHistory.17366,10000,Proposal/Quote,Pipeline,2016+AC0-11+AC0-10,2016+AC0-09+AC0-29 00:00:00,W+AF8-Opportunity.2044
W+AF8-OpportunityHistory.17365,10000,Negotiation,BestCase,2016+AC0-11+AC0-10,2016+AC0-10+AC0-20 00:00:00,W+AF8-Opportunity.2044
W+AF8-OpportunityHistory.17364,10000,Closed Lost,Omitted,2016+AC0-11+AC0-10,2016+AC0-11+AC0-10 00:00:00,W+AF8-Opportunity.2044
W+AF8-OpportunityHistory.17363,228000,Qualification,Pipeline,2016+AC0-08+AC0-16,2016+AC0-04+AC0-28 00:00:00,W+AF8-Opportunity.2054
W+AF8-OpportunityHistory.17362,228000,Proposal/Quote,Pipeline,2016+AC0-08+AC0-16,2016+AC0-05+AC0-15 00:00:00,W+AF8-Opportunity.2054
W+AF8-OpportunityHistory.17361,232000,Proposal/Quote,Pipeline,2016+AC0-08+AC0-16,2016+AC0-05+AC0-16 00:00:00,W+AF8-Opportunity.2054
W+AF8-OpportunityHistory.17360,242000,Proposal/Quote,Pipeline,2016+AC0-08+AC0-16,2016+AC0-06+AC0-30 00:00:00,W+AF8-Opportunity.2054
W+AF8-OpportunityHistory.17359,250000,Proposal/Quote,Pipeline,2016+AC0-08+AC0-16,2016+AC0-08+AC0-03 00:00:00,W+AF8-Opportunity.2054
W+AF8-OpportunityHistory.17358,250000,Closed Won,Closed,2016+AC0-08+AC0-16,2016+AC0-08+AC0-16 00:00:00,W+AF8-Opportunity.2054
W+AF8-OpportunityHistory.17357,197674,Qualification,Pipeline,2017+AC0-02+AC0-24,2016+AC0-11+AC0-13 00:00:00,W+AF8-Opportunity.2218
W+AF8-OpportunityHistory.17356,197674,Negotiation,Commit,2017+AC0-02+AC0-24,2016+AC0-12+AC0-19 00:00:00,W+AF8-Opportunity.2218
W+AF8-OpportunityHistory.17355,197674,Negotiation,Commit,2017+AC0-02+AC0-06,2017+AC0-01+AC0-30 00:00:00,W+AF8-Opportunity.2218
W+AF8-OpportunityHistory.17354,197674,Closed Lost,Omitted,2017+AC0-02+AC0-06,2017+AC0-02+AC0-06 00:00:00,W+AF8-Opportunity.2218
W+AF8-OpportunityHistory.17353,60000,Qualification,Pipeline,2017+AC0-02+AC0-15,2017+AC0-01+AC0-18 00:00:00,W+AF8-Opportunity.2234
W+AF8-OpportunityHistory.17352,60000,Closed Lost,Omitted,2017+AC0-02+AC0-15,2017+AC0-02+AC0-15 00:00:00,W+AF8-Opportunity.2234
W+AF8-OpportunityHistory.17351,50000,Qualification,Pipeline,2016+AC0-03+AC0-17,2016+AC0-02+AC0-02 00:00:00,W+AF8-Opportunity.2351
W+AF8-OpportunityHistory.17350,50000,Negotiation,BestCase,2016+AC0-03+AC0-17,2016+AC0-02+AC0-28 00:00:00,W+AF8-Opportunity.2351
W+AF8-OpportunityHistory.17349,50000,Closed Lost,Omitted,2016+AC0-03+AC0-17,2016+AC0-03+AC0-17 00:00:00,W+AF8-Opportunity.2351
W+AF8-OpportunityHistory.17348,2000,Qualification,Pipeline,2017+AC0-04+AC0-16,2017+AC0-02+AC0-12 00:00:00,W+AF8-Opportunity.2366
W+AF8-OpportunityHistory.17347,2000,Proposal/Quote,Pipeline,2017+AC0-04+AC0-16,2017+AC0-02+AC0-28 00:00:00,W+AF8-Opportunity.2366
W+AF8-OpportunityHistory.17346,2000,Proposal/Quote,Pipeline,2017+AC0-03+AC0-29,2017+AC0-03+AC0-07 00:00:00,W+AF8-Opportunity.2366
W+AF8-OpportunityHistory.17345,2000,Closed Lost,Omitted,2017+AC0-03+AC0-29,2017+AC0-03+AC0-18 00:00:00,W+AF8-Opportunity.2366
W+AF8-OpportunityHistory.17344,2000,Needs Analysis,Commit,2017+AC0-03+AC0-29,2017+AC0-03+AC0-21 00:00:00,W+AF8-Opportunity.2366
W+AF8-OpportunityHistory.17343,2000,Closed Lost,Omitted,2017+AC0-03+AC0-29,2017+AC0-03+AC0-29 00:00:00,W+AF8-Opportunity.2366
W+AF8-OpportunityHistory.17342,12496,Qualification,Pipeline,2015+AC0-09+AC0-11,2015+AC0-07+AC0-11 00:00:00,W+AF8-Opportunity.2495
W+AF8-OpportunityHistory.17341,12496,Negotiation,BestCase,2015+AC0-09+AC0-11,2015+AC0-08+AC0-01 00:00:00,W+AF8-Opportunity.2495
W+AF8-OpportunityHistory.17340,12496,Closed Lost,Omitted,2015+AC0-09+AC0-11,2015+AC0-08+AC0-12 00:00:00,W+AF8-Opportunity.2495
W+AF8-OpportunityHistory.17339,12496,Negotiation,BestCase,2015+AC0-09+AC0-11,2015+AC0-08+AC0-13 00:00:00,W+AF8-Opportunity.2495
