External_Id__c,Owner.External_Id__c,Subject,Type,TaskSubtype,CallDurationInSeconds,Status,Priority
W_Services_Task.00071,W_Services_User.00018,Send Letter,Email,Email,300,Not Started,Normal
W_Services_Task.00072,W_Services_User.00001,Send Letter,Email,Call,180,Not Started,Normal
W_Services_Task.00073,W_Services_User.00004,Send Quote,Email,Email,1200,Completed,Normal
W_Services_Task.00074,W_Services_User.00020,Call,Call,Call,720,Not Started,Normal
W_Services_Task.00075,W_Services_User.00017,Other,Meeting,Email,240,On Hold,Normal
W_Services_Task.00076,W_Services_User.00020,Send Quote,Email,Call,2700,In Progress,Normal
W_Services_Task.00077,W_Services_User.00013,Other,Meeting,Email,450,In Progress,Normal
W_Services_Task.00078,W_Services_User.00020,Call,Call,Email,1800,On Hold,Normal
W_Services_Task.00079,W_Services_User.00018,Call,Meeting,Task,720,Not Started,Normal
W_Services_Task.00080,W_Services_User.00007,Call,Meeting,Call,360,Completed,Normal
W_Services_Task.00081,W_Services_User.00010,Call,Call,Email,180,Not Started,Normal
W_Services_Task.00082,W_Services_User.00009,Call,Call,Call,960,Completed,Normal
W_Services_Task.00083,W_Services_User.00019,Send Letter,Email,Email,1500,Completed,Normal
W_Services_Task.00084,W_Services_User.00016,Send Letter,Email,Email,360,Not Started,High
W_Services_Task.00085,W_Services_User.00008,Call,Meeting,Task,900,On Hold,Normal
W_Services_Task.00086,W_Services_User.00003,Send Letter,Email,Email,120,Not Started,High
W_Services_Task.00087,W_Services_User.00016,Send Letter,Email,Call,360,Not Started,Normal
W_Services_Task.00088,W_Services_User.00004,Send Letter,Email,Task,1200,In Progress,High
W_Services_Task.00089,W_Services_User.00012,Call,Meeting,Email,360,Not Started,Normal
W_Services_Task.00090,W_Services_User.00006,Call,Call,Task,600,In Progress,Normal
W_Services_Task.00091,W_Services_User.00020,Call,Call,Task,300,Completed,Normal
W_Services_Task.00092,W_Services_User.00015,Send Letter,Email,Call,450,Completed,Normal
W_Services_Task.00093,W_Services_User.00001,Other,Meeting,Call,4320,In Progress,Normal
W_Services_Task.00094,W_Services_User.00011,Call,Call,Call,2400,On Hold,Normal
W_Services_Task.00095,W_Services_User.00011,Other,Prep,Call,1440,On Hold,High
W_Services_Task.00096,W_Services_User.00004,Call,Meeting,Task,120,In Progress,Normal
W_Services_Task.00097,W_Services_User.00014,Send Letter,Email,Task,600,In Progress,Normal
W_Services_Task.00098,W_Services_User.00013,Other,Meeting,Task,720,On Hold,Normal
W_Services_Task.00099,W_Services_User.00008,Other,Other,Call,900,Not Started,Normal
W_Services_Task.00100,W_Services_User.00008,Send Letter,Email,Email,120,On Hold,Normal
W_Services_Task.00101,W_Services_User.00007,Other,Prep,Task,2160,On Hold,Normal
W_Services_Task.00102,W_Services_User.00012,Other,Meeting,Email,450,On Hold,Normal
W_Services_Task.00103,W_Services_User.00017,Send Quote,Email,Task,3750,On Hold,High
W_Services_Task.00104,W_Services_User.00008,Send Letter,Email,Email,180,Completed,Normal
W_Services_Task.00105,W_Services_User.00002,Other,Other,Email,480,In Progress,Normal
W_Services_Task.00106,W_Services_User.00002,Send Letter,Email,Call,1500,Not Started,Normal
W_Services_Task.00107,W_Services_User.00019,Other,Meeting,Email,180,In Progress,Normal
W_Services_Task.00108,W_Services_User.00002,Send Letter,Email,Task,1440,In Progress,Normal
W_Services_Task.00109,W_Services_User.00010,Call,Call,Email,720,Not Started,Normal
W_Services_Task.00110,W_Services_User.00015,Send Letter,Email,Email,720,Not Started,Normal
W_Services_Task.00111,W_Services_User.00014,Send Quote,Email,Call,150,On Hold,High
W_Services_Task.00112,W_Services_User.00013,Other,Other,Call,900,Not Started,Normal
W_Services_Task.00113,W_Services_User.00018,Call,Call,Call,180,Completed,Normal
W_Services_Task.00114,W_Services_User.00006,Other,Meeting,Email,2700,Completed,Normal
W_Services_Task.00115,W_Services_User.00019,Call,Call,Task,900,Completed,Normal
W_Services_Task.00116,W_Services_User.00011,Send Letter,Email,Email,1800,On Hold,Normal
W_Services_Task.00117,W_Services_User.00014,Send Letter,Email,Task,900,Completed,High
W_Services_Task.00118,W_Services_User.00015,Other,Meeting,Task,900,Not Started,Normal
W_Services_Task.00119,W_Services_User.00005,Other,Prep,Task,2700,Not Started,Normal
W_Services_Task.00120,W_Services_User.00006,Send Letter,Email,Task,960,In Progress,Normal
W_Services_Task.00121,W_Services_User.00019,Call,Call,Email,2400,Not Started,Normal
W_Services_Task.00122,W_Services_User.00009,Send Letter,Email,Email,360,In Progress,Normal
W_Services_Task.00123,W_Services_User.00010,Send Letter,Email,Email,1800,Not Started,Normal
W_Services_Task.00124,W_Services_User.00012,Send Quote,Email,Task,360,In Progress,Normal
W_Services_Task.00125,W_Services_User.00008,Call,Call,Call,1440,Not Started,High
W_Services_Task.00126,W_Services_User.00006,Call,Meeting,Call,1350,Completed,Normal
W_Services_Task.00127,W_Services_User.00001,Call,Call,Call,600,Completed,Normal
W_Services_Task.00128,W_Services_User.00020,Send Letter,Email,Task,2880,On Hold,Normal
W_Services_Task.00129,W_Services_User.00012,Send Letter,Email,Email,2160,Not Started,Normal
W_Services_Task.00130,W_Services_User.00015,Other,Prep,Email,240,Completed,Normal
W_Services_Task.00131,W_Services_User.00002,Send Letter,Email,Task,3000,In Progress,Normal
W_Services_Task.00132,W_Services_User.00016,Other,Other,Call,2250,Not Started,Normal
W_Services_Task.00133,W_Services_User.00005,Send Letter,Email,Call,60,Completed,Normal
W_Services_Task.00134,W_Services_User.00020,Send Quote,Email,Task,2700,Not Started,Normal
W_Services_Task.00135,W_Services_User.00005,Call,Meeting,Call,3000,Not Started,Normal
W_Services_Task.00136,W_Services_User.00015,Call,Call,Call,3600,In Progress,Normal
W_Services_Task.00137,W_Services_User.00002,Send Letter,Email,Call,600,In Progress,Normal
W_Services_Task.00138,W_Services_User.00017,Call,Meeting,Call,720,Not Started,Normal
W_Services_Task.00139,W_Services_User.00012,Call,Call,Task,360,Completed,Normal
W_Services_Task.00140,W_Services_User.00011,Send Letter,Email,Email,2250,On Hold,Normal
W_Services_Task.00141,W_Services_User.00012,Other,Meeting,Task,2400,Not Started,Normal
W_Services_Task.00142,W_Services_User.00006,Send Quote,Email,Task,720,Not Started,Normal
W_Services_Task.00143,W_Services_User.00001,Other,Prep,Email,360,Completed,Normal
W_Services_Task.00144,W_Services_User.00018,Send Letter,Email,Email,2160,Completed,Normal
W_Services_Task.00145,W_Services_User.00002,Send Letter,Email,Task,540,Completed,Normal
W_Services_Task.00146,W_Services_User.00005,Call,Call,Task,4500,On Hold,Normal
W_Services_Task.00147,W_Services_User.00005,Call,Call,Call,1800,On Hold,Normal
W_Services_Task.00148,W_Services_User.00003,Send Quote,Email,Call,1440,In Progress,High
W_Services_Task.00149,W_Services_User.00011,Send Letter,Email,Task,3600,In Progress,Normal
W_Services_Task.00150,W_Services_User.00013,Call,Meeting,Email,1620,In Progress,Normal
W_Services_Task.00151,W_Services_User.00018,Call,Call,Task,60,Not Started,Normal
W_Services_Task.00152,W_Services_User.00014,Send Letter,Email,Email,2700,In Progress,Normal
W_Services_Task.00153,W_Services_User.00015,Send Letter,Email,Call,360,Completed,Normal
W_Services_Task.00154,W_Services_User.00010,Call,Meeting,Task,1440,In Progress,High
W_Services_Task.00155,W_Services_User.00012,Other,Prep,Email,240,In Progress,Normal
W_Services_Task.00156,W_Services_User.00009,Call,Call,Task,1440,Not Started,Normal
W_Services_Task.00157,W_Services_User.00014,Call,Call,Task,360,On Hold,Normal
W_Services_Task.00158,W_Services_User.00003,Call,Meeting,Task,480,In Progress,Normal
W_Services_Task.00159,W_Services_User.00011,Send Letter,Email,Call,1440,On Hold,High
W_Services_Task.00160,W_Services_User.00006,Other,Meeting,Task,2700,On Hold,Normal
W_Services_Task.00161,W_Services_User.00002,Send Letter,Email,Task,450,On Hold,Normal
W_Services_Task.00162,W_Services_User.00002,Send Letter,Email,Email,1080,Not Started,Normal
W_Services_Task.00163,W_Services_User.00019,Call,Meeting,Task,1080,On Hold,High
W_Services_Task.00164,W_Services_User.00005,Call,Meeting,Call,60,Not Started,Normal
W_Services_Task.00165,W_Services_User.00012,Call,Meeting,Call,2700,Completed,Normal
W_Services_Task.00166,W_Services_User.00013,Send Letter,Email,Call,1080,Completed,Normal
W_Services_Task.00167,W_Services_User.00003,Send Letter,Email,Call,2250,On Hold,Normal
W_Services_Task.00168,W_Services_User.00016,Send Letter,Email,Call,3240,Not Started,Normal
W_Services_Task.00169,W_Services_User.00001,Call,Call,Call,1440,Not Started,Normal
W_Services_Task.00170,W_Services_User.00011,Send Quote,Email,Call,720,Not Started,Normal
W_Services_Task.00171,W_Services_User.00012,Call,Call,Email,150,Not Started,Normal
W_Services_Task.00172,W_Services_User.00016,Other,Prep,Task,720,Not Started,Normal
W_Services_Task.00173,W_Services_User.00019,Other,Prep,Call,1440,Not Started,Normal
W_Services_Task.00174,W_Services_User.00016,Send Letter,Email,Email,600,On Hold,Normal
W_Services_Task.00175,W_Services_User.00014,Send Letter,Email,Task,60,Completed,Normal
W_Services_Task.00176,W_Services_User.00013,Send Quote,Email,Task,1080,In Progress,Normal
W_Services_Task.00177,W_Services_User.00018,Send Letter,Email,Email,2400,Completed,Normal
W_Services_Task.00178,W_Services_User.00001,Send Letter,Email,Email,450,On Hold,Normal
W_Services_Task.00179,W_Services_User.00009,Call,Call,Call,3240,In Progress,Normal
W_Services_Task.00180,W_Services_User.00017,Send Quote,Email,Call,1800,In Progress,Normal
W_Services_Task.00181,W_Services_User.00002,Call,Call,Task,180,Not Started,Normal
W_Services_Task.00182,W_Services_User.00001,Send Letter,Email,Call,1080,Not Started,High
W_Services_Task.00183,W_Services_User.00009,Send Letter,Email,Email,600,On Hold,Normal
W_Services_Task.00184,W_Services_User.00015,Other,Other,Task,180,In Progress,Normal
W_Services_Task.00185,W_Services_User.00017,Other,Other,Email,1440,In Progress,Normal
W_Services_Task.00186,W_Services_User.00001,Send Letter,Email,Call,180,In Progress,Normal
W_Services_Task.00187,W_Services_User.00006,Other,Other,Call,4320,Completed,Normal
W_Services_Task.00188,W_Services_User.00004,Other,Other,Email,270,Completed,Normal
W_Services_Task.00189,W_Services_User.00019,Send Letter,Email,Email,900,Completed,Normal
W_Services_Task.00190,W_Services_User.00017,Call,Call,Email,1800,On Hold,Normal
W_Services_Task.00191,W_Services_User.00006,Call,Call,Call,120,Completed,Normal
W_Services_Task.00192,W_Services_User.00009,Send Letter,Email,Call,360,In Progress,Normal
W_Services_Task.00193,W_Services_User.00008,Call,Call,Email,360,On Hold,Normal
W_Services_Task.00194,W_Services_User.00014,Call,Meeting,Call,1800,Completed,Normal
W_Services_Task.00195,W_Services_User.00006,Send Letter,Email,Email,1080,In Progress,Normal
W_Services_Task.00196,W_Services_User.00001,Send Letter,Email,Call,2160,Not Started,Normal
W_Services_Task.00197,W_Services_User.00012,Send Letter,Email,Task,60,In Progress,Normal
W_Services_Task.00198,W_Services_User.00018,Other,Other,Call,270,Completed,Normal
W_Services_Task.00199,W_Services_User.00018,Call,Call,Task,1080,Not Started,Normal
W_Services_Task.00200,W_Services_User.00015,Send Letter,Email,Task,720,Completed,Normal
W_Services_Task.00201,W_Services_User.00003,Call,Call,Call,90,On Hold,Normal
W_Services_Task.00202,W_Services_User.00006,Send Letter,Email,Email,450,Not Started,Normal
W_Services_Task.00203,W_Services_User.00018,Send Letter,Email,Email,360,On Hold,Normal
W_Services_Task.00204,W_Services_User.00017,Call,Call,Call,2700,Not Started,Normal
W_Services_Task.00205,W_Services_User.00011,Call,Call,Task,720,In Progress,Normal
W_Services_Task.00206,W_Services_User.00002,Call,Meeting,Email,1440,In Progress,Normal
W_Services_Task.00207,W_Services_User.00019,Call,Call,Email,600,Completed,Normal
W_Services_Task.00208,W_Services_User.00011,Send Letter,Email,Email,720,In Progress,Normal
W_Services_Task.00209,W_Services_User.00006,Call,Meeting,Task,150,Completed,Normal
W_Services_Task.00210,W_Services_User.00002,Send Letter,Email,Task,120,Not Started,Normal
W_Services_Task.00211,W_Services_User.00008,Call,Meeting,Email,1800,In Progress,Normal
W_Services_Task.00212,W_Services_User.00002,Send Letter,Email,Email,30,Not Started,Normal
W_Services_Task.00213,W_Services_User.00013,Send Letter,Email,Task,2880,Not Started,Normal
W_Services_Task.00214,W_Services_User.00001,Call,Call,Call,270,Not Started,Normal
W_Services_Task.00215,W_Services_User.00020,Call,Call,Call,150,Completed,Normal
W_Services_Task.00216,W_Services_User.00008,Send Quote,Email,Task,750,Completed,Normal
W_Services_Task.00217,W_Services_User.00013,Other,Other,Task,2880,Not Started,Normal
W_Services_Task.00218,W_Services_User.00003,Call,Call,Email,540,Completed,Normal
W_Services_Task.00219,W_Services_User.00014,Call,Meeting,Email,2160,Not Started,Normal
W_Services_Task.00220,W_Services_User.00019,Send Letter,Email,Email,2700,Not Started,Normal
W_Services_Task.00221,W_Services_User.00003,Call,Call,Task,720,In Progress,Normal
W_Services_Task.00222,W_Services_User.00010,Send Letter,Email,Task,960,In Progress,Normal
W_Services_Task.00223,W_Services_User.00005,Send Letter,Email,Task,1800,On Hold,Normal
W_Services_Task.00224,W_Services_User.00015,Send Letter,Email,Email,600,Completed,Normal
W_Services_Task.00225,W_Services_User.00009,Send Letter,Email,Email,1800,Completed,Normal
W_Services_Task.00226,W_Services_User.00016,Send Quote,Email,Call,240,On Hold,Normal
W_Services_Task.00227,W_Services_User.00002,Call,Call,Task,240,Completed,Normal
W_Services_Task.00228,W_Services_User.00008,Call,Call,Call,450,On Hold,Normal
W_Services_Task.00229,W_Services_User.00003,Other,Other,Email,2700,On Hold,Normal
W_Services_Task.00230,W_Services_User.00019,Send Letter,Email,Task,60,Completed,Normal
W_Services_Task.00231,W_Services_User.00017,Other,Meeting,Email,2700,Not Started,Normal
W_Services_Task.00232,W_Services_User.00019,Other,Other,Email,720,On Hold,High
W_Services_Task.00233,W_Services_User.00002,Send Letter,Email,Task,270,On Hold,Normal
W_Services_Task.00234,W_Services_User.00013,Send Letter,Email,Email,1440,Completed,Normal
W_Services_Task.00235,W_Services_User.00009,Send Letter,Email,Task,120,Completed,High
W_Services_Task.00236,W_Services_User.00003,Send Letter,Email,Call,720,Not Started,Normal
W_Services_Task.00237,W_Services_User.00006,Call,Meeting,Task,1200,Not Started,Normal
W_Services_Task.00238,W_Services_User.00020,Other,Meeting,Task,1800,On Hold,Normal
W_Services_Task.00239,W_Services_User.00016,Send Quote,Email,Task,1080,On Hold,Normal
W_Services_Task.00240,W_Services_User.00012,Send Letter,Email,Task,1080,In Progress,Normal
W_Services_Task.00241,W_Services_User.00009,Call,Call,Call,3600,Not Started,Normal
W_Services_Task.00242,W_Services_User.00016,Call,Call,Call,720,Not Started,Normal
W_Services_Task.00243,W_Services_User.00003,Send Letter,Email,Email,900,On Hold,Normal
W_Services_Task.00244,W_Services_User.00015,Other,Meeting,Task,1500,In Progress,High
W_Services_Task.00245,W_Services_User.00011,Call,Meeting,Task,450,Not Started,Normal
W_Services_Task.00246,W_Services_User.00018,Send Quote,Email,Call,360,On Hold,Normal
W_Services_Task.00247,W_Services_User.00008,Call,Meeting,Email,720,In Progress,Normal
W_Services_Task.00248,W_Services_User.00008,Call,Call,Task,900,On Hold,Normal
W_Services_Task.00249,W_Services_User.00018,Send Letter,Email,Task,3240,Completed,Normal
W_Services_Task.00250,W_Services_User.00018,Other,Prep,Email,720,Not Started,Normal
W_Services_Task.00251,W_Services_User.00014,Send Quote,Email,Call,1080,Completed,Normal
W_Services_Task.00252,W_Services_User.00002,Call,Call,Email,180,In Progress,Normal
W_Services_Task.00253,W_Services_User.00005,Call,Meeting,Email,240,On Hold,Normal
W_Services_Task.00254,W_Services_User.00013,Send Letter,Email,Email,180,In Progress,Normal
W_Services_Task.00255,W_Services_User.00017,Other,Meeting,Call,600,In Progress,Normal
W_Services_Task.00256,W_Services_User.00020,Send Quote,Email,Task,1350,Not Started,Normal
W_Services_Task.00257,W_Services_User.00002,Call,Call,Email,150,Not Started,Normal
W_Services_Task.00258,W_Services_User.00018,Call,Call,Email,2700,Not Started,Normal
W_Services_Task.00259,W_Services_User.00013,Other,Meeting,Email,720,On Hold,Normal
W_Services_Task.00260,W_Services_User.00016,Send Quote,Email,Email,120,On Hold,Normal
W_Services_Task.00261,W_Services_User.00008,Send Letter,Email,Call,960,Not Started,High
W_Services_Task.00262,W_Services_User.00005,Call,Call,Email,960,Completed,Normal
W_Services_Task.00263,W_Services_User.00008,Call,Call,Task,900,Not Started,Normal
W_Services_Task.00264,W_Services_User.00019,Send Letter,Email,Email,900,Completed,Normal
W_Services_Task.00265,W_Services_User.00012,Call,Meeting,Email,450,On Hold,Normal
W_Services_Task.00266,W_Services_User.00019,Call,Meeting,Task,5400,Not Started,Normal
W_Services_Task.00267,W_Services_User.00002,Send Quote,Email,Task,1080,Completed,Normal
W_Services_Task.00268,W_Services_User.00010,Send Quote,Email,Call,2160,Not Started,Normal
W_Services_Task.00269,W_Services_User.00013,Call,Meeting,Call,600,In Progress,Normal
W_Services_Task.00270,W_Services_User.00019,Send Letter,Email,Email,360,On Hold,Normal
W_Services_Task.00271,W_Services_User.00015,Call,Call,Task,2400,In Progress,Normal
W_Services_Task.00272,W_Services_User.00012,Send Letter,Email,Call,720,On Hold,Normal
W_Services_Task.00273,W_Services_User.00009,Send Letter,Email,Call,120,Completed,Normal
W_Services_Task.00274,W_Services_User.00014,Send Letter,Email,Email,2250,Not Started,High
W_Services_Task.00275,W_Services_User.00015,Call,Call,Call,3600,On Hold,High
W_Services_Task.00276,W_Services_User.00020,Send Quote,Email,Email,540,On Hold,High
W_Services_Task.00277,W_Services_User.00005,Other,Meeting,Call,240,Not Started,Normal
W_Services_Task.00278,W_Services_User.00002,Other,Meeting,Call,5400,On Hold,Normal
W_Services_Task.00279,W_Services_User.00015,Send Letter,Email,Call,1800,Completed,Normal
W_Services_Task.00280,W_Services_User.00009,Send Letter,Email,Email,540,In Progress,Normal
W_Services_Task.00281,W_Services_User.00020,Other,Meeting,Email,1080,On Hold,Normal
W_Services_Task.00282,W_Services_User.00020,Call,Meeting,Task,1800,Not Started,Normal
W_Services_Task.00283,W_Services_User.00010,Other,Meeting,Task,1920,Completed,Normal
W_Services_Task.00284,W_Services_User.00008,Other,Prep,Call,540,Not Started,Normal
W_Services_Task.00285,W_Services_User.00011,Other,Prep,Call,1080,On Hold,Normal
W_Services_Task.00286,W_Services_User.00006,Send Quote,Email,Task,30,On Hold,Normal
W_Services_Task.00287,W_Services_User.00001,Send Letter,Email,Call,1440,On Hold,Normal
W_Services_Task.00288,W_Services_User.00015,Call,Call,Call,600,In Progress,Normal
W_Services_Task.00289,W_Services_User.00011,Send Letter,Email,Email,240,On Hold,Normal
W_Services_Task.00290,W_Services_User.00011,Other,Other,Call,1080,In Progress,Normal
W_Services_Task.00291,W_Services_User.00009,Call,Meeting,Call,3600,Completed,Normal
W_Services_Task.00292,W_Services_User.00006,Call,Call,Email,2700,On Hold,Normal
W_Services_Task.00293,W_Services_User.00017,Call,Meeting,Call,180,Completed,Normal
W_Services_Task.00294,W_Services_User.00019,Call,Call,Task,1440,Not Started,Normal
W_Services_Task.00295,W_Services_User.00013,Send Letter,Email,Task,1200,On Hold,Normal
W_Services_Task.00296,W_Services_User.00015,Send Letter,Email,Task,1080,Completed,Normal
W_Services_Task.00297,W_Services_User.00011,Call,Call,Email,180,In Progress,Normal
W_Services_Task.00298,W_Services_User.00013,Call,Call,Email,150,Not Started,Normal
W_Services_Task.00299,W_Services_User.00007,Send Letter,Email,Call,1350,Completed,Normal
W_Services_Task.00300,W_Services_User.00011,Send Quote,Email,Call,300,In Progress,Normal
W_Services_Task.00301,W_Services_User.00016,Send Letter,Email,Task,5400,On Hold,Normal
W_Services_Task.00302,W_Services_User.00007,Other,Other,Call,360,Completed,Normal
W_Services_Task.00303,W_Services_User.00002,Other,Meeting,Email,1440,Not Started,Normal
W_Services_Task.00304,W_Services_User.00012,Call,Call,Call,720,Not Started,Normal
W_Services_Task.00305,W_Services_User.00003,Send Quote,Email,Call,4500,Completed,Normal
W_Services_Task.00306,W_Services_User.00004,Call,Call,Call,360,Completed,Normal
W_Services_Task.00307,W_Services_User.00015,Other,Meeting,Task,900,Not Started,Normal
W_Services_Task.00308,W_Services_User.00008,Send Letter,Email,Task,600,Completed,Normal
W_Services_Task.00309,W_Services_User.00006,Other,Other,Call,900,In Progress,Normal
W_Services_Task.00310,W_Services_User.00002,Send Quote,Email,Call,180,In Progress,Normal
W_Services_Task.00311,W_Services_User.00003,Send Letter,Email,Task,2700,Completed,Normal
W_Services_Task.00312,W_Services_User.00013,Call,Call,Call,5400,Completed,Normal
W_Services_Task.00313,W_Services_User.00014,Send Quote,Email,Task,1800,Completed,Normal
W_Services_Task.00314,W_Services_User.00004,Send Letter,Email,Task,90,Completed,Normal
W_Services_Task.00315,W_Services_User.00015,Send Quote,Email,Call,960,Completed,High
W_Services_Task.00316,W_Services_User.00013,Call,Call,Task,1620,Completed,Normal
W_Services_Task.00317,W_Services_User.00020,Send Letter,Email,Email,600,Not Started,Normal
W_Services_Task.00318,W_Services_User.00005,Other,Meeting,Call,1440,On Hold,Normal
W_Services_Task.00319,W_Services_User.00008,Send Letter,Email,Email,1440,On Hold,High
W_Services_Task.00320,W_Services_User.00019,Send Quote,Email,Call,1080,Completed,Normal
W_Services_Task.00321,W_Services_User.00005,Other,Meeting,Call,270,On Hold,Normal
W_Services_Task.00322,W_Services_User.00008,Other,Meeting,Task,720,Not Started,Normal
W_Services_Task.00323,W_Services_User.00012,Other,Other,Call,1440,Completed,Normal
W_Services_Task.00324,W_Services_User.00014,Call,Call,Email,540,Not Started,Normal
